program,provnamn,skol_kod,andel_e
Vård- och omsorgsprogrammet,Engelska 5,34637764,"31,7"
Hantverksprogrammet,Engelska 5,73255276,..
Barn- och fritidsprogrammet,Engelska 5,15077883,"39,1"
Bygg- och anläggningsprogrammet,Engelska 5,15077883,..
El- och energiprogrammet,Engelska 5,15077883,..
Fordons- och transportprogrammet,Engelska 5,15077883,..
Handels- och administrationsprogrammet,Engelska 5,15077883,"35,3"
Restaurang- och livsmedelsprogrammet,Engelska 5,15077883,"46,2"
Vård- och omsorgsprogrammet,Engelska 5,15077883,..
Barn- och fritidsprogrammet,Engelska 5,48434184,"50,0"
Bygg- och anläggningsprogrammet,Engelska 5,48434184,..
El- och energiprogrammet,Engelska 5,48434184,..
Fordons- och transportprogrammet,Engelska 5,48434184,..
Industritekniska programmet,Engelska 5,48434184,..
Vård- och omsorgsprogrammet,Engelska 5,48434184,..
Hantverksprogrammet,Engelska 5,58724424,..
Barn- och fritidsprogrammet,Engelska 5,51138448,..
Vård- och omsorgsprogrammet,Engelska 5,51138448,..
Bygg- och anläggningsprogrammet,Engelska 5,19647256,"34,5"
Fordons- och transportprogrammet,Engelska 5,19647256,..
El- och energiprogrammet,Engelska 5,56421429,"47,1"
Handels- och administrationsprogrammet,Engelska 5,39911065,..
Industritekniska programmet,Engelska 5,17008320,..
Bygg- och anläggningsprogrammet,Engelska 5,56737496,..
El- och energiprogrammet,Engelska 5,56737496,..
Handels- och administrationsprogrammet,Engelska 5,56737496,..
Vård- och omsorgsprogrammet,Engelska 5,88850910,"38,5"
Barn- och fritidsprogrammet,Engelska 5,93939982,"36,8"
Fordons- och transportprogrammet,Engelska 5,93939982,..
Vård- och omsorgsprogrammet,Engelska 5,25720752,"38,9"
Barn- och fritidsprogrammet,Engelska 5,55155562,..
Bygg- och anläggningsprogrammet,Engelska 5,55155562,"36,8"
Fordons- och transportprogrammet,Engelska 5,55155562,"40,9"
Industritekniska programmet,Engelska 5,55155562,..
Barn- och fritidsprogrammet,Engelska 5,31533003,"50,0"
Hantverksprogrammet,Engelska 5,31429031,..
Vård- och omsorgsprogrammet,Engelska 5,31429031,"45,0"
Restaurang- och livsmedelsprogrammet,Engelska 5,16361868,..
El- och energiprogrammet,Engelska 5,24008049,"36,4"
Fordons- och transportprogrammet,Engelska 5,24008049,..
El- och energiprogrammet,Engelska 5,72661886,..
Fordons- och transportprogrammet,Engelska 5,72661886,..
El- och energiprogrammet,Engelska 5,36680097,"54,5"
Handels- och administrationsprogrammet,Engelska 5,87756916,"64,7"
Hantverksprogrammet,Engelska 5,87756916,"37,5"
Bygg- och anläggningsprogrammet,Engelska 5,59734510,..
El- och energiprogrammet,Engelska 5,59734510,..
Fordons- och transportprogrammet,Engelska 5,59734510,..
Hantverksprogrammet,Engelska 5,59734510,..
Naturbruksprogrammet,Engelska 5,59734510,..
VVS- och fastighetsprogrammet,Engelska 5,59734510,..
Barn- och fritidsprogrammet,Engelska 5,19586169,"62,5"
Bygg- och anläggningsprogrammet,Engelska 5,19586169,..
El- och energiprogrammet,Engelska 5,19586169,.
Fordons- och transportprogrammet,Engelska 5,19586169,..
Handels- och administrationsprogrammet,Engelska 5,19586169,..
Hantverksprogrammet,Engelska 5,19586169,..
Vård- och omsorgsprogrammet,Engelska 5,19586169,..
Barn- och fritidsprogrammet,Engelska 5,24273261,..
Bygg- och anläggningsprogrammet,Engelska 5,24273261,..
Fordons- och transportprogrammet,Engelska 5,24273261,..
Handels- och administrationsprogrammet,Engelska 5,24273261,..
Industritekniska programmet,Engelska 5,24273261,..
VVS- och fastighetsprogrammet,Engelska 5,24273261,..
El- och energiprogrammet,Engelska 5,95683850,..
Industritekniska programmet,Engelska 5,95683850,..
Vård- och omsorgsprogrammet,Engelska 5,95683850,..
Barn- och fritidsprogrammet,Engelska 5,59455288,..
Bygg- och anläggningsprogrammet,Engelska 5,59455288,..
Handels- och administrationsprogrammet,Engelska 5,59455288,..
Naturbruksprogrammet,Engelska 5,59455288,..
Vård- och omsorgsprogrammet,Engelska 5,59455288,..
Naturbruksprogrammet,Engelska 5,82163292,"23,1"
Handels- och administrationsprogrammet,Engelska 5,25679488,"42,9"
Restaurang- och livsmedelsprogrammet,Engelska 5,25679488,..
Barn- och fritidsprogrammet,Engelska 5,25677996,..
Vård- och omsorgsprogrammet,Engelska 5,25677996,..
Bygg- och anläggningsprogrammet,Engelska 5,89888648,..
El- och energiprogrammet,Engelska 5,89888648,"35,3"
Fordons- och transportprogrammet,Engelska 5,89888648,..
VVS- och fastighetsprogrammet,Engelska 5,89888648,..
Fordons- och transportprogrammet,Engelska 5,90003262,..
Naturbruksprogrammet,Engelska 5,88163512,"26,5"
Handels- och administrationsprogrammet,Engelska 5,35063170,..
Industritekniska programmet,Engelska 5,35063170,"63,6"
Barn- och fritidsprogrammet,Engelska 5,31279294,"35,3"
Hantverksprogrammet,Engelska 5,31279294,..
Restaurang- och livsmedelsprogrammet,Engelska 5,31279294,..
Barn- och fritidsprogrammet,Engelska 5,36782335,..
Bygg- och anläggningsprogrammet,Engelska 5,36782335,"47,8"
El- och energiprogrammet,Engelska 5,36782335,..
Fordons- och transportprogrammet,Engelska 5,36782335,..
Handels- och administrationsprogrammet,Engelska 5,36782335,..
Naturbruksprogrammet,Engelska 5,36782335,"44,0"
Restaurang- och livsmedelsprogrammet,Engelska 5,36782335,..
Sjöfartsutbildningen,Engelska 5,36782335,.
VVS- och fastighetsprogrammet,Engelska 5,36782335,..
Vård- och omsorgsprogrammet,Engelska 5,36782335,"46,2"
Bygg- och anläggningsprogrammet,Engelska 5,20666515,"54,5"
VVS- och fastighetsprogrammet,Engelska 5,20666515,..
El- och energiprogrammet,Engelska 5,37906565,..
Handels- och administrationsprogrammet,Engelska 5,37906565,..
Vård- och omsorgsprogrammet,Engelska 5,37906565,..
Fordons- och transportprogrammet,Engelska 5,67279303,"23,8"
Industritekniska programmet,Engelska 5,67279303,..
Fordons- och transportprogrammet,Engelska 5,21648755,"31,6"
Handels- och administrationsprogrammet,Engelska 5,21648755,"51,5"
Hantverksprogrammet,Engelska 5,11111710,"42,9"
Barn- och fritidsprogrammet,Engelska 5,90551279,"32,4"
Bygg- och anläggningsprogrammet,Engelska 5,90551279,"38,9"
El- och energiprogrammet,Engelska 5,90551279,..
Hantverksprogrammet,Engelska 5,90551279,"62,5"
Industritekniska programmet,Engelska 5,90551279,..
Restaurang- och livsmedelsprogrammet,Engelska 5,90551279,"29,2"
VVS- och fastighetsprogrammet,Engelska 5,90551279,..
Vård- och omsorgsprogrammet,Engelska 5,90551279,"40,7"
Barn- och fritidsprogrammet,Engelska 5,93062368,..
