program,provnamn,skol_kod,andel_e
Hotell- och turismprogrammet,Engelska 6,37316242,"35,0"
Naturvetenskapsprogrammet,Engelska 6,11953769,..
Hotell- och turismprogrammet,Engelska 6,28646435,..
Samhällsvetenskapsprogrammet,Engelska 6,28646435,..
Ekonomiprogrammet,Engelska 6,50393060,..
Naturvetenskapsprogrammet,Engelska 6,50393060,..
Samhällsvetenskapsprogrammet,Engelska 6,50393060,..
Teknikprogrammet,Engelska 6,50393060,..
Ekonomiprogrammet,Engelska 6,85788659,..
Samhällsvetenskapsprogrammet,Engelska 6,85788659,"35,7"
Naturvetenskapsprogrammet,Engelska 6,95340745,..
Samhällsvetenskapsprogrammet,Engelska 6,95340745,.
Teknikprogrammet,Engelska 6,95340745,..
Ekonomiprogrammet,Engelska 6,59521477,..
Samhällsvetenskapsprogrammet,Engelska 6,59521477,..
Hotell- och turismprogrammet,Engelska 6,92442684,..
Samhällsvetenskapsprogrammet,Engelska 6,92442684,..
Estetiska programmet,Engelska 6,66095163,..
Teknikprogrammet,Engelska 6,66095163,.
Ekonomiprogrammet,Engelska 6,54599691,"19,2"
Samhällsvetenskapsprogrammet,Engelska 6,54599691,"16,9"
Naturvetenskapsprogrammet,Engelska 6,54004368,..
Teknikprogrammet,Engelska 6,54004368,..
Ekonomiprogrammet,Engelska 6,31975673,..
Estetiska programmet,Engelska 6,31975673,..
Naturvetenskapsprogrammet,Engelska 6,31975673,.
Samhällsvetenskapsprogrammet,Engelska 6,31975673,"10,0"
Teknikprogrammet,Engelska 6,31975673,.
Naturvetenskapsprogrammet,Engelska 6,82251333,..
Estetiska programmet,Engelska 6,99864908,..
Samhällsvetenskapsprogrammet,Engelska 6,99864908,"34,4"
Ekonomiprogrammet,Engelska 6,27106031,"26,7"
Teknikprogrammet,Engelska 6,59463950,"18,9"
Naturvetenskapsprogrammet,Engelska 6,63931325,..
Samhällsvetenskapsprogrammet,Engelska 6,63931325,..
Teknikprogrammet,Engelska 6,63931325,.
Naturvetenskapsprogrammet,Engelska 6,57391913,..
Samhällsvetenskapsprogrammet,Engelska 6,57391913,"15,9"
Teknikprogrammet,Engelska 6,75374280,..
Ekonomiprogrammet,Engelska 6,46148350,"40,0"
Naturvetenskapsprogrammet,Engelska 6,46148350,..
Samhällsvetenskapsprogrammet,Engelska 6,46148350,..
Teknikprogrammet,Engelska 6,46148350,..
Ekonomiprogrammet,Engelska 6,49868916,"17,9"
Estetiska programmet,Engelska 6,49868916,.
Samhällsvetenskapsprogrammet,Engelska 6,49868916,..
Ekonomiprogrammet,Engelska 6,74919147,..
Naturvetenskapsprogrammet,Engelska 6,74919147,.
Samhällsvetenskapsprogrammet,Engelska 6,74919147,..
Hotell- och turismprogrammet,Engelska 6,84908877,"42,9"
Naturvetenskapsprogrammet,Engelska 6,24277564,..
Samhällsvetenskapsprogrammet,Engelska 6,24277564,..
Ekonomiprogrammet,Engelska 6,44412461,..
Estetiska programmet,Engelska 6,44412461,..
Naturvetenskapsprogrammet,Engelska 6,44412461,..
Samhällsvetenskapsprogrammet,Engelska 6,44412461,..
Teknikprogrammet,Engelska 6,44412461,.
Teknikprogrammet,Engelska 6,34002355,..
Estetiska programmet,Engelska 6,36355200,"50,0"
Samhällsvetenskapsprogrammet,Engelska 6,36355200,"25,0"
Ekonomiprogrammet,Engelska 6,96920524,"38,5"
Naturvetenskapsprogrammet,Engelska 6,18217765,..
Teknikprogrammet,Engelska 6,18217765,"14,0"
Ekonomiprogrammet,Engelska 6,70803636,"27,3"
Samhällsvetenskapsprogrammet,Engelska 6,70803636,"24,1"
Estetiska programmet,Engelska 6,49576295,.
Naturvetenskapsprogrammet,Engelska 6,49576295,..
Teknikprogrammet,Engelska 6,66028861,.
Ekonomiprogrammet,Engelska 6,23797825,"16,3"
Estetiska programmet,Engelska 6,45293715,"16,7"
Samhällsvetenskapsprogrammet,Engelska 6,77712952,..
Flygteknikutbildningen,Engelska 6,92009807,..
Ekonomiprogrammet,Engelska 6,10433896,..
Estetiska programmet,Engelska 6,10433896,..
Samhällsvetenskapsprogrammet,Engelska 6,10433896,..
Teknikprogrammet,Engelska 6,10433896,..
Estetiska programmet,Engelska 6,43154449,..
Teknikprogrammet,Engelska 6,43154449,.
Ekonomiprogrammet,Engelska 6,49170638,..
Naturvetenskapsprogrammet,Engelska 6,49170638,..
Samhällsvetenskapsprogrammet,Engelska 6,49170638,..
Ekonomiprogrammet,Engelska 6,25379974,..
Naturvetenskapsprogrammet,Engelska 6,25379974,.
Samhällsvetenskapsprogrammet,Engelska 6,25379974,..
Humanistiska programmet,Engelska 6,88025221,..
Naturvetenskapsprogrammet,Engelska 6,88025221,..
Samhällsvetenskapsprogrammet,Engelska 6,88025221,"14,3"
Hotell- och turismprogrammet,Engelska 6,14799321,..
Samhällsvetenskapsprogrammet,Engelska 6,45111086,"23,8"
Naturvetenskapsprogrammet,Engelska 6,70955448,..
Teknikprogrammet,Engelska 6,68824244,..
Naturvetenskapsprogrammet,Engelska 6,46707989,"7,5"
Estetiska programmet,Engelska 6,46986216,..
Humanistiska programmet,Engelska 6,46986216,.
Samhällsvetenskapsprogrammet,Engelska 6,67924816,..
Ekonomiprogrammet,Engelska 6,92805465,"22,8"
Hotell- och turismprogrammet,Engelska 6,80711021,..
Estetiska programmet,Engelska 6,16720048,..
Samhällsvetenskapsprogrammet,Engelska 6,13960635,"32,7"
Ekonomiprogrammet,Engelska 6,61176909,"24,3"
Naturvetenskapsprogrammet,Engelska 6,61176909,..
Samhällsvetenskapsprogrammet,Engelska 6,61176909,"25,6"
Teknikprogrammet,Engelska 6,43479922,"23,3"
Teknikprogrammet,Engelska 6,28391147,"15,0"
Ekonomiprogrammet,Engelska 6,21778322,..
Naturvetenskapsprogrammet,Engelska 6,21778322,.
Samhällsvetenskapsprogrammet,Engelska 6,21778322,"28,6"
Ekonomiprogrammet,Engelska 6,31380193,..
Samhällsvetenskapsprogrammet,Engelska 6,31380193,..
Ekonomiprogrammet,Engelska 6,62612992,"25,5"
Naturvetenskapsprogrammet,Engelska 6,62612992,..
Teknikprogrammet,Engelska 6,62612992,..
Estetiska programmet,Engelska 6,85485803,..
Samhällsvetenskapsprogrammet,Engelska 6,85485803,"20,8"
Hotell- och turismprogrammet,Engelska 6,92816527,..
Ekonomiprogrammet,Engelska 6,16848652,"17,9"
Samhällsvetenskapsprogrammet,Engelska 6,88429477,"18,9"
Naturvetenskapsprogrammet,Engelska 6,94975733,"27,8"
Teknikprogrammet,Engelska 6,94975733,..
Naturvetenskapsprogrammet,Engelska 6,56802300,..
Samhällsvetenskapsprogrammet,Engelska 6,56802300,..
Teknikprogrammet,Engelska 6,56802300,..
Hotell- och turismprogrammet,Engelska 6,15149235,..
Ekonomiprogrammet,Engelska 6,15149235,..
Naturvetenskapsprogrammet,Engelska 6,15149235,..
Samhällsvetenskapsprogrammet,Engelska 6,15149235,..
Teknikprogrammet,Engelska 6,15149235,.
Samhällsvetenskapsprogrammet,Engelska 6,77379848,..
Teknikprogrammet,Engelska 6,13981977,..
Ekonomiprogrammet,Engelska 6,24538846,..
Samhällsvetenskapsprogrammet,Engelska 6,24538846,..
Ekonomiprogrammet,Engelska 6,67058407,..
Naturvetenskapsprogrammet,Engelska 6,67058407,..
Samhällsvetenskapsprogrammet,Engelska 6,67058407,..
Teknikprogrammet,Engelska 6,67058407,.
Ekonomiprogrammet,Engelska 6,15791044,..
Naturvetenskapsprogrammet,Engelska 6,15791044,..
Samhällsvetenskapsprogrammet,Engelska 6,15791044,.
Teknikprogrammet,Engelska 6,15791044,..
Humanistiska programmet,Engelska 6,65392939,..
Samhällsvetenskapsprogrammet,Engelska 6,65392939,"14,8"
Teknikprogrammet,Engelska 6,65392939,..
Ekonomiprogrammet,Engelska 6,98696836,"33,3"
Naturvetenskapsprogrammet,Engelska 6,64908550,.
Samhällsvetenskapsprogrammet,Engelska 6,77358716,.
Ekonomiprogrammet,Engelska 6,49739986,"17,2"
Estetiska programmet,Engelska 6,49739986,..
Samhällsvetenskapsprogrammet,Engelska 6,49739986,"34,4"
Estetiska programmet,Engelska 6,29225010,..
Teknikprogrammet,Engelska 6,29225010,..
Ekonomiprogrammet,Engelska 6,92192566,"38,5"
Samhällsvetenskapsprogrammet,Engelska 6,92192566,"32,0"
Estetiska programmet,Engelska 6,56886667,"15,1"
Humanistiska programmet,Engelska 6,56886667,.
Naturvetenskapsprogrammet,Engelska 6,56886667,..
Samhällsvetenskapsprogrammet,Engelska 6,56886667,"24,5"
Samhällsvetenskapsprogrammet,Engelska 6,64648566,..
Ekonomiprogrammet,Engelska 6,65421426,"12,1"
Naturvetenskapsprogrammet,Engelska 6,65421426,"6,8"
Samhällsvetenskapsprogrammet,Engelska 6,65421426,..
Estetiska programmet,Engelska 6,67908927,"20,0"
Ekonomiprogrammet,Engelska 6,72071234,"11,7"
Samhällsvetenskapsprogrammet,Engelska 6,72071234,.
Teknikprogrammet,Engelska 6,24349146,..
Hotell- och turismprogrammet,Engelska 6,15933512,"42,9"
Samhällsvetenskapsprogrammet,Engelska 6,15933512,"24,6"
Hotell- och turismprogrammet,Engelska 6,47692481,..
Naturvetenskapsprogrammet,Engelska 6,64693272,..
Samhällsvetenskapsprogrammet,Engelska 6,64693272,..
Teknikprogrammet,Engelska 6,64693272,.
Estetiska programmet,Engelska 6,18072172,..
Samhällsvetenskapsprogrammet,Engelska 6,18072172,..
Teknikprogrammet,Engelska 6,18072172,..
Ekonomiprogrammet,Engelska 6,65833454,..
Naturvetenskapsprogrammet,Engelska 6,65833454,.
Samhällsvetenskapsprogrammet,Engelska 6,65833454,.
Hotell- och turismprogrammet,Engelska 6,85188855,.
Estetiska programmet,Engelska 6,11341077,..
Naturvetenskapsprogrammet,Engelska 6,34988313,..
Ekonomiprogrammet,Engelska 6,28045567,..
Samhällsvetenskapsprogrammet,Engelska 6,28045567,..
Teknikprogrammet,Engelska 6,20768651,..
Ekonomiprogrammet,Engelska 6,38880984,"12,2"
Naturvetenskapsprogrammet,Engelska 6,38880984,..
Teknikprogrammet,Engelska 6,28872974,..
Ekonomiprogrammet,Engelska 6,18686599,..
Naturvetenskapsprogrammet,Engelska 6,18686599,.
Samhällsvetenskapsprogrammet,Engelska 6,18686599,..
Samhällsvetenskapsprogrammet,Engelska 6,93779220,..
Estetiska programmet,Engelska 6,77797484,..
Humanistiska programmet,Engelska 6,77797484,.
Estetiska programmet,Engelska 6,80785976,..
Samhällsvetenskapsprogrammet,Engelska 6,80785976,..
Teknikprogrammet,Engelska 6,80785976,..
Naturvetenskapsprogrammet,Engelska 6,47559319,..
Samhällsvetenskapsprogrammet,Engelska 6,47559319,..
Samhällsvetenskapsprogrammet,Engelska 6,56187883,..
Ekonomiprogrammet,Engelska 6,20752831,..
Naturvetenskapsprogrammet,Engelska 6,20752831,..
Samhällsvetenskapsprogrammet,Engelska 6,20752831,"18,2"
Teknikprogrammet,Engelska 6,20752831,.
Ekonomiprogrammet,Engelska 6,51023367,..
Estetiska programmet,Engelska 6,51023367,..
Naturvetenskapsprogrammet,Engelska 6,51023367,.
Samhällsvetenskapsprogrammet,Engelska 6,51023367,..
Naturvetenskapsprogrammet,Engelska 6,34739511,..
Teknikprogrammet,Engelska 6,34739511,..
Ekonomiprogrammet,Engelska 6,52690153,..
Naturvetenskapsprogrammet,Engelska 6,52690153,..
Samhällsvetenskapsprogrammet,Engelska 6,52690153,.
Barn- och fritidsprogrammet,Matematik 1A,93221031,..
Bygg- och anläggningsprogrammet,Matematik 1A,93221031,"63,6"
El- och energiprogrammet,Matematik 1A,93221031,..
Fordons- och transportprogrammet,Matematik 1A,93221031,..
Handels- och administrationsprogrammet,Matematik 1A,93221031,"61,5"
Industritekniska programmet,Matematik 1A,93221031,..
Barn- och fritidsprogrammet,Matematik 1A,68229719,..
Industritekniska programmet,Matematik 1A,18208087,..
Bygg- och anläggningsprogrammet,Matematik 1A,21567982,"45,5"
Naturbruksprogrammet,Matematik 1A,21567982,..
Naturbruksprogrammet,Matematik 1A,49379603,"53,3"
Naturbruksprogrammet,Matematik 1A,80167319,..
Vård- och omsorgsprogrammet,Matematik 1A,42218661,..
Barn- och fritidsprogrammet,Matematik 1A,73171934,"61,5"
Barn- och fritidsprogrammet,Matematik 1A,83474173,..
Bygg- och anläggningsprogrammet,Matematik 1A,83474173,..
Fordons- och transportprogrammet,Matematik 1A,83474173,..
Industritekniska programmet,Matematik 1A,83474173,..
Restaurang- och livsmedelsprogrammet,Matematik 1A,83474173,..
Vård- och omsorgsprogrammet,Matematik 1A,83474173,"42,9"
El- och energiprogrammet,Matematik 1A,42022406,"33,3"
Handels- och administrationsprogrammet,Matematik 1A,18425335,"22,5"
Hantverksprogrammet,Matematik 1A,18425335,..
Barn- och fritidsprogrammet,Matematik 1A,93281974,..
Vård- och omsorgsprogrammet,Matematik 1A,93281974,"30,3"
Barn- och fritidsprogrammet,Matematik 1A,23424275,..
Handels- och administrationsprogrammet,Matematik 1A,23424275,..
Hantverksprogrammet,Matematik 1A,23424275,..
Hotell- och turismprogrammet,Matematik 1A,23424275,..
Restaurang- och livsmedelsprogrammet,Matematik 1A,23424275,"27,3"
Vård- och omsorgsprogrammet,Matematik 1A,23424275,..
Hantverksprogrammet,Matematik 1A,19150273,"60,0"
Bygg- och anläggningsprogrammet,Matematik 1A,25624692,..
El- och energiprogrammet,Matematik 1A,25624692,..
Fordons- och transportprogrammet,Matematik 1A,25624692,..
Restaurang- och livsmedelsprogrammet,Matematik 1A,25624692,..
Naturbruksprogrammet,Matematik 1A,88534520,"52,0"
Fordons- och transportprogrammet,Matematik 1A,25356960,"35,5"
El- och energiprogrammet,Matematik 1A,64284020,"29,6"
Hantverksprogrammet,Matematik 1A,64284020,..
Industritekniska programmet,Matematik 1A,64284020,..
Bygg- och anläggningsprogrammet,Matematik 1A,98132436,"35,9"
Hantverksprogrammet,Matematik 1A,98132436,..
Industritekniska programmet,Matematik 1A,98132436,..
VVS- och fastighetsprogrammet,Matematik 1A,98132436,"47,1"
Barn- och fritidsprogrammet,Matematik 1A,60096875,..
Bygg- och anläggningsprogrammet,Matematik 1A,60096875,"35,7"
El- och energiprogrammet,Matematik 1A,40386043,"51,7"
Fordons- och transportprogrammet,Matematik 1A,40386043,..
Restaurang- och livsmedelsprogrammet,Matematik 1A,40386043,..
Bygg- och anläggningsprogrammet,Matematik 1A,29324709,"68,8"
Hotell- och turismprogrammet,Matematik 1A,88573795,..
Barn- och fritidsprogrammet,Matematik 1A,10924758,..
Bygg- och anläggningsprogrammet,Matematik 1A,10924758,"47,4"
Bygg- och anläggningsprogrammet,Matematik 1A,44240250,"60,0"
Fordons- och transportprogrammet,Matematik 1A,44240250,"41,0"
Naturbruksprogrammet,Matematik 1A,44240250,..
Industritekniska programmet,Matematik 1A,17846181,..
Vård- och omsorgsprogrammet,Matematik 1A,17846181,..
Bygg- och anläggningsprogrammet,Matematik 1A,91333138,.
Fordons- och transportprogrammet,Matematik 1A,91333138,"45,5"
Naturbruksprogrammet,Matematik 1A,39936461,"43,6"
Barn- och fritidsprogrammet,Matematik 1A,16950252,"28,0"
Vård- och omsorgsprogrammet,Matematik 1A,34637764,"44,0"
Barn- och fritidsprogrammet,Matematik 1A,48434184,"57,9"
Bygg- och anläggningsprogrammet,Matematik 1A,48434184,..
El- och energiprogrammet,Matematik 1A,48434184,..
Fordons- och transportprogrammet,Matematik 1A,48434184,"100,0"
Industritekniska programmet,Matematik 1A,48434184,..
Vård- och omsorgsprogrammet,Matematik 1A,48434184,..
Hantverksprogrammet,Matematik 1A,58724424,..
Hotell- och turismprogrammet,Matematik 1A,58724424,..
Barn- och fritidsprogrammet,Matematik 1A,51138448,..
Vård- och omsorgsprogrammet,Matematik 1A,51138448,..
El- och energiprogrammet,Matematik 1A,56421429,"42,1"
Handels- och administrationsprogrammet,Matematik 1A,39911065,"47,6"
Vård- och omsorgsprogrammet,Matematik 1A,25720752,"76,5"
Bygg- och anläggningsprogrammet,Matematik 1A,59734510,..
El- och energiprogrammet,Matematik 1A,59734510,..
Fordons- och transportprogrammet,Matematik 1A,59734510,..
Hantverksprogrammet,Matematik 1A,59734510,..
Naturbruksprogrammet,Matematik 1A,59734510,..
VVS- och fastighetsprogrammet,Matematik 1A,59734510,..
Barn- och fritidsprogrammet,Matematik 1A,19586169,"66,7"
Bygg- och anläggningsprogrammet,Matematik 1A,19586169,"50,0"
Hantverksprogrammet,Matematik 1A,19586169,..
Vård- och omsorgsprogrammet,Matematik 1A,19586169,.
El- och energiprogrammet,Matematik 1A,95683850,..
Industritekniska programmet,Matematik 1A,95683850,..
Vård- och omsorgsprogrammet,Matematik 1A,95683850,..
Barn- och fritidsprogrammet,Matematik 1A,59455288,..
Bygg- och anläggningsprogrammet,Matematik 1A,59455288,..
Handels- och administrationsprogrammet,Matematik 1A,59455288,..
Vård- och omsorgsprogrammet,Matematik 1A,59455288,..
Naturbruksprogrammet,Matematik 1A,82163292,"48,6"
Restaurang- och livsmedelsprogrammet,Matematik 1A,25679488,..
Barn- och fritidsprogrammet,Matematik 1A,31279294,..
Hantverksprogrammet,Matematik 1A,31279294,..
Restaurang- och livsmedelsprogrammet,Matematik 1A,31279294,..
Bygg- och anläggningsprogrammet,Matematik 1A,20666515,"50,0"
VVS- och fastighetsprogrammet,Matematik 1A,20666515,..
El- och energiprogrammet,Matematik 1A,37906565,"50,0"
Handels- och administrationsprogrammet,Matematik 1A,37906565,..
Vård- och omsorgsprogrammet,Matematik 1A,37906565,..
Fordons- och transportprogrammet,Matematik 1A,67279303,"34,8"
Industritekniska programmet,Matematik 1A,67279303,..
Fordons- och transportprogrammet,Matematik 1A,21648755,"20,6"
Handels- och administrationsprogrammet,Matematik 1A,21648755,..
Hotell- och turismprogrammet,Matematik 1A,21648755,..
Hantverksprogrammet,Matematik 1A,11111710,..
Barn- och fritidsprogrammet,Matematik 1A,93062368,..
Bygg- och anläggningsprogrammet,Matematik 1A,93062368,..
Restaurang- och livsmedelsprogrammet,Matematik 1A,93062368,..
VVS- och fastighetsprogrammet,Matematik 1A,93062368,..
Handels- och administrationsprogrammet,Matematik 1A,49616977,..
Bygg- och anläggningsprogrammet,Matematik 1A,88153340,..
Bygg- och anläggningsprogrammet,Matematik 1A,94353434,"33,3"
Hantverksprogrammet,Matematik 1A,59396229,"23,7"
Hotell- och turismprogrammet,Matematik 1A,95165649,..
Naturbruksprogrammet,Matematik 1A,95165649,..
Barn- och fritidsprogrammet,Matematik 1A,69626109,"20,9"
Hantverksprogrammet,Matematik 1A,36444853,"43,8"
Restaurang- och livsmedelsprogrammet,Matematik 1A,15414001,"43,1"
El- och energiprogrammet,Matematik 1A,16819383,..
Industritekniska programmet,Matematik 1A,16819383,..
VVS- och fastighetsprogrammet,Matematik 1A,16819383,..
Handels- och administrationsprogrammet,Matematik 1A,30086854,..
Vård- och omsorgsprogrammet,Matematik 1A,35647481,"36,1"
Hantverksprogrammet,Matematik 1A,65752105,..
Fordons- och transportprogrammet,Matematik 1A,61880907,"55,6"
El- och energiprogrammet,Matematik 1A,35006050,..
Handels- och administrationsprogrammet,Matematik 1A,35006050,"64,0"
Bygg- och anläggningsprogrammet,Matematik 1A,88886610,"61,5"
Bygg- och anläggningsprogrammet,Matematik 1A,88556189,.
El- och energiprogrammet,Matematik 1A,88556189,..
Fordons- och transportprogrammet,Matematik 1A,88556189,..
Hantverksprogrammet,Matematik 1A,88556189,..
Industritekniska programmet,Matematik 1A,88556189,..
VVS- och fastighetsprogrammet,Matematik 1A,88556189,..
Vård- och omsorgsprogrammet,Matematik 1A,88556189,..
Naturbruksprogrammet,Matematik 1A,35236491,"52,0"
El- och energiprogrammet,Matematik 1A,34831349,..
Bygg- och anläggningsprogrammet,Matematik 1A,63511898,..
El- och energiprogrammet,Matematik 1A,63511898,"31,6"
Fordons- och transportprogrammet,Matematik 1A,63511898,..
Handels- och administrationsprogrammet,Matematik 1A,63511898,"38,1"
Hantverksprogrammet,Matematik 1A,63511898,"55,6"
Hotell- och turismprogrammet,Matematik 1A,63511898,..
Industritekniska programmet,Matematik 1A,63511898,..
VVS- och fastighetsprogrammet,Matematik 1A,63511898,..
Vård- och omsorgsprogrammet,Matematik 1A,63511898,"53,8"
Barn- och fritidsprogrammet,Matematik 1A,72127035,"70,0"
Bygg- och anläggningsprogrammet,Matematik 1A,72127035,"66,7"
El- och energiprogrammet,Matematik 1A,72127035,..
Fordons- och transportprogrammet,Matematik 1A,72127035,..
Industritekniska programmet,Matematik 1A,72127035,..
Vård- och omsorgsprogrammet,Matematik 1A,72127035,..
Bygg- och anläggningsprogrammet,Matematik 1A,22752398,..
El- och energiprogrammet,Matematik 1A,22752398,..
Naturbruksprogrammet,Matematik 1A,50696507,"35,5"
Hantverksprogrammet,Matematik 1A,44653962,"65,0"
Vård- och omsorgsprogrammet,Matematik 1A,44653962,"57,9"
El- och energiprogrammet,Matematik 1A,81993306,"45,0"
Industritekniska programmet,Matematik 1A,81993306,..
Bygg- och anläggningsprogrammet,Matematik 1A,29097621,"60,0"
El- och energiprogrammet,Matematik 1A,29097621,..
Fordons- och transportprogrammet,Matematik 1A,29097621,"28,1"
Bygg- och anläggningsprogrammet,Matematik 1A,87764775,..
Fordons- och transportprogrammet,Matematik 1A,87764775,..
Hantverksprogrammet,Matematik 1A,87764775,..
VVS- och fastighetsprogrammet,Matematik 1A,87764775,..
Vård- och omsorgsprogrammet,Matematik 1A,87764775,..
Vård- och omsorgsprogrammet,Matematik 1A,48438396,"42,9"
Barn- och fritidsprogrammet,Matematik 1A,98052678,..
Naturbruksprogrammet,Matematik 1A,38448056,"21,4"
Barn- och fritidsprogrammet,Matematik 1A,16313848,"25,7"
El- och energiprogrammet,Matematik 1A,16313848,"45,0"
Fordons- och transportprogrammet,Matematik 1A,16313848,..
Vård- och omsorgsprogrammet,Matematik 1A,16313848,.
Handels- och administrationsprogrammet,Matematik 1A,79606767,"36,8"
Bygg- och anläggningsprogrammet,Matematik 1A,11294673,..
El- och energiprogrammet,Matematik 1A,11294673,"42,9"
Handels- och administrationsprogrammet,Matematik 1A,11294673,..
Vård- och omsorgsprogrammet,Matematik 1A,11294673,..
Barn- och fritidsprogrammet,Matematik 1A,86327236,..
Bygg- och anläggningsprogrammet,Matematik 1A,86327236,"52,9"
Fordons- och transportprogrammet,Matematik 1A,86327236,..
Handels- och administrationsprogrammet,Matematik 1A,86327236,..
Industritekniska programmet,Matematik 1A,86327236,..
Handels- och administrationsprogrammet,Matematik 1A,28398531,..
Hotell- och turismprogrammet,Matematik 1A,28398531,"36,8"
Barn- och fritidsprogrammet,Matematik 1A,77352223,"58,8"
Bygg- och anläggningsprogrammet,Matematik 1A,77352223,..
El- och energiprogrammet,Matematik 1A,77352223,..
Fordons- och transportprogrammet,Matematik 1A,77352223,..
Handels- och administrationsprogrammet,Matematik 1A,77352223,"35,0"
Hantverksprogrammet,Matematik 1A,77352223,..
Hotell- och turismprogrammet,Matematik 1A,77352223,..
Restaurang- och livsmedelsprogrammet,Matematik 1A,77352223,..
VVS- och fastighetsprogrammet,Matematik 1A,77352223,..
Vård- och omsorgsprogrammet,Matematik 1A,77352223,..
Barn- och fritidsprogrammet,Matematik 1A,75458014,"50,0"
Restaurang- och livsmedelsprogrammet,Matematik 1A,65136104,..
El- och energiprogrammet,Matematik 1A,79033948,"42,3"
Bygg- och anläggningsprogrammet,Matematik 1A,69241230,..
El- och energiprogrammet,Matematik 1A,69241230,"62,5"
Fordons- och transportprogrammet,Matematik 1A,69241230,..
Hantverksprogrammet,Matematik 1A,69241230,..
Industritekniska programmet,Matematik 1A,69241230,..
VVS- och fastighetsprogrammet,Matematik 1A,69241230,"50,0"
Naturbruksprogrammet,Matematik 1A,85544331,"66,7"
Bygg- och anläggningsprogrammet,Matematik 1A,80327946,"62,1"
El- och energiprogrammet,Matematik 1A,80327946,"52,0"
Fordons- och transportprogrammet,Matematik 1A,80327946,"78,1"
Hantverksprogrammet,Matematik 1A,80327946,..
Hotell- och turismprogrammet,Matematik 1A,80327946,"43,8"
Restaurang- och livsmedelsprogrammet,Matematik 1A,80327946,"29,7"
VVS- och fastighetsprogrammet,Matematik 1A,80327946,"67,9"
Barn- och fritidsprogrammet,Matematik 1A,78023197,"28,0"
Vård- och omsorgsprogrammet,Matematik 1A,78023197,..
Bygg- och anläggningsprogrammet,Matematik 1A,86385479,..
El- och energiprogrammet,Matematik 1A,86385479,"33,3"
Industritekniska programmet,Matematik 1A,86385479,..
Restaurang- och livsmedelsprogrammet,Matematik 1A,86385479,..
VVS- och fastighetsprogrammet,Matematik 1A,86385479,"55,6"
Barn- och fritidsprogrammet,Matematik 1A,70923626,..
Bygg- och anläggningsprogrammet,Matematik 1A,70923626,..
Fordons- och transportprogrammet,Matematik 1A,70923626,..
Hotell- och turismprogrammet,Matematik 1A,70923626,..
Restaurang- och livsmedelsprogrammet,Matematik 1A,70923626,..
Vård- och omsorgsprogrammet,Matematik 1A,70923626,..
Vård- och omsorgsprogrammet,Matematik 1A,34247736,"45,0"
Bygg- och anläggningsprogrammet,Matematik 1A,47550455,"45,5"
Handels- och administrationsprogrammet,Matematik 1A,47550455,"45,8"
Hotell- och turismprogrammet,Matematik 1A,47550455,..
Industritekniska programmet,Matematik 1A,47550455,"36,8"
Restaurang- och livsmedelsprogrammet,Matematik 1A,47550455,..
El- och energiprogrammet,Matematik 1A,30329172,"61,1"
Fordons- och transportprogrammet,Matematik 1A,30329172,"50,0"
VVS- och fastighetsprogrammet,Matematik 1A,30329172,"70,0"
Barn- och fritidsprogrammet,Matematik 1A,76877530,..
Barn- och fritidsprogrammet,Matematik 1A,19560192,..
Bygg- och anläggningsprogrammet,Matematik 1A,19560192,..
Fordons- och transportprogrammet,Matematik 1A,19560192,..
Handels- och administrationsprogrammet,Matematik 1A,19560192,..
Hantverksprogrammet,Matematik 1A,19560192,..
Restaurang- och livsmedelsprogrammet,Matematik 1A,19560192,..
Sjöfartsutbildningen,Matematik 1A,19560192,..
VVS- och fastighetsprogrammet,Matematik 1A,19560192,"46,7"
Vård- och omsorgsprogrammet,Matematik 1A,19560192,..
Bygg- och anläggningsprogrammet,Matematik 1A,38917647,..
Fordons- och transportprogrammet,Matematik 1A,38917647,..
El- och energiprogrammet,Matematik 1A,39555838,..
Vård- och omsorgsprogrammet,Matematik 1A,39555838,..
Bygg- och anläggningsprogrammet,Matematik 1A,82084961,..
El- och energiprogrammet,Matematik 1A,82084961,"52,9"
Fordons- och transportprogrammet,Matematik 1A,98369689,"48,3"
Bygg- och anläggningsprogrammet,Matematik 1A,56529916,"52,4"
Hantverksprogrammet,Matematik 1A,56529916,..
Vård- och omsorgsprogrammet,Matematik 1A,40037982,..
Handels- och administrationsprogrammet,Matematik 1A,18881773,..
Hotell- och turismprogrammet,Matematik 1A,80686587,"47,4"
Hantverksprogrammet,Matematik 1A,12279302,"35,7"
Vård- och omsorgsprogrammet,Matematik 1A,12279302,..
Bygg- och anläggningsprogrammet,Matematik 1A,17849518,..
Fordons- och transportprogrammet,Matematik 1A,17849518,..
Restaurang- och livsmedelsprogrammet,Matematik 1A,17849518,..
Naturbruksprogrammet,Matematik 1A,78659008,"22,9"
Barn- och fritidsprogrammet,Matematik 1A,12448823,..
El- och energiprogrammet,Matematik 1A,12448823,..
Barn- och fritidsprogrammet,Matematik 1A,40667807,..
Fordons- och transportprogrammet,Matematik 1A,40667807,..
Vård- och omsorgsprogrammet,Matematik 1A,40667807,..
Bygg- och anläggningsprogrammet,Matematik 1A,18091973,"50,0"
El- och energiprogrammet,Matematik 1A,18091973,..
Industritekniska programmet,Matematik 1A,18091973,..
Hotell- och turismprogrammet,Matematik 1A,62439199,..
