skolkod,antal_elever
91773491,70
30361243,364
25596917,128
65722876,287
20984584,19
52129378,73
65381163,187
98541468,18
31155312,50
25648215,48
61823258,24
84424083,216
39178171,29
49231191,47
78231062,239
79994304,..
10481541,122
68006362,122
11608031,51
86762103,28
68381790,83
13006857,198
76007769,39
16956086,200
58187973,40
88894245,21
31870541,75
71160225,25
67752682,48
47884009,31
44672598,152
75340089,32
36670439,26
22220001,59
31822012,95
83161201,81
15100079,..
55421481,..
99356671,17
16702464,23
71353314,..
29449669,108
62855448,54
36252055,292
91812793,350
14355031,45
72891848,42
46611859,180
58907711,118
68285560,150
58544422,97
65150019,72
31796890,..
22426680,13
83805032,29
48862305,81
32887559,46
71541108,40
53832505,41
47537928,29
69471748,115
49750031,50
76485705,57
93239262,76
25745773,69
99976753,93
14278480,36
75575321,128
28023078,65
43284031,83
13963517,12
24194577,..
26267406,24
31255918,68
51955293,95
57690933,95
35035671,17
12130801,41
51736304,32
53180719,74
27489137,27
15609112,20
44285075,35
60424371,34
95785055,167
68655578,125
17062663,55
68741484,134
56267421,18
34990065,56
37054246,72
39199869,63
62216381,49
31179045,72
72421673,59
15763669,..
59655752,52
88750078,49
41878314,..
41555549,95
32003298,24
22383788,23
85459854,103
81876614,58
18711877,52
67071618,67
75324351,35
61229217,72
58929357,24
42517257,32
70376604,66
59575030,84
93503103,44
18617410,74
41697930,84
28025244,45
17184072,11
40338843,83
77440824,79
71069359,17
86896907,31
14292382,110
51981332,22
87859089,59
54764253,47
98908403,156
16493131,216
41119610,57
83272868,81
11526364,53
48304166,47
24982097,18
45552626,97
50906954,39
97104132,12
16748680,58
68597767,10
27964873,36
30706655,40
65674821,58
92332557,83
46332927,37
78690637,309
24653673,21
38048202,258
90990441,16
86319615,16
87303004,37
97835550,22
22446331,37
26671095,60
42911621,96
40575001,57
75027822,32
26508763,77
14504503,26
21850904,48
65320354,124
77544055,90
49112879,50
30279258,107
16198647,72
12496135,10
76903284,154
68649663,37
43623146,..
49141105,52
15870428,59
26646080,137
26750052,125
18974693,134
26996566,10
27704246,176
81997762,61
28967085,..
69747871,..
70119254,12
31151740,21
79346084,196
34222422,15
84230226,..
42060237,44
89816391,62
14448619,114
12546590,64
43565270,106
77176811,77
52791537,127
85152591,102
85819857,126
40600798,133
52942981,85
54117171,104
48120273,75
33233228,..
94167577,161
27023528,94
53903798,79
85782695,13
98815582,75
97770837,117
21312503,39
69650864,91
59581397,24
14926020,19
41938272,105
29423248,100
76054399,66
33132452,122
56942970,..
60142020,..
70811222,10
17911161,166
35084976,50
25525759,68
77632411,202
56653353,48
49068301,56
59898194,51
38195284,129
97510495,138
89461767,75
94717858,109
53760158,43
78422467,148
37802196,..
38683336,10
36288955,124
74812809,93
88839172,152
48412612,70
95618280,106
75075402,114
26326048,120
37839488,164
46256929,89
83374651,24
59796774,12
17675502,38
75600007,70
73812226,105
30762346,..
82964090,171
88955893,127
15278518,72
15390992,258
63943560,47
85516596,107
31998226,..
38236800,48
16784385,80
59026584,171
79829846,42
89963319,..
24339566,167
20061769,12
65458415,..
95154882,14
52333875,108
24663703,..
28519815,106
65666808,91
69543519,27
24397215,44
30677562,80
85054102,21
87274273,16
89693952,42
24759907,225
78433202,59
41631104,16
35366805,56
31315191,96
80357110,23
42775003,152
56670842,60
89370947,118
18451445,..
48555205,237
31313926,58
30312720,81
32116280,90
57143976,107
93367005,94
53175499,23
64388538,180
52153758,180
16501673,38
26298615,46
22116645,105
99755443,236
30167976,43
50104466,20
28004794,..
32071849,105
79845033,86
41099519,75
59386837,74
21627442,55
17276047,53
73217812,38
21382451,86
48244956,55
36769815,27
16931486,21
92489953,27
43873969,154
55825382,76
19306558,25
35301145,80
24993048,25
70132092,59
65034473,..
13084253,102
32321364,11
59942080,40
66273269,40
82888663,59
11275959,85
58518163,40
50615280,18
19035583,38
27993549,89
37912396,44
45593337,76
90312942,84
10226870,20
19839859,26
80280597,..
67628478,69
37517404,17
29159460,50
32057701,47
43601850,33
30615080,124
89630851,43
25178582,69
70543431,15
23476801,..
86351879,87
56041144,53
14586562,..
74322969,56
90260899,71
69302313,23
31057219,111
27079521,98
33572033,48
64579522,62
65234368,63
34381901,101
55150847,100
90076461,98
96414537,31
53069733,49
99394620,47
95368476,88
14853321,51
76448076,82
31537066,30
86488203,139
25156286,35
28081446,92
21400668,42
92949043,77
92818240,123
84329061,202
71969230,21
91048178,86
82718660,10
76942525,26
12399380,16
31486865,344
97265732,258
10373112,..
61720981,287
25698509,38
50424828,102
82931004,28
83584125,17
95024660,72
32263814,19
16496466,10
12075195,16
62300682,19
47393891,75
48414975,17
65265211,29
11533776,75
47108751,..
97191332,29
71938440,14
28829503,90
22811839,61
33205596,17
99622695,..
19930101,57
60727136,15
45132264,24
61647360,..
98651664,77
33657492,153
61622991,72
66644568,36
93659517,57
79309485,90
61175914,17
73316818,32
37078868,..
27859889,13
16130958,70
29161632,..
82195565,82
33596572,74
45541222,11
77713695,81
63451147,12
51131594,21
89680395,14
53696633,15
27440210,48
62758285,23
16218090,27
61197669,..
64667996,36
17812651,21
23544320,172
57668673,44
69040241,19
63993414,10
49136871,..
91905819,30
20855811,111
54882637,16
53923398,193
74560191,15
47844862,255
22239675,21
72984079,127
36480690,76
24787883,21
32995170,36
52048443,69
61674097,91
32550660,339
93488613,34
45600034,11
59599256,306
69865450,50
31112935,30
26957025,234
90509211,100
43277545,56
37316242,87
20173336,66
49872493,29
39147056,53
11953769,12
28646435,25
50393060,85
85788659,45
95340745,33
59521477,71
92442684,60
66095163,51
38544187,47
54599691,151
54004368,152
54467211,90
23517683,19
31975673,224
82251333,70
99864908,53
27106031,71
59463950,66
63931325,76
57391913,75
75374280,47
46148350,66
50133877,109
49868916,139
74919147,62
90240730,77
84908877,31
78389879,25
24277564,35
88956420,..
44412461,401
34002355,39
36355200,85
96920524,69
18217765,94
60919765,..
14677676,33
96152872,46
77835341,12
70803636,118
49576295,41
66028861,88
23797825,74
45293715,66
44738639,16
77712952,73
92009807,78
10433896,117
10342448,46
43154449,38
49170638,43
46379730,39
25379974,22
98032567,..
96194948,27
25955541,48
88025221,349
18042101,85
14799321,29
56041699,34
45111086,15
70955448,170
68824244,103
90685868,61
24501884,43
46707989,88
46986216,66
67924816,111
92805465,114
56084099,38
80711021,93
17648596,55
16720048,66
13960635,79
39341381,12
61176909,92
43479922,22
60088179,61
28391147,135
29209307,28
21778322,79
31380193,22
90290154,30
25847233,71
62612992,119
85485803,71
92816527,86
16848652,42
88429477,48
94975733,66
56802300,42
15149235,79
77379848,10
13981977,18
24538846,35
36886750,18
67422309,35
67058407,70
34421265,63
15791044,40
65392939,110
98696836,114
82160887,54
23175129,18
64908550,31
77358716,82
49739986,73
29225010,51
92192566,55
56886667,336
33249781,52
64648566,38
18691102,13
70302356,25
65421426,334
62394916,28
67908927,24
72071234,180
24349146,299
83605345,21
15933512,282
12198363,..
47692481,46
64693272,27
18072172,10
65833454,26
85188855,23
11341077,31
39528347,36
34988313,89
85473846,74
29744774,..
89690587,47
28045567,159
20768651,57
32239920,65
98781765,69
38880984,125
28872974,74
87112995,28
18686599,55
93779220,132
77797484,68
53279140,47
80785976,56
47559319,51
21532545,23
56187883,68
20752831,112
51023367,62
34739511,26
95069937,18
52690153,32
74776778,56
18345915,50
68229719,58
61004230,49
71262305,68
55795961,10
84947634,21
23517336,12
48009865,115
82840198,49
18208087,40
89982804,..
19464342,22
60743463,11
32960825,61
43609520,15
97968599,51
91748148,87
42218661,40
74434644,128
42022406,56
65192707,138
43634528,131
36263479,152
56679384,78
30538202,28
19150273,11
69018222,76
12889940,108
16554575,17
34076477,149
54896448,20
64284020,..
53400472,20
97758137,60
26334561,178
40386043,267
59483268,39
33685428,18
32879845,13
88573795,..
20699742,135
21663998,109
20595770,105
82814120,66
45164827,178
10924758,37
34153869,72
88259298,20
17846181,34
75082798,156
23555409,120
30341162,29
72266906,106
27030026,80
16950252,97
34637764,73
19912478,144
15077883,49
48434184,61
58724424,14
95684185,68
51138448,40
56421429,34
39911065,57
17008320,65
56737496,38
93939982,44
25720752,82
55155562,123
31533003,90
16361868,..
23164911,132
24008049,61
19981611,19
54481243,11
36680097,10
19586169,24
24273261,20
95683850,65
59455288,14
25679488,65
25677996,34
89888648,47
35063170,51
31279294,26
36782335,225
23897040,..
20666515,36
37906565,..
67279303,..
21648755,178
11111710,15
90551279,102
69686851,10
49616977,53
54965510,286
84835666,55
25872338,..
54164490,25
20319353,68
92194545,63
64740897,..
78979604,..
10974852,..
85068812,25
78397312,191
36444853,82
16819383,12
89837629,103
12994441,54
88774402,177
75141151,82
61701709,147
61469192,63
84306392,177
28627819,103
30086854,71
26627862,83
48847282,90
72517762,26
79094701,125
38684438,125
31251822,105
90099336,..
35647481,74
39549479,84
73147554,79
69983740,81
66491596,66
12052268,109
71597051,184
53231578,95
96279444,55
40690520,193
91011325,15
97382366,78
35006050,66
10638939,33
21505555,118
34336190,80
21052710,120
69739484,71
92887917,76
88834120,75
70066748,78
19207279,166
53640774,120
58502307,16
97177328,32
72127035,44
70969714,29
68734112,40
71922787,42
74148070,36
92507006,101
44653962,27
20100577,94
81993306,63
19051089,71
47264019,63
50198492,143
98052678,60
20099064,80
16313848,315
79606767,43
11294673,30
86327236,33
41745951,67
83137205,43
28398531,22
66335258,21
54172830,65
75458014,17
65136104,..
61826221,40
79033948,36
56330385,43
20228162,99
68240485,114
95046058,38
44392995,72
53462953,126
60730660,174
82592568,135
78875918,122
86385479,31
49862313,105
99838438,52
42859669,171
99592025,222
34247736,105
47550455,65
30329172,14
76877530,16
47046103,18
38167912,19
43826783,..
58125096,124
82914148,11
20620556,19
77839100,..
17173461,18
55535552,..
30468157,122
92533079,49
61528940,116
23681822,90
66861851,126
72206824,53
92858957,267
86296935,..
44113417,105
67783774,..
39555838,20
85214294,18
82084961,140
46162400,17
67279263,123
51210136,120
73829818,114
54395430,11
18881773,..
50908408,11
