program,provnamn,skol_kod,andel_f
Fordons- och transportprogrammet,Engelska 5,15077883,..
Handels- och administrationsprogrammet,Engelska 5,15077883,"35,3"
Restaurang- och livsmedelsprogrammet,Engelska 5,15077883,.
Vård- och omsorgsprogrammet,Engelska 5,15077883,..
Barn- och fritidsprogrammet,Engelska 5,48434184,.
Bygg- och anläggningsprogrammet,Engelska 5,48434184,.
El- och energiprogrammet,Engelska 5,48434184,.
Fordons- och transportprogrammet,Engelska 5,48434184,..
Industritekniska programmet,Engelska 5,48434184,..
Vård- och omsorgsprogrammet,Engelska 5,48434184,..
Hantverksprogrammet,Engelska 5,58724424,.
Barn- och fritidsprogrammet,Engelska 5,51138448,.
Vård- och omsorgsprogrammet,Engelska 5,51138448,..
Bygg- och anläggningsprogrammet,Engelska 5,19647256,.
Fordons- och transportprogrammet,Engelska 5,19647256,..
El- och energiprogrammet,Engelska 5,56421429,.
Handels- och administrationsprogrammet,Engelska 5,39911065,..
Industritekniska programmet,Engelska 5,17008320,..
Bygg- och anläggningsprogrammet,Engelska 5,56737496,..
El- och energiprogrammet,Engelska 5,56737496,..
Handels- och administrationsprogrammet,Engelska 5,56737496,..
Vård- och omsorgsprogrammet,Engelska 5,88850910,..
Barn- och fritidsprogrammet,Engelska 5,93939982,..
Fordons- och transportprogrammet,Engelska 5,93939982,.
Vård- och omsorgsprogrammet,Engelska 5,25720752,.
Barn- och fritidsprogrammet,Engelska 5,55155562,..
Bygg- och anläggningsprogrammet,Engelska 5,55155562,"13,2"
Fordons- och transportprogrammet,Engelska 5,55155562,"22,7"
Industritekniska programmet,Engelska 5,55155562,..
Barn- och fritidsprogrammet,Engelska 5,31533003,..
Hantverksprogrammet,Engelska 5,31429031,..
Vård- och omsorgsprogrammet,Engelska 5,31429031,..
Restaurang- och livsmedelsprogrammet,Engelska 5,16361868,..
El- och energiprogrammet,Engelska 5,24008049,..
Fordons- och transportprogrammet,Engelska 5,24008049,..
El- och energiprogrammet,Engelska 5,72661886,..
Fordons- och transportprogrammet,Engelska 5,72661886,..
El- och energiprogrammet,Engelska 5,36680097,.
Handels- och administrationsprogrammet,Engelska 5,87756916,..
Hantverksprogrammet,Engelska 5,87756916,..
Bygg- och anläggningsprogrammet,Engelska 5,59734510,..
El- och energiprogrammet,Engelska 5,59734510,..
Fordons- och transportprogrammet,Engelska 5,59734510,..
Hantverksprogrammet,Engelska 5,59734510,..
Naturbruksprogrammet,Engelska 5,59734510,..
VVS- och fastighetsprogrammet,Engelska 5,59734510,..
