program,provnamn,skol_kod,andel_f
Handels- och administrationsprogrammet,Engelska 5,79845033,..
Restaurang- och livsmedelsprogrammet,Engelska 5,79845033,..
Vård- och omsorgsprogrammet,Engelska 5,79845033,.
Barn- och fritidsprogrammet,Engelska 5,41099519,..
Bygg- och anläggningsprogrammet,Engelska 5,41099519,.
El- och energiprogrammet,Engelska 5,41099519,..
Fordons- och transportprogrammet,Engelska 5,41099519,..
Handels- och administrationsprogrammet,Engelska 5,41099519,..
Restaurang- och livsmedelsprogrammet,Engelska 5,41099519,..
Vård- och omsorgsprogrammet,Engelska 5,41099519,..
Bygg- och anläggningsprogrammet,Engelska 5,59386837,..
El- och energiprogrammet,Engelska 5,59386837,..
Fordons- och transportprogrammet,Engelska 5,59386837,..
Handels- och administrationsprogrammet,Engelska 5,59386837,..
Industritekniska programmet,Engelska 5,59386837,..
Vård- och omsorgsprogrammet,Engelska 5,59386837,..
Restaurang- och livsmedelsprogrammet,Engelska 5,21627442,..
El- och energiprogrammet,Engelska 5,17276047,.
Bygg- och anläggningsprogrammet,Engelska 5,73217812,..
Fordons- och transportprogrammet,Engelska 5,73217812,..
Hantverksprogrammet,Engelska 5,73217812,..
El- och energiprogrammet,Engelska 5,48244956,..
Hantverksprogrammet,Engelska 5,36769815,..
Bygg- och anläggningsprogrammet,Engelska 5,16931486,..
El- och energiprogrammet,Engelska 5,16931486,..
Fordons- och transportprogrammet,Engelska 5,16931486,..
Industritekniska programmet,Engelska 5,16931486,..
Restaurang- och livsmedelsprogrammet,Engelska 5,16931486,..
VVS- och fastighetsprogrammet,Engelska 5,16931486,..
Vård- och omsorgsprogrammet,Engelska 5,16931486,..
Naturbruksprogrammet,Engelska 5,92489953,..
Handels- och administrationsprogrammet,Engelska 5,55825382,..
Restaurang- och livsmedelsprogrammet,Engelska 5,19306558,..
Barn- och fritidsprogrammet,Engelska 5,24993048,..
Hantverksprogrammet,Engelska 5,24993048,..
Bygg- och anläggningsprogrammet,Engelska 5,70132092,..
El- och energiprogrammet,Engelska 5,70132092,.
Industritekniska programmet,Engelska 5,70132092,"31,3"
Fordons- och transportprogrammet,Engelska 5,65034473,..
Hantverksprogrammet,Engelska 5,65034473,..
Fordons- och transportprogrammet,Engelska 5,13084253,..
Vård- och omsorgsprogrammet,Engelska 5,32321364,..
Handels- och administrationsprogrammet,Engelska 5,59942080,.
Industritekniska programmet,Engelska 5,66273269,..
Fordons- och transportprogrammet,Engelska 5,82888663,..
Naturbruksprogrammet,Engelska 5,82888663,..
Bygg- och anläggningsprogrammet,Engelska 5,11275959,..
Fordons- och transportprogrammet,Engelska 5,11275959,"12,5"
Naturbruksprogrammet,Engelska 5,11275959,..
Barn- och fritidsprogrammet,Engelska 5,58518163,.
Naturbruksprogrammet,Engelska 5,50615280,..
Naturbruksprogrammet,Engelska 5,19035583,"20,0"
Bygg- och anläggningsprogrammet,Engelska 5,27993549,"16,7"
El- och energiprogrammet,Engelska 5,27993549,.
Fordons- och transportprogrammet,Engelska 5,27993549,..
Vård- och omsorgsprogrammet,Engelska 5,27993549,..
Bygg- och anläggningsprogrammet,Engelska 5,37912396,..
Industritekniska programmet,Engelska 5,37912396,..
Restaurang- och livsmedelsprogrammet,Engelska 5,37912396,..
Vård- och omsorgsprogrammet,Engelska 5,37912396,..
Bygg- och anläggningsprogrammet,Engelska 5,90312942,..
Fordons- och transportprogrammet,Engelska 5,90312942,..
Handels- och administrationsprogrammet,Engelska 5,90312942,..
Industritekniska programmet,Engelska 5,90312942,..
Vård- och omsorgsprogrammet,Engelska 5,90312942,..
Bygg- och anläggningsprogrammet,Engelska 5,19839859,..
Vård- och omsorgsprogrammet,Engelska 5,19839859,..
Naturbruksprogrammet,Engelska 5,80280597,..
Industritekniska programmet,Engelska 5,67628478,.
El- och energiprogrammet,Engelska 5,37517404,.
Barn- och fritidsprogrammet,Engelska 5,29159460,..
Bygg- och anläggningsprogrammet,Engelska 5,29159460,..
El- och energiprogrammet,Engelska 5,29159460,..
Fordons- och transportprogrammet,Engelska 5,29159460,.
Hantverksprogrammet,Engelska 5,29159460,.
Naturbruksprogrammet,Engelska 5,29159460,.
Restaurang- och livsmedelsprogrammet,Engelska 5,29159460,..
Vård- och omsorgsprogrammet,Engelska 5,29159460,..
Bygg- och anläggningsprogrammet,Engelska 5,43601850,.
El- och energiprogrammet,Engelska 5,43601850,.
Fordons- och transportprogrammet,Engelska 5,43601850,..
VVS- och fastighetsprogrammet,Engelska 5,43601850,.
Vård- och omsorgsprogrammet,Engelska 5,43601850,..
Barn- och fritidsprogrammet,Engelska 5,89630851,.
Naturbruksprogrammet,Engelska 5,89630851,.
Barn- och fritidsprogrammet,Engelska 5,86351879,..
El- och energiprogrammet,Engelska 5,86351879,..
Industritekniska programmet,Engelska 5,86351879,..
El- och energiprogrammet,Engelska 5,90260899,..
Fordons- och transportprogrammet,Engelska 5,90260899,..
Barn- och fritidsprogrammet,Engelska 5,69302313,..
Industritekniska programmet,Engelska 5,69302313,..
Barn- och fritidsprogrammet,Engelska 5,31057219,..
Bygg- och anläggningsprogrammet,Engelska 5,31057219,..
El- och energiprogrammet,Engelska 5,31057219,..
Fordons- och transportprogrammet,Engelska 5,31057219,..
Vård- och omsorgsprogrammet,Engelska 5,31057219,..
El- och energiprogrammet,Engelska 5,27079521,.
Fordons- och transportprogrammet,Engelska 5,27079521,..
Handels- och administrationsprogrammet,Engelska 5,27079521,..
Restaurang- och livsmedelsprogrammet,Engelska 5,27079521,..
Barn- och fritidsprogrammet,Engelska 5,64579522,.
Industritekniska programmet,Engelska 5,64579522,.
Vård- och omsorgsprogrammet,Engelska 5,64579522,..
Naturbruksprogrammet,Engelska 5,65234368,..
Bygg- och anläggningsprogrammet,Engelska 5,34381901,..
Fordons- och transportprogrammet,Engelska 5,34381901,.
Handels- och administrationsprogrammet,Engelska 5,34381901,..
Industritekniska programmet,Engelska 5,34381901,..
Vård- och omsorgsprogrammet,Engelska 5,34381901,..
Bygg- och anläggningsprogrammet,Engelska 5,96414537,.
El- och energiprogrammet,Engelska 5,96414537,..
Handels- och administrationsprogrammet,Engelska 5,96414537,..
Industritekniska programmet,Engelska 5,96414537,..
Vård- och omsorgsprogrammet,Engelska 5,96414537,..
Bygg- och anläggningsprogrammet,Engelska 5,99394620,.
VVS- och fastighetsprogrammet,Engelska 5,99394620,..
El- och energiprogrammet,Engelska 5,95368476,.
Fordons- och transportprogrammet,Engelska 5,95368476,..
Hantverksprogrammet,Engelska 5,95368476,.
Industritekniska programmet,Engelska 5,95368476,.
Barn- och fritidsprogrammet,Engelska 5,14853321,..
Handels- och administrationsprogrammet,Engelska 5,14853321,..
Restaurang- och livsmedelsprogrammet,Engelska 5,14853321,..
Vård- och omsorgsprogrammet,Engelska 5,14853321,..
Bygg- och anläggningsprogrammet,Engelska 5,76448076,..
El- och energiprogrammet,Engelska 5,76448076,..
Industritekniska programmet,Engelska 5,31537066,.
Vård- och omsorgsprogrammet,Engelska 5,31537066,..
Barn- och fritidsprogrammet,Engelska 5,86488203,..
Handels- och administrationsprogrammet,Engelska 5,86488203,.
Hantverksprogrammet,Engelska 5,86488203,..
Hantverksprogrammet,Engelska 5,25156286,..
Restaurang- och livsmedelsprogrammet,Engelska 5,92949043,..
Bygg- och anläggningsprogrammet,Engelska 5,92818240,..
Handels- och administrationsprogrammet,Engelska 5,92818240,..
Barn- och fritidsprogrammet,Engelska 5,84329061,..
VVS- och fastighetsprogrammet,Engelska 5,84329061,..
Barn- och fritidsprogrammet,Engelska 5,71969230,.
Bygg- och anläggningsprogrammet,Engelska 5,71969230,..
Fordons- och transportprogrammet,Engelska 5,71969230,..
Handels- och administrationsprogrammet,Engelska 5,71969230,..
Hantverksprogrammet,Engelska 5,71969230,..
Naturbruksprogrammet,Engelska 5,71969230,..
Vård- och omsorgsprogrammet,Engelska 5,71969230,..
Bygg- och anläggningsprogrammet,Engelska 5,91048178,.
El- och energiprogrammet,Engelska 5,91048178,..
Fordons- och transportprogrammet,Engelska 5,91048178,.
Hantverksprogrammet,Engelska 5,91048178,.
El- och energiprogrammet,Engelska 5,76942525,"33,3"
Handels- och administrationsprogrammet,Engelska 5,76942525,"37,5"
Hantverksprogrammet,Engelska 5,76942525,..
Naturbruksprogrammet,Engelska 5,76942525,..
Barn- och fritidsprogrammet,Engelska 5,31486865,.
Fordons- och transportprogrammet,Engelska 5,10373112,.
Barn- och fritidsprogrammet,Engelska 5,61720981,.
El- och energiprogrammet,Engelska 5,61720981,..
Restaurang- och livsmedelsprogrammet,Engelska 5,61720981,..
Vård- och omsorgsprogrammet,Engelska 5,61720981,.
Naturbruksprogrammet,Engelska 5,25698509,..
Handels- och administrationsprogrammet,Engelska 5,50424828,..
Hantverksprogrammet,Engelska 5,50424828,..
Vård- och omsorgsprogrammet,Engelska 5,50424828,.
El- och energiprogrammet,Engelska 5,82931004,..
Barn- och fritidsprogrammet,Engelska 5,83584125,..
Naturbruksprogrammet,Engelska 5,16496466,..
Restaurang- och livsmedelsprogrammet,Engelska 5,16496466,..
Handels- och administrationsprogrammet,Engelska 5,12075195,..
Restaurang- och livsmedelsprogrammet,Engelska 5,62300682,..
Barn- och fritidsprogrammet,Engelska 5,65265211,.
Bygg- och anläggningsprogrammet,Engelska 5,65265211,.
Fordons- och transportprogrammet,Engelska 5,65265211,..
Handels- och administrationsprogrammet,Engelska 5,65265211,..
Naturbruksprogrammet,Engelska 5,65265211,..
VVS- och fastighetsprogrammet,Engelska 5,65265211,..
Vård- och omsorgsprogrammet,Engelska 5,65265211,..
Vård- och omsorgsprogrammet,Engelska 5,97191332,..
Industritekniska programmet,Engelska 5,71938440,.
Bygg- och anläggningsprogrammet,Engelska 5,22811839,..
El- och energiprogrammet,Engelska 5,33205596,.
Fordons- och transportprogrammet,Engelska 5,19930101,"15,9"
El- och energiprogrammet,Engelska 5,60727136,..
Hantverksprogrammet,Engelska 5,60727136,..
Hantverksprogrammet,Engelska 5,45132264,..
VVS- och fastighetsprogrammet,Engelska 5,61647360,..
Handels- och administrationsprogrammet,Engelska 5,33657492,..
Vård- och omsorgsprogrammet,Engelska 5,33657492,..
Bygg- och anläggningsprogrammet,Engelska 5,61622991,..
Barn- och fritidsprogrammet,Engelska 5,66644568,..
El- och energiprogrammet,Engelska 5,93659517,..
Barn- och fritidsprogrammet,Engelska 5,61175914,..
Fordons- och transportprogrammet,Engelska 5,61175914,..
Handels- och administrationsprogrammet,Engelska 5,61175914,..
Industritekniska programmet,Engelska 5,61175914,..
Restaurang- och livsmedelsprogrammet,Engelska 5,61175914,..
Vård- och omsorgsprogrammet,Engelska 5,61175914,..
Hantverksprogrammet,Engelska 5,73316818,.
Industritekniska programmet,Engelska 5,27859889,..
VVS- och fastighetsprogrammet,Engelska 5,45541222,.
Barn- och fritidsprogrammet,Engelska 5,77713695,.
Fordons- och transportprogrammet,Engelska 5,77713695,..
Naturbruksprogrammet,Engelska 5,63451147,.
Vård- och omsorgsprogrammet,Engelska 5,17812651,..
Handels- och administrationsprogrammet,Engelska 5,69040241,..
Bygg- och anläggningsprogrammet,Engelska 5,91905819,..
El- och energiprogrammet,Engelska 5,91905819,.
Fordons- och transportprogrammet,Engelska 5,91905819,..
Hantverksprogrammet,Engelska 5,91905819,.
VVS- och fastighetsprogrammet,Engelska 5,91905819,.
Bygg- och anläggningsprogrammet,Engelska 5,54882637,.
El- och energiprogrammet,Engelska 5,54882637,..
VVS- och fastighetsprogrammet,Engelska 5,54882637,..
Barn- och fritidsprogrammet,Engelska 5,53923398,..
Bygg- och anläggningsprogrammet,Engelska 5,53923398,..
Fordons- och transportprogrammet,Engelska 5,53923398,.
Handels- och administrationsprogrammet,Engelska 5,53923398,..
Handels- och administrationsprogrammet,Engelska 5,47844862,..
Vård- och omsorgsprogrammet,Engelska 5,22239675,.
VVS- och fastighetsprogrammet,Engelska 5,72984079,..
Barn- och fritidsprogrammet,Engelska 5,36480690,.
El- och energiprogrammet,Engelska 5,36480690,.
Hantverksprogrammet,Engelska 5,36480690,..
Hantverksprogrammet,Engelska 5,24787883,.
El- och energiprogrammet,Engelska 5,52048443,.
Barn- och fritidsprogrammet,Engelska 5,32550660,..
Vård- och omsorgsprogrammet,Engelska 5,59599256,.
Bygg- och anläggningsprogrammet,Engelska 5,69865450,.
El- och energiprogrammet,Engelska 5,69865450,.
Fordons- och transportprogrammet,Engelska 5,69865450,..
Handels- och administrationsprogrammet,Engelska 5,69865450,.
Hantverksprogrammet,Engelska 5,69865450,..
Industritekniska programmet,Engelska 5,69865450,..
VVS- och fastighetsprogrammet,Engelska 5,69865450,.
Hantverksprogrammet,Engelska 5,31112935,.
Naturbruksprogrammet,Engelska 5,31112935,..
Handels- och administrationsprogrammet,Engelska 5,90509211,..
Barn- och fritidsprogrammet,Engelska 5,37316242,..
Bygg- och anläggningsprogrammet,Engelska 5,37316242,..
El- och energiprogrammet,Engelska 5,37316242,.
Handels- och administrationsprogrammet,Engelska 5,37316242,..
Restaurang- och livsmedelsprogrammet,Engelska 5,37316242,..
Bygg- och anläggningsprogrammet,Engelska 5,20173336,"40,0"
Fordons- och transportprogrammet,Engelska 5,20173336,..
Naturbruksprogrammet,Engelska 5,20173336,..
Bygg- och anläggningsprogrammet,Engelska 5,49872493,..
Fordons- och transportprogrammet,Engelska 5,49872493,..
Hantverksprogrammet,Engelska 5,49872493,.
Industritekniska programmet,Engelska 5,49872493,..
VVS- och fastighetsprogrammet,Engelska 5,49872493,.
Vård- och omsorgsprogrammet,Engelska 5,49872493,.
Bygg- och anläggningsprogrammet,Engelska 5,39147056,.
Fordons- och transportprogrammet,Engelska 5,39147056,..
Bygg- och anläggningsprogrammet,Engelska 5,11953769,.
Industritekniska programmet,Engelska 5,11953769,..
Vård- och omsorgsprogrammet,Engelska 5,11953769,.
Barn- och fritidsprogrammet,Engelska 5,50393060,.
El- och energiprogrammet,Engelska 5,50393060,..
Handels- och administrationsprogrammet,Engelska 5,50393060,..
Vård- och omsorgsprogrammet,Engelska 5,50393060,..
Barn- och fritidsprogrammet,Engelska 5,50146546,..
El- och energiprogrammet,Engelska 5,50146546,..
Handels- och administrationsprogrammet,Engelska 5,50146546,..
Hantverksprogrammet,Engelska 5,50146546,..
Industritekniska programmet,Engelska 5,50146546,..
Vård- och omsorgsprogrammet,Engelska 5,50146546,..
Barn- och fritidsprogrammet,Engelska 5,85788659,..
Bygg- och anläggningsprogrammet,Engelska 5,85788659,..
Fordons- och transportprogrammet,Engelska 5,85788659,.
Handels- och administrationsprogrammet,Engelska 5,85788659,..
Barn- och fritidsprogrammet,Engelska 5,95340745,..
Fordons- och transportprogrammet,Engelska 5,95340745,..
Industritekniska programmet,Engelska 5,95340745,.
Vård- och omsorgsprogrammet,Engelska 5,95340745,..
Barn- och fritidsprogrammet,Engelska 5,59521477,..
Bygg- och anläggningsprogrammet,Engelska 5,59521477,..
El- och energiprogrammet,Engelska 5,59521477,.
Fordons- och transportprogrammet,Engelska 5,59521477,.
Industritekniska programmet,Engelska 5,59521477,..
Hantverksprogrammet,Engelska 5,92442684,.
Vård- och omsorgsprogrammet,Engelska 5,92442684,..
Naturbruksprogrammet,Engelska 5,38544187,"14,5"
Vård- och omsorgsprogrammet,Engelska 5,54599691,..
Barn- och fritidsprogrammet,Engelska 5,54467211,..
Bygg- och anläggningsprogrammet,Engelska 5,54467211,..
El- och energiprogrammet,Engelska 5,54467211,.
Fordons- och transportprogrammet,Engelska 5,54467211,..
Naturbruksprogrammet,Engelska 5,23517683,..
Restaurang- och livsmedelsprogrammet,Engelska 5,61119556,..
Bygg- och anläggningsprogrammet,Engelska 5,82251333,"17,9"
Fordons- och transportprogrammet,Engelska 5,82251333,..
Hantverksprogrammet,Engelska 5,82251333,..
VVS- och fastighetsprogrammet,Engelska 5,82251333,..
Vård- och omsorgsprogrammet,Engelska 5,99864908,..
Handels- och administrationsprogrammet,Engelska 5,27106031,..
Restaurang- och livsmedelsprogrammet,Engelska 5,27106031,.
El- och energiprogrammet,Engelska 5,59463950,..
Industritekniska programmet,Engelska 5,59463950,..
El- och energiprogrammet,Engelska 5,63931325,.
Fordons- och transportprogrammet,Engelska 5,63931325,..
Handels- och administrationsprogrammet,Engelska 5,63931325,.
Restaurang- och livsmedelsprogrammet,Engelska 5,63931325,..
Vård- och omsorgsprogrammet,Engelska 5,63931325,..
El- och energiprogrammet,Engelska 5,44586618,..
Fordons- och transportprogrammet,Engelska 5,44586618,..
Handels- och administrationsprogrammet,Engelska 5,44586618,..
Handels- och administrationsprogrammet,Engelska 5,57391913,.
Restaurang- och livsmedelsprogrammet,Engelska 5,57391913,..
El- och energiprogrammet,Engelska 5,75374280,..
Fordons- och transportprogrammet,Engelska 5,75374280,..
Industritekniska programmet,Engelska 5,75374280,..
Barn- och fritidsprogrammet,Engelska 5,46148350,"63,6"
Fordons- och transportprogrammet,Engelska 5,46148350,..
Handels- och administrationsprogrammet,Engelska 5,46148350,..
Industritekniska programmet,Engelska 5,46148350,..
Vård- och omsorgsprogrammet,Engelska 5,46148350,..
El- och energiprogrammet,Engelska 5,50133877,..
Fordons- och transportprogrammet,Engelska 5,50133877,..
Barn- och fritidsprogrammet,Engelska 5,49868916,"33,3"
Vård- och omsorgsprogrammet,Engelska 5,49868916,"33,3"
Bygg- och anläggningsprogrammet,Engelska 5,90240730,..
Naturbruksprogrammet,Engelska 5,90240730,..
Barn- och fritidsprogrammet,Engelska 5,84908877,..
Fordons- och transportprogrammet,Engelska 5,84908877,..
Barn- och fritidsprogrammet,Engelska 5,24277564,.
Hantverksprogrammet,Engelska 5,24277564,.
Vård- och omsorgsprogrammet,Engelska 5,24277564,..
Naturbruksprogrammet,Engelska 5,88956420,.
Bygg- och anläggningsprogrammet,Engelska 5,34002355,..
El- och energiprogrammet,Engelska 5,34002355,.
Fordons- och transportprogrammet,Engelska 5,34002355,..
VVS- och fastighetsprogrammet,Engelska 5,34002355,..
Barn- och fritidsprogrammet,Engelska 5,36355200,.
Vård- och omsorgsprogrammet,Engelska 5,36355200,..
Bygg- och anläggningsprogrammet,Engelska 5,96920524,.
Handels- och administrationsprogrammet,Engelska 5,96920524,..
VVS- och fastighetsprogrammet,Engelska 5,96920524,..
Fordons- och transportprogrammet,Engelska 5,18217765,..
Industritekniska programmet,Engelska 5,60919765,.
Bygg- och anläggningsprogrammet,Engelska 5,14677676,..
Naturbruksprogrammet,Engelska 5,14677676,..
Bygg- och anläggningsprogrammet,Engelska 5,96152872,.
El- och energiprogrammet,Engelska 5,96152872,..
Hantverksprogrammet,Engelska 5,96152872,.
Industritekniska programmet,Engelska 5,96152872,..
Vård- och omsorgsprogrammet,Engelska 5,77835341,.
Handels- och administrationsprogrammet,Engelska 5,70803636,..
Restaurang- och livsmedelsprogrammet,Engelska 5,70803636,.
Handels- och administrationsprogrammet,Engelska 5,23797825,..
Hantverksprogrammet,Engelska 5,44738639,..
Vård- och omsorgsprogrammet,Engelska 5,77712952,.
Fordons- och transportprogrammet,Engelska 5,92009807,..
El- och energiprogrammet,Engelska 5,10433896,.
Bygg- och anläggningsprogrammet,Engelska 5,10342448,..
VVS- och fastighetsprogrammet,Engelska 5,10342448,..
El- och energiprogrammet,Engelska 5,43154449,.
El- och energiprogrammet,Engelska 5,96194948,.
Hantverksprogrammet,Engelska 5,96194948,..
VVS- och fastighetsprogrammet,Engelska 5,96194948,.
Hantverksprogrammet,Engelska 5,25955541,..
Naturbruksprogrammet,Engelska 5,25955541,.
Barn- och fritidsprogrammet,Engelska 5,88025221,.
Restaurang- och livsmedelsprogrammet,Engelska 5,14799321,..
Barn- och fritidsprogrammet,Engelska 5,56041699,.
Vård- och omsorgsprogrammet,Engelska 5,56041699,..
Barn- och fritidsprogrammet,Engelska 5,70955448,..
El- och energiprogrammet,Engelska 5,68824244,..
Industritekniska programmet,Engelska 5,68824244,..
Tågteknikutbildningen,Engelska 5,68824244,..
Bygg- och anläggningsprogrammet,Engelska 5,90685868,.
El- och energiprogrammet,Engelska 5,90685868,.
Fordons- och transportprogrammet,Engelska 5,90685868,..
Handels- och administrationsprogrammet,Engelska 5,90685868,.
Hantverksprogrammet,Engelska 5,90685868,..
Vård- och omsorgsprogrammet,Engelska 5,90685868,..
Bygg- och anläggningsprogrammet,Engelska 5,24501884,..
Naturbruksprogrammet,Engelska 5,24501884,..
Fordons- och transportprogrammet,Engelska 5,56084099,..
Industritekniska programmet,Engelska 5,56084099,..
Handels- och administrationsprogrammet,Engelska 5,80711021,"16,2"
Hantverksprogrammet,Engelska 5,80711021,.
Bygg- och anläggningsprogrammet,Engelska 5,17648596,..
Restaurang- och livsmedelsprogrammet,Engelska 5,16720048,..
Handels- och administrationsprogrammet,Engelska 5,13960635,..
Bygg- och anläggningsprogrammet,Engelska 5,39341381,..
El- och energiprogrammet,Engelska 5,39341381,..
Fordons- och transportprogrammet,Engelska 5,39341381,..
Handels- och administrationsprogrammet,Engelska 5,39341381,..
Barn- och fritidsprogrammet,Engelska 5,60088179,..
VVS- och fastighetsprogrammet,Engelska 5,60088179,..
Vård- och omsorgsprogrammet,Engelska 5,60088179,..
El- och energiprogrammet,Engelska 5,28391147,..
El- och energiprogrammet,Engelska 5,77843821,..
Bygg- och anläggningsprogrammet,Engelska 5,29209307,..
Fordons- och transportprogrammet,Engelska 5,29209307,"30,0"
Vård- och omsorgsprogrammet,Engelska 5,21778322,..
El- och energiprogrammet,Engelska 5,31380193,..
Handels- och administrationsprogrammet,Engelska 5,31380193,.
Hantverksprogrammet,Engelska 5,31380193,..
Restaurang- och livsmedelsprogrammet,Engelska 5,31380193,.
Bygg- och anläggningsprogrammet,Engelska 5,90290154,..
El- och energiprogrammet,Engelska 5,90290154,.
Hantverksprogrammet,Engelska 5,90290154,..
VVS- och fastighetsprogrammet,Engelska 5,90290154,..
Vård- och omsorgsprogrammet,Engelska 5,90290154,..
Barn- och fritidsprogrammet,Engelska 5,25847233,.
Handels- och administrationsprogrammet,Engelska 5,25847233,..
Vård- och omsorgsprogrammet,Engelska 5,25847233,..
Bygg- och anläggningsprogrammet,Engelska 5,92816527,..
El- och energiprogrammet,Engelska 5,92816527,.
Fordons- och transportprogrammet,Engelska 5,92816527,..
Hantverksprogrammet,Engelska 5,92816527,..
Restaurang- och livsmedelsprogrammet,Engelska 5,92816527,.
El- och energiprogrammet,Engelska 5,56802300,..
Industritekniska programmet,Engelska 5,56802300,..
Vård- och omsorgsprogrammet,Engelska 5,56802300,..
Fordons- och transportprogrammet,Engelska 5,15149235,.
Restaurang- och livsmedelsprogrammet,Engelska 5,15149235,..
El- och energiprogrammet,Engelska 5,77379848,..
Fordons- och transportprogrammet,Engelska 5,77379848,..
Vård- och omsorgsprogrammet,Engelska 5,77379848,..
El- och energiprogrammet,Engelska 5,13981977,..
Industritekniska programmet,Engelska 5,13981977,..
Bygg- och anläggningsprogrammet,Engelska 5,24538846,.
Barn- och fritidsprogrammet,Engelska 5,36886750,..
Handels- och administrationsprogrammet,Engelska 5,36886750,..
Barn- och fritidsprogrammet,Engelska 5,67422309,.
Bygg- och anläggningsprogrammet,Engelska 5,67422309,.
El- och energiprogrammet,Engelska 5,67422309,..
Vård- och omsorgsprogrammet,Engelska 5,67422309,..
Handels- och administrationsprogrammet,Engelska 5,67058407,..
Bygg- och anläggningsprogrammet,Engelska 5,34421265,..
Fordons- och transportprogrammet,Engelska 5,34421265,.
Industritekniska programmet,Engelska 5,34421265,..
Naturbruksprogrammet,Engelska 5,34421265,.
Bygg- och anläggningsprogrammet,Engelska 5,15791044,..
El- och energiprogrammet,Engelska 5,15791044,.
Vård- och omsorgsprogrammet,Engelska 5,15791044,.
Hantverksprogrammet,Engelska 5,98696836,.
Bygg- och anläggningsprogrammet,Engelska 5,82160887,..
El- och energiprogrammet,Engelska 5,82160887,.
El- och energiprogrammet,Engelska 5,23175129,.
Industritekniska programmet,Engelska 5,23175129,..
Handels- och administrationsprogrammet,Engelska 5,64908550,.
El- och energiprogrammet,Engelska 5,99710631,..
Sjöfartsutbildningen,Engelska 5,77358716,..
El- och energiprogrammet,Engelska 5,49739986,..
El- och energiprogrammet,Engelska 5,29225010,.
Bygg- och anläggningsprogrammet,Engelska 5,33249781,..
Naturbruksprogrammet,Engelska 5,33249781,..
Barn- och fritidsprogrammet,Engelska 5,64648566,..
Handels- och administrationsprogrammet,Engelska 5,64648566,..
Hantverksprogrammet,Engelska 5,64648566,..
Bygg- och anläggningsprogrammet,Engelska 5,18691102,..
El- och energiprogrammet,Engelska 5,18691102,..
Hantverksprogrammet,Engelska 5,18691102,..
Industritekniska programmet,Engelska 5,18691102,..
VVS- och fastighetsprogrammet,Engelska 5,18691102,..
Vård- och omsorgsprogrammet,Engelska 5,65421426,"30,0"
Bygg- och anläggningsprogrammet,Engelska 5,24349146,.
El- och energiprogrammet,Engelska 5,24349146,.
Fordons- och transportprogrammet,Engelska 5,24349146,.
VVS- och fastighetsprogrammet,Engelska 5,24349146,.
Barn- och fritidsprogrammet,Engelska 5,15933512,..
Handels- och administrationsprogrammet,Engelska 5,15933512,..
Hantverksprogrammet,Engelska 5,15933512,.
Restaurang- och livsmedelsprogrammet,Engelska 5,15933512,..
Bygg- och anläggningsprogrammet,Engelska 5,47692481,..
Handels- och administrationsprogrammet,Engelska 5,47692481,..
VVS- och fastighetsprogrammet,Engelska 5,47692481,..
Vård- och omsorgsprogrammet,Engelska 5,47692481,..
Barn- och fritidsprogrammet,Engelska 5,64693272,..
Fordons- och transportprogrammet,Engelska 5,64693272,..
Naturbruksprogrammet,Engelska 5,64693272,..
Restaurang- och livsmedelsprogrammet,Engelska 5,18072172,..
VVS- och fastighetsprogrammet,Engelska 5,18072172,..
Bygg- och anläggningsprogrammet,Engelska 5,85188855,.
El- och energiprogrammet,Engelska 5,85188855,.
Fordons- och transportprogrammet,Engelska 5,85188855,.
Handels- och administrationsprogrammet,Engelska 5,85188855,..
Industritekniska programmet,Engelska 5,85188855,..
Naturbruksprogrammet,Engelska 5,85188855,.
Restaurang- och livsmedelsprogrammet,Engelska 5,85188855,..
VVS- och fastighetsprogrammet,Engelska 5,85188855,..
El- och energiprogrammet,Engelska 5,39528347,.
Restaurang- och livsmedelsprogrammet,Engelska 5,39528347,.
Bygg- och anläggningsprogrammet,Engelska 5,85473846,..
Fordons- och transportprogrammet,Engelska 5,85473846,.
Handels- och administrationsprogrammet,Engelska 5,85473846,.
Hantverksprogrammet,Engelska 5,85473846,.
VVS- och fastighetsprogrammet,Engelska 5,29744774,.
Barn- och fritidsprogrammet,Engelska 5,89690587,..
Industritekniska programmet,Engelska 5,20768651,.
Bygg- och anläggningsprogrammet,Engelska 5,32239920,..
El- och energiprogrammet,Engelska 5,32239920,..
Fordons- och transportprogrammet,Engelska 5,98781765,..
Vård- och omsorgsprogrammet,Engelska 5,87112995,..
Barn- och fritidsprogrammet,Engelska 5,18686599,..
Barn- och fritidsprogrammet,Engelska 5,93779220,..
Handels- och administrationsprogrammet,Engelska 5,53279140,..
Hantverksprogrammet,Engelska 5,53279140,..
Restaurang- och livsmedelsprogrammet,Engelska 5,53279140,..
Barn- och fritidsprogrammet,Engelska 5,80785976,..
El- och energiprogrammet,Engelska 5,80785976,.
Hantverksprogrammet,Engelska 5,80785976,..
Barn- och fritidsprogrammet,Engelska 5,47559319,..
Bygg- och anläggningsprogrammet,Engelska 5,56187883,..
El- och energiprogrammet,Engelska 5,56187883,..
Fordons- och transportprogrammet,Engelska 5,56187883,.
Handels- och administrationsprogrammet,Engelska 5,56187883,..
Hantverksprogrammet,Engelska 5,56187883,.
Naturbruksprogrammet,Engelska 5,56187883,.
Restaurang- och livsmedelsprogrammet,Engelska 5,56187883,.
El- och energiprogrammet,Engelska 5,51023367,.
