program,skolkod,andel_med_examen
nationella program,92507006,"97,0"
nationella program,44653962,"100,0"
nationella program,20100577,"87,2"
nationella program,81993306,"89,4"
nationella program,19051089,"97,2"
nationella program,29097621,"90,3"
nationella program,47264019,"96,8"
nationella program,87764775,"72,2"
nationella program,50198492,"90,9"
nationella program,48438396,"75,6"
nationella program,98052678,"91,1"
nationella program,20099064,"92,5"
nationella program,44341171,"62,1"
nationella program,32671805,"76,6"
nationella program,38448056,"80,0"
nationella program,16313848,"79,5"
nationella program,79606767,"77,3"
nationella program,11294673,"100,0"
nationella program,86327236,"90,2"
nationella program,41745951,"100,0"
nationella program,83137205,"88,4"
nationella program,28398531,"94,5"
nationella program,66335258,"88,2"
nationella program,54172830,"88,6"
nationella program,86310217,"78,6"
nationella program,83085136,"100,0"
nationella program,75458014,"88,5"
nationella program,65136104,"82,4"
nationella program,61826221,.
nationella program,79033948,"96,9"
nationella program,56330385,"73,8"
nationella program,20228162,"100,0"
nationella program,68240485,"100,0"
nationella program,95046058,"94,7"
nationella program,44392995,"89,8"
nationella program,53462953,"91,3"
nationella program,69241230,"78,3"
nationella program,60730660,"100,0"
nationella program,85544331,"100,0"
nationella program,80327946,"88,8"
nationella program,82592568,"86,7"
nationella program,78875918,"88,5"
nationella program,78023197,"89,1"
nationella program,86385479,"91,2"
nationella program,40991561,..
nationella program,49862313,"76,2"
nationella program,99838438,"78,9"
nationella program,42859669,"80,0"
nationella program,70923626,"61,9"
nationella program,92905347,"91,3"
nationella program,99592025,"98,3"
nationella program,34247736,"92,9"
nationella program,47550455,"92,0"
nationella program,30329172,"97,9"
nationella program,76877530,"70,6"
nationella program,47046103,"86,0"
nationella program,56664512,..
nationella program,38167912,"93,3"
nationella program,43826783,..
nationella program,58125096,"80,6"
nationella program,82914148,..
nationella program,20620556,"93,1"
nationella program,77839100,..
nationella program,17173461,"78,6"
nationella program,55535552,.
nationella program,19560192,"84,6"
nationella program,30468157,"91,0"
nationella program,98053087,"89,2"
nationella program,92533079,"95,9"
nationella program,61528940,"94,8"
nationella program,23681822,"94,4"
nationella program,66861851,"92,9"
nationella program,72206824,"94,3"
nationella program,92858957,"89,7"
nationella program,46660042,"83,6"
nationella program,86296935,..
nationella program,44113417,"89,1"
nationella program,67783774,..
nationella program,38917647,..
nationella program,21363125,.
nationella program,39555838,"87,0"
nationella program,85214294,"78,6"
nationella program,82084961,"73,5"
nationella program,46162400,"87,8"
nationella program,98369689,"83,9"
nationella program,56529916,"91,7"
nationella program,40810950,"88,9"
nationella program,67279263,"91,9"
nationella program,40037982,"91,1"
nationella program,51210136,"97,5"
nationella program,73829818,"98,5"
nationella program,54395430,.
nationella program,18881773,"78,6"
nationella program,50908408,"90,9"
nationella program,18594470,"89,5"
nationella program,78295411,"78,2"
nationella program,80686587,"94,0"
nationella program,72232853,"93,8"
nationella program,12279302,"85,1"
nationella program,17849518,"100,0"
nationella program,64205087,"89,1"
nationella program,50500028,"89,3"
nationella program,94570025,"79,2"
nationella program,91984508,"80,9"
nationella program,78659008,"80,6"
nationella program,12448823,..
nationella program,40667807,"91,9"
nationella program,18091973,"96,5"
nationella program,88466776,"97,8"
nationella program,36539945,..
nationella program,40634612,"87,7"
nationella program,62439199,"85,0"
nationella program,66132676,"89,7"
nationella program,57942242,"89,7"
nationella program,80762863,"77,6"
nationella program,77688926,"98,0"
nationella program,14508922,"96,9"
nationella program,69629086,"96,5"
nationella program,88624631,"82,6"
nationella program,35390185,..
nationella program,37358234,"74,1"
nationella program,31657916,..
nationella program,21008461,"98,3"
nationella program,54606928,"93,1"
nationella program,53893730,"88,1"
nationella program,46241804,"90,0"
nationella program,42573391,"100,0"
nationella program,64574972,"92,3"
nationella program,19741742,"90,8"
nationella program,29032715,"88,9"
nationella program,45830583,"100,0"
nationella program,48931433,"88,3"
nationella program,97270136,"82,8"
nationella program,19909435,"98,6"
nationella program,30530571,"94,7"
nationella program,78839208,"98,5"
nationella program,96024712,"95,6"
nationella program,30458073,..
nationella program,40829056,"91,7"
nationella program,85800840,"95,2"
nationella program,68920727,"85,7"
nationella program,27115998,"93,8"
nationella program,41867682,"88,5"
nationella program,79516949,"90,3"
nationella program,65662401,"93,0"
nationella program,39583059,"89,1"
nationella program,38645259,"81,3"
nationella program,96684210,"95,4"
nationella program,87207941,"90,1"
nationella program,11673760,"86,3"
nationella program,46574937,"93,8"
nationella program,23836342,"87,9"
nationella program,63791419,"82,1"
nationella program,39805497,"90,3"
nationella program,38400227,"77,0"
nationella program,81619482,"98,4"
nationella program,83829189,"95,1"
nationella program,46145886,"96,6"
nationella program,12395564,"100,0"
nationella program,90006712,"100,0"
nationella program,43649848,"80,0"
nationella program,75344502,"75,0"
nationella program,84247499,"87,8"
nationella program,27041885,"76,3"
nationella program,39149668,"95,8"
nationella program,97064126,..
nationella program,32580162,"100,0"
nationella program,38233622,"87,5"
nationella program,48722826,"93,3"
nationella program,73063662,"71,4"
nationella program,40766349,"89,7"
nationella program,71571158,"84,4"
nationella program,53691739,"100,0"
nationella program,43251309,"100,0"
nationella program,97596286,"84,5"
nationella program,67554405,"97,5"
nationella program,86473502,"78,6"
nationella program,73944169,"96,0"
nationella program,98239050,"91,4"
nationella program,94455820,..
nationella program,58368956,"83,3"
nationella program,73567152,"77,1"
nationella program,61547652,"91,7"
nationella program,60209222,"91,4"
nationella program,62104139,"87,3"
nationella program,87034307,"90,8"
nationella program,78872213,"97,0"
nationella program,84286698,"100,0"
nationella program,62490359,"84,6"
nationella program,64725297,"89,7"
nationella program,43362941,"82,6"
nationella program,23350817,"83,3"
nationella program,76860623,"98,4"
nationella program,58191646,"89,4"
nationella program,80405898,"95,2"
nationella program,56021320,"96,7"
nationella program,41358402,"100,0"
nationella program,63179610,"73,9"
nationella program,64569393,"86,4"
nationella program,87262566,"85,4"
nationella program,64160122,"100,0"
nationella program,48217580,"93,0"
nationella program,41844601,"71,7"
nationella program,51620045,"94,9"
nationella program,86888278,"78,9"
nationella program,23457902,"85,7"
nationella program,27597104,"91,3"
nationella program,57397381,"79,5"
nationella program,56947954,"92,4"
nationella program,72022487,"90,2"
nationella program,71512894,"91,9"
nationella program,70969556,"90,0"
nationella program,28248021,"77,9"
nationella program,44417214,"95,4"
nationella program,25025681,"85,3"
nationella program,88776535,"89,3"
nationella program,49488344,"95,1"
nationella program,74408578,"91,3"
nationella program,71043974,"90,7"
nationella program,57777751,..
nationella program,38732602,"91,7"
nationella program,89807183,"93,9"
nationella program,86724994,"94,0"
nationella program,61161774,"93,4"
nationella program,86158933,"86,7"
nationella program,14102256,"90,0"
nationella program,75082280,"85,7"
nationella program,75914181,"85,5"
nationella program,39302565,"88,3"
nationella program,96818167,"94,1"
nationella program,36072799,"84,6"
nationella program,61432781,"85,9"
nationella program,78287294,"96,3"
nationella program,74316305,"91,4"
nationella program,39096170,"94,1"
nationella program,79527481,"89,6"
nationella program,67300857,"90,9"
nationella program,99279503,"90,0"
nationella program,63653488,..
nationella program,84476205,"95,6"
nationella program,24544503,"90,4"
nationella program,25392789,"96,5"
nationella program,72109637,..
nationella program,69240218,"90,7"
nationella program,14057258,..
nationella program,38460895,"66,7"
nationella program,31199511,"91,1"
nationella program,12934438,"96,5"
nationella program,43313366,"92,7"
nationella program,86787111,"94,3"
nationella program,97868185,"100,0"
nationella program,81551726,..
nationella program,77823650,"94,7"
nationella program,37550979,"100,0"
nationella program,52634142,"94,6"
nationella program,76195214,"96,9"
nationella program,54839753,..
nationella program,32705515,"92,7"
nationella program,60214465,"75,7"
nationella program,70137084,"85,2"
nationella program,82002016,"89,6"
nationella program,21901328,"78,9"
nationella program,23306658,"96,6"
nationella program,57350392,..
nationella program,97535124,"100,0"
nationella program,11102578,"98,0"
nationella program,69306209,"84,8"
nationella program,92651253,"95,2"
nationella program,31740319,"89,2"
