program,skolkod,andel_minst_e_sam1
Nationella program,42859669,"97,6"
Nationella program,70923626,"82,5"
Nationella program,92905347,"93,5"
Nationella program,99592025,"99,6"
Nationella program,34247736,"99,2"
Nationella program,47550455,"90,7"
Nationella program,30329172,"100,0"
Nationella program,76877530,"94,1"
Nationella program,47046103,"98,0"
Nationella program,56664512,..
Nationella program,38167912,"100,0"
Nationella program,43826783,..
Nationella program,58125096,"97,6"
Nationella program,82914148,"100,0"
Nationella program,20620556,"100,0"
Nationella program,77839100,..
Nationella program,17173461,"100,0"
Nationella program,55535552,..
Nationella program,19560192,"96,2"
Nationella program,30468157,"100,0"
Nationella program,98053087,"95,9"
Nationella program,92533079,"100,0"
Nationella program,61528940,"100,0"
Nationella program,23681822,"100,0"
Nationella program,66861851,"100,0"
Nationella program,72206824,"100,0"
Nationella program,92858957,"98,2"
Nationella program,46660042,"86,7"
Nationella program,86296935,..
Nationella program,44113417,"97,7"
Nationella program,67783774,..
Nationella program,38917647,..
Nationella program,21363125,..
Nationella program,39555838,"100,0"
Nationella program,85214294,"92,9"
Nationella program,82084961,"97,3"
Nationella program,46162400,"95,6"
Nationella program,98369689,"77,4"
Nationella program,56529916,"86,7"
Nationella program,40810950,"88,9"
Nationella program,67279263,"97,6"
Nationella program,40037982,"84,4"
Nationella program,51210136,"97,5"
Nationella program,73829818,"98,5"
Nationella program,54395430,.
Nationella program,18881773,"100,0"
Nationella program,50908408,"100,0"
Nationella program,18594470,"98,9"
Nationella program,78295411,"98,7"
Nationella program,80686587,"98,0"
Nationella program,72232853,"100,0"
Nationella program,12279302,"98,9"
Nationella program,17849518,"100,0"
Nationella program,64205087,"99,3"
Nationella program,50500028,"100,0"
Nationella program,94570025,"95,8"
Nationella program,91984508,"100,0"
Nationella program,78659008,"86,1"
Nationella program,12448823,..
Nationella program,40667807,"96,8"
Nationella program,18091973,"97,7"
Nationella program,88466776,"100,0"
Nationella program,36539945,..
Nationella program,40634612,"98,2"
Nationella program,62439199,"95,0"
Nationella program,66132676,"98,9"
Nationella program,57942242,"97,4"
Nationella program,80762863,"91,4"
Nationella program,77688926,"100,0"
Nationella program,14508922,"100,0"
Nationella program,69629086,"96,5"
Nationella program,88624631,"100,0"
Nationella program,35390185,..
Nationella program,37358234,"100,0"
Nationella program,31657916,..
Nationella program,21008461,"100,0"
Nationella program,54606928,"99,0"
Nationella program,53893730,"100,0"
Nationella program,46241804,"100,0"
Nationella program,42573391,"100,0"
