program,skolkod,andel_minst_e_sam1
Högskoleförberedande program,28519815,"94,3"
Högskoleförberedande program,65666808,..
Högskoleförberedande program,69543519,"88,9"
Högskoleförberedande program,89693952,.
Högskoleförberedande program,24759907,"87,5"
Högskoleförberedande program,78433202,"98,3"
Högskoleförberedande program,35366805,"96,4"
Högskoleförberedande program,31315191,"100,0"
Högskoleförberedande program,42775003,"100,0"
Högskoleförberedande program,56670842,"100,0"
Högskoleförberedande program,89370947,"100,0"
Högskoleförberedande program,48555205,"99,6"
Högskoleförberedande program,31313926,"96,6"
Högskoleförberedande program,30312720,"100,0"
Högskoleförberedande program,32116280,"100,0"
Högskoleförberedande program,57143976,"100,0"
Högskoleförberedande program,93367005,"100,0"
Högskoleförberedande program,53175499,"100,0"
Högskoleförberedande program,64388538,"98,9"
Högskoleförberedande program,52153758,"100,0"
Högskoleförberedande program,22116645,"99,0"
Högskoleförberedande program,99755443,"100,0"
Högskoleförberedande program,30167976,"100,0"
Högskoleförberedande program,50104466,"100,0"
Högskoleförberedande program,28004794,..
Högskoleförberedande program,32071849,"100,0"
Högskoleförberedande program,79845033,"98,3"
Högskoleförberedande program,41099519,"100,0"
Högskoleförberedande program,59386837,"100,0"
Högskoleförberedande program,17276047,"100,0"
Högskoleförberedande program,21382451,"100,0"
Högskoleförberedande program,48244956,"100,0"
Högskoleförberedande program,36769815,..
Högskoleförberedande program,43873969,"97,9"
Högskoleförberedande program,55825382,"96,7"
Högskoleförberedande program,19306558,"100,0"
Högskoleförberedande program,35301145,"100,0"
Högskoleförberedande program,24993048,"100,0"
Högskoleförberedande program,13084253,"98,7"
Högskoleförberedande program,59942080,"97,2"
Högskoleförberedande program,66273269,"100,0"
Högskoleförberedande program,11275959,"94,4"
Högskoleförberedande program,58518163,"100,0"
Högskoleförberedande program,27993549,"93,3"
Högskoleförberedande program,37912396,"100,0"
Högskoleförberedande program,45593337,"98,7"
Högskoleförberedande program,10226870,"100,0"
Högskoleförberedande program,19839859,"100,0"
Högskoleförberedande program,67628478,"100,0"
Högskoleförberedande program,37517404,..
Högskoleförberedande program,32057701,"100,0"
Högskoleförberedande program,30615080,"96,6"
Högskoleförberedande program,25178582,"97,1"
Högskoleförberedande program,70543431,"100,0"
Högskoleförberedande program,23476801,..
Högskoleförberedande program,86351879,"100,0"
Högskoleförberedande program,56041144,"100,0"
Högskoleförberedande program,74322969,"100,0"
Högskoleförberedande program,90260899,"98,1"
Högskoleförberedande program,31057219,"100,0"
Högskoleförberedande program,27079521,"100,0"
Högskoleförberedande program,33572033,"95,8"
Högskoleförberedande program,64579522,"100,0"
Högskoleförberedande program,34381901,"100,0"
Högskoleförberedande program,55150847,"99,0"
Högskoleförberedande program,90076461,"100,0"
Högskoleförberedande program,53069733,"98,0"
Högskoleförberedande program,99394620,"100,0"
Högskoleförberedande program,95368476,"100,0"
Högskoleförberedande program,14853321,"100,0"
Högskoleförberedande program,76448076,"100,0"
Högskoleförberedande program,31537066,"100,0"
Högskoleförberedande program,86488203,"99,1"
Högskoleförberedande program,25156286,"100,0"
Högskoleförberedande program,28081446,"98,9"
Högskoleförberedande program,21400668,"100,0"
Högskoleförberedande program,92949043,"100,0"
Högskoleförberedande program,92818240,"100,0"
Högskoleförberedande program,84329061,"100,0"
Högskoleförberedande program,91048178,"96,3"
Högskoleförberedande program,82718660,"100,0"
Högskoleförberedande program,12399380,"100,0"
Högskoleförberedande program,31486865,"99,7"
Högskoleförberedande program,97265732,"100,0"
Högskoleförberedande program,61720981,"100,0"
Högskoleförberedande program,50424828,"100,0"
Högskoleförberedande program,82931004,..
Högskoleförberedande program,95024660,"100,0"
Högskoleförberedande program,32263814,"100,0"
Högskoleförberedande program,47393891,"97,3"
Högskoleförberedande program,48414975,"100,0"
Högskoleförberedande program,11533776,"82,7"
Högskoleförberedande program,47108751,..
Högskoleförberedande program,28829503,"96,7"
Högskoleförberedande program,99622695,..
Högskoleförberedande program,98651664,"100,0"
Högskoleförberedande program,33657492,"99,1"
Högskoleförberedande program,79309485,"100,0"
Högskoleförberedande program,37078868,..
Högskoleförberedande program,16130958,"100,0"
Högskoleförberedande program,82195565,"98,8"
Högskoleförberedande program,33596572,"100,0"
Högskoleförberedande program,77713695,"100,0"
Högskoleförberedande program,51131594,"100,0"
Högskoleförberedande program,89680395,"92,9"
Högskoleförberedande program,53696633,"100,0"
Högskoleförberedande program,27440210,"89,6"
Högskoleförberedande program,62758285,"95,7"
Högskoleförberedande program,16218090,"100,0"
Högskoleförberedande program,64667996,"100,0"
Högskoleförberedande program,23544320,"100,0"
Högskoleförberedande program,57668673,"100,0"
Högskoleförberedande program,69040241,..
Högskoleförberedande program,63993414,"100,0"
Högskoleförberedande program,49136871,..
Högskoleförberedande program,20855811,"94,6"
Högskoleförberedande program,53923398,"100,0"
Högskoleförberedande program,74560191,"100,0"
Högskoleförberedande program,47844862,"99,6"
Högskoleförberedande program,72984079,"94,5"
Högskoleförberedande program,36480690,"98,0"
Högskoleförberedande program,24787883,..
Högskoleförberedande program,32995170,"100,0"
Högskoleförberedande program,52048443,"100,0"
Högskoleförberedande program,61674097,"100,0"
Högskoleförberedande program,32550660,"100,0"
Högskoleförberedande program,93488613,"100,0"
Högskoleförberedande program,45600034,"100,0"
Högskoleförberedande program,59599256,"99,6"
Högskoleförberedande program,26957025,"100,0"
Högskoleförberedande program,90509211,"100,0"
Högskoleförberedande program,43277545,"87,5"
Högskoleförberedande program,11953769,..
Högskoleförberedande program,50393060,"100,0"
Högskoleförberedande program,85788659,"100,0"
Högskoleförberedande program,95340745,..
Högskoleförberedande program,59521477,"100,0"
Högskoleförberedande program,92442684,"100,0"
Högskoleförberedande program,66095163,"96,1"
Högskoleförberedande program,54599691,"99,2"
Högskoleförberedande program,54004368,"97,4"
Högskoleförberedande program,31975673,"100,0"
Högskoleförberedande program,82251333,"100,0"
Högskoleförberedande program,99864908,"100,0"
Högskoleförberedande program,27106031,"100,0"
Högskoleförberedande program,59463950,"100,0"
Högskoleförberedande program,63931325,"100,0"
Högskoleförberedande program,57391913,"100,0"
Högskoleförberedande program,75374280,"100,0"
Högskoleförberedande program,46148350,"100,0"
Högskoleförberedande program,50133877,"97,0"
Högskoleförberedande program,49868916,"98,9"
Högskoleförberedande program,74919147,"100,0"
Högskoleförberedande program,78389879,"100,0"
Högskoleförberedande program,24277564,"100,0"
Högskoleförberedande program,44412461,"100,0"
Högskoleförberedande program,36355200,"100,0"
Högskoleförberedande program,96920524,"100,0"
Högskoleförberedande program,18217765,"100,0"
Högskoleförberedande program,70803636,"98,9"
Högskoleförberedande program,49576295,"100,0"
Högskoleförberedande program,66028861,"100,0"
Högskoleförberedande program,23797825,"100,0"
Högskoleförberedande program,45293715,"100,0"
Högskoleförberedande program,77712952,"100,0"
Högskoleförberedande program,10433896,"98,1"
Högskoleförberedande program,43154449,"100,0"
Högskoleförberedande program,49170638,"100,0"
Högskoleförberedande program,46379730,"97,4"
Högskoleförberedande program,25379974,"100,0"
Högskoleförberedande program,88025221,"100,0"
Högskoleförberedande program,18042101,"100,0"
Högskoleförberedande program,56041699,..
Högskoleförberedande program,45111086,"100,0"
Högskoleförberedande program,70955448,"100,0"
Högskoleförberedande program,68824244,"100,0"
Högskoleförberedande program,46707989,"100,0"
Högskoleförberedande program,46986216,"92,4"
Högskoleförberedande program,67924816,"98,2"
Högskoleförberedande program,92805465,"98,9"
Högskoleförberedande program,56084099,..
Högskoleförberedande program,16720048,"100,0"
Högskoleförberedande program,13960635,"100,0"
Högskoleförberedande program,61176909,"100,0"
Högskoleförberedande program,43479922,"100,0"
Högskoleförberedande program,28391147,"98,5"
Högskoleförberedande program,21778322,"100,0"
Högskoleförberedande program,31380193,..
Högskoleförberedande program,62612992,"99,2"
Högskoleförberedande program,85485803,"95,8"
Högskoleförberedande program,16848652,"100,0"
Högskoleförberedande program,88429477,"100,0"
Högskoleförberedande program,94975733,"100,0"
Högskoleförberedande program,56802300,"100,0"
Högskoleförberedande program,15149235,"100,0"
Högskoleförberedande program,13981977,"100,0"
Högskoleförberedande program,24538846,"100,0"
Högskoleförberedande program,67058407,"94,9"
Högskoleförberedande program,15791044,"100,0"
Högskoleförberedande program,65392939,"99,1"
Högskoleförberedande program,98696836,"100,0"
Högskoleförberedande program,64908550,"100,0"
Högskoleförberedande program,77358716,"100,0"
Högskoleförberedande program,49739986,"98,6"
Högskoleförberedande program,29225010,"100,0"
Högskoleförberedande program,92192566,"96,4"
Högskoleförberedande program,56886667,"99,1"
Högskoleförberedande program,64648566,"100,0"
Högskoleförberedande program,65421426,"99,6"
Högskoleförberedande program,62394916,"100,0"
Högskoleförberedande program,67908927,"95,8"
Högskoleförberedande program,72071234,"100,0"
Högskoleförberedande program,24349146,"97,7"
Högskoleförberedande program,83605345,..
Högskoleförberedande program,15933512,"100,0"
Högskoleförberedande program,64693272,"100,0"
Högskoleförberedande program,18072172,..
Högskoleförberedande program,65833454,"100,0"
Högskoleförberedande program,11341077,"96,8"
Högskoleförberedande program,34988313,"100,0"
Högskoleförberedande program,28045567,"100,0"
Högskoleförberedande program,20768651,"97,9"
Högskoleförberedande program,38880984,"97,6"
Högskoleförberedande program,28872974,"100,0"
Högskoleförberedande program,18686599,"100,0"
Högskoleförberedande program,93779220,"100,0"
Högskoleförberedande program,77797484,"100,0"
Högskoleförberedande program,80785976,"94,4"
Högskoleförberedande program,47559319,"97,3"
Högskoleförberedande program,21532545,"88,2"
Högskoleförberedande program,56187883,"100,0"
Högskoleförberedande program,20752831,"100,0"
Högskoleförberedande program,51023367,"100,0"
Högskoleförberedande program,34739511,"100,0"
Högskoleförberedande program,52690153,"100,0"
Yrkesprogram,93221031,"94,4"
Yrkesprogram,17474377,"94,4"
Yrkesprogram,18345915,"94,6"
Yrkesprogram,68229719,"100,0"
Yrkesprogram,61004230,"100,0"
Yrkesprogram,71262305,"100,0"
Yrkesprogram,55795961,..
Yrkesprogram,84947634,"100,0"
Yrkesprogram,97870412,"95,2"
Yrkesprogram,68564903,"100,0"
Yrkesprogram,82840198,"95,0"
Yrkesprogram,18208087,"97,0"
Yrkesprogram,89982804,"100,0"
Yrkesprogram,19464342,..
Yrkesprogram,60743463,..
Yrkesprogram,32960825,"100,0"
Yrkesprogram,43609520,..
Yrkesprogram,41416934,"90,3"
Yrkesprogram,21567982,"100,0"
Yrkesprogram,49379603,..
Yrkesprogram,80167319,..
Yrkesprogram,73171934,..
Yrkesprogram,83474173,"80,4"
Yrkesprogram,91487291,..
Yrkesprogram,21866405,"97,4"
Yrkesprogram,74434644,"88,0"
Yrkesprogram,42022406,"96,0"
Yrkesprogram,88445871,"93,2"
Yrkesprogram,18425335,"95,2"
Yrkesprogram,93281974,"93,3"
Yrkesprogram,23424275,"98,3"
Yrkesprogram,19150273,"89,5"
Yrkesprogram,25624692,"84,2"
Yrkesprogram,88534520,"93,8"
Yrkesprogram,16554575,"100,0"
Yrkesprogram,25356960,"73,0"
Yrkesprogram,64284020,"90,5"
Yrkesprogram,98132436,"89,6"
Yrkesprogram,60096875,"88,5"
Yrkesprogram,26334561,"94,7"
Yrkesprogram,40386043,"90,7"
Yrkesprogram,29324709,"100,0"
Yrkesprogram,26864271,"88,2"
Yrkesprogram,59483268,..
Yrkesprogram,33685428,"100,0"
Yrkesprogram,88573795,"100,0"
Yrkesprogram,82814120,"94,2"
Yrkesprogram,10924758,"100,0"
Yrkesprogram,34153869,..
Yrkesprogram,88259298,..
Yrkesprogram,73098153,"100,0"
Yrkesprogram,44240250,"94,6"
Yrkesprogram,17846181,..
Yrkesprogram,75082798,"89,4"
Yrkesprogram,23555409,"100,0"
Yrkesprogram,91333138,"92,3"
Yrkesprogram,30341162,..
Yrkesprogram,39936461,"100,0"
Yrkesprogram,72266906,"81,0"
Yrkesprogram,27030026,"94,1"
Yrkesprogram,12154972,"82,1"
Yrkesprogram,16950252,"100,0"
Yrkesprogram,34637764,"94,1"
Yrkesprogram,73255276,"100,0"
Yrkesprogram,15077883,"89,6"
Yrkesprogram,48434184,"81,3"
Yrkesprogram,58724424,"100,0"
Yrkesprogram,51138448,"100,0"
Yrkesprogram,19647256,"100,0"
Yrkesprogram,56421429,"100,0"
Yrkesprogram,39911065,..
Yrkesprogram,17008320,..
Yrkesprogram,56737496,"97,3"
Yrkesprogram,88850910,"93,3"
Yrkesprogram,93939982,"91,7"
Yrkesprogram,25720752,"100,0"
Yrkesprogram,55155562,"90,5"
Yrkesprogram,31533003,"100,0"
Yrkesprogram,31429031,"100,0"
Yrkesprogram,16361868,..
Yrkesprogram,24008049,"100,0"
Yrkesprogram,36680097,..
Yrkesprogram,87756916,"94,7"
Yrkesprogram,59734510,"94,1"
Yrkesprogram,19586169,"79,5"
Yrkesprogram,24273261,"100,0"
Yrkesprogram,95683850,"100,0"
Yrkesprogram,59455288,"100,0"
Yrkesprogram,82163292,"94,4"
Yrkesprogram,25679488,"78,3"
Yrkesprogram,25677996,"94,4"
Yrkesprogram,89888648,"88,9"
Yrkesprogram,90003262,"100,0"
Yrkesprogram,88163512,"81,8"
Yrkesprogram,35063170,..
Yrkesprogram,31279294,"100,0"
Yrkesprogram,36782335,"94,9"
Yrkesprogram,20666515,"100,0"
Yrkesprogram,37906565,"100,0"
Yrkesprogram,67279303,"97,4"
Yrkesprogram,21648755,"86,0"
Yrkesprogram,11111710,"87,5"
Yrkesprogram,90551279,"92,0"
Yrkesprogram,93062368,"68,8"
Yrkesprogram,69686851,"99,0"
Yrkesprogram,49616977,"100,0"
Yrkesprogram,90267145,"100,0"
Yrkesprogram,72998905,"92,3"
Yrkesprogram,69481650,"94,7"
Yrkesprogram,88153340,"87,5"
Yrkesprogram,94353434,"77,2"
Yrkesprogram,59396229,"90,9"
Yrkesprogram,95165649,"100,0"
Yrkesprogram,69626109,"93,0"
Yrkesprogram,85068812,..
Yrkesprogram,36444853,"89,7"
Yrkesprogram,15414001,"87,3"
Yrkesprogram,38311488,"96,9"
Yrkesprogram,16819383,"97,8"
Yrkesprogram,12994441,"90,9"
Yrkesprogram,53660780,"99,0"
Yrkesprogram,30086854,"100,0"
Yrkesprogram,79094701,"100,0"
Yrkesprogram,38684438,"94,7"
Yrkesprogram,96590873,"95,3"
Yrkesprogram,73147554,"100,0"
Yrkesprogram,65752105,..
Yrkesprogram,11274830,"88,9"
Yrkesprogram,51321260,"87,9"
Yrkesprogram,96279444,"100,0"
Yrkesprogram,61880907,"97,6"
Yrkesprogram,35006050,"90,9"
Yrkesprogram,88886610,"92,6"
Yrkesprogram,10638939,"87,5"
Yrkesprogram,88556189,"38,8"
Yrkesprogram,35236491,"98,4"
Yrkesprogram,58502307,"92,9"
Yrkesprogram,97177328,"94,1"
Yrkesprogram,72127035,"100,0"
Yrkesprogram,70969714,"100,0"
Yrkesprogram,85003442,"100,0"
Yrkesprogram,22752398,"92,5"
Yrkesprogram,71922787,"100,0"
Yrkesprogram,31843016,"97,1"
Yrkesprogram,74148070,..
Yrkesprogram,50696507,"100,0"
Yrkesprogram,44653962,"92,3"
Yrkesprogram,81993306,"100,0"
Yrkesprogram,29097621,"85,5"
Yrkesprogram,87764775,"94,4"
Yrkesprogram,48438396,"82,9"
Yrkesprogram,98052678,..
Yrkesprogram,44341171,"82,8"
Yrkesprogram,32671805,"95,7"
Yrkesprogram,38448056,"100,0"
Yrkesprogram,16313848,"83,6"
Yrkesprogram,79606767,"100,0"
Yrkesprogram,11294673,"95,5"
Yrkesprogram,86327236,"96,4"
Yrkesprogram,28398531,"76,5"
Yrkesprogram,66335258,"93,3"
Yrkesprogram,54172830,"91,3"
Yrkesprogram,86310217,"78,6"
Yrkesprogram,83085136,"98,1"
Yrkesprogram,75458014,..
Yrkesprogram,65136104,..
Yrkesprogram,79033948,"93,1"
Yrkesprogram,56330385,"61,1"
Yrkesprogram,44392995,"92,3"
Yrkesprogram,69241230,"95,7"
Yrkesprogram,85544331,"100,0"
Yrkesprogram,80327946,"93,8"
Yrkesprogram,78875918,"96,2"
Yrkesprogram,78023197,"97,8"
Yrkesprogram,86385479,"100,0"
Yrkesprogram,40991561,..
Yrkesprogram,99838438,"100,0"
Yrkesprogram,42859669,"91,9"
Yrkesprogram,70923626,"82,5"
Yrkesprogram,92905347,"93,5"
Yrkesprogram,99592025,"92,3"
Yrkesprogram,34247736,"95,2"
Yrkesprogram,47550455,"85,6"
Yrkesprogram,30329172,"100,0"
Yrkesprogram,76877530,..
Yrkesprogram,47046103,"96,9"
Yrkesprogram,56664512,..
Yrkesprogram,38167912,"100,0"
Yrkesprogram,20620556,"100,0"
Yrkesprogram,17173461,"100,0"
Yrkesprogram,19560192,"96,2"
Yrkesprogram,98053087,"95,9"
Yrkesprogram,92858957,"86,7"
Yrkesprogram,46660042,"86,7"
Yrkesprogram,44113417,"87,5"
Yrkesprogram,67783774,..
Yrkesprogram,38917647,..
Yrkesprogram,21363125,..
Yrkesprogram,39555838,..
Yrkesprogram,85214294,"87,5"
Yrkesprogram,82084961,"96,2"
Yrkesprogram,46162400,"94,5"
Yrkesprogram,98369689,"77,4"
Yrkesprogram,56529916,"86,7"
Yrkesprogram,40810950,"88,9"
Yrkesprogram,40037982,"84,4"
Yrkesprogram,73829818,"87,5"
Yrkesprogram,18881773,..
Yrkesprogram,80686587,"95,2"
Yrkesprogram,12279302,"98,2"
Yrkesprogram,17849518,"100,0"
Yrkesprogram,94570025,"95,8"
Yrkesprogram,91984508,"100,0"
Yrkesprogram,78659008,"86,1"
Yrkesprogram,12448823,..
Yrkesprogram,40667807,"92,0"
Yrkesprogram,18091973,"95,8"
Yrkesprogram,40634612,"100,0"
Yrkesprogram,62439199,"95,0"
Yrkesprogram,66132676,"100,0"
Yrkesprogram,80762863,"91,4"
Yrkesprogram,77688926,"100,0"
Yrkesprogram,14508922,..
Yrkesprogram,69629086,"96,5"
Yrkesprogram,88624631,"100,0"
Yrkesprogram,35390185,..
Yrkesprogram,37358234,"100,0"
Yrkesprogram,31657916,..
Yrkesprogram,54606928,"93,8"
Yrkesprogram,46241804,"100,0"
Yrkesprogram,42573391,"100,0"
Yrkesprogram,64574972,"100,0"
Yrkesprogram,19741742,"84,4"
Yrkesprogram,29032715,"93,8"
Yrkesprogram,48931433,"100,0"
Yrkesprogram,97270136,"96,6"
Yrkesprogram,19909435,"100,0"
Yrkesprogram,30530571,"92,7"
Yrkesprogram,96024712,"100,0"
Yrkesprogram,40829056,"100,0"
Yrkesprogram,85800840,"100,0"
Yrkesprogram,27115998,"100,0"
Yrkesprogram,41867682,"100,0"
Yrkesprogram,65662401,"100,0"
Yrkesprogram,39583059,"91,3"
Yrkesprogram,38645259,"96,9"
Yrkesprogram,87207941,..
Yrkesprogram,11673760,"92,6"
Yrkesprogram,63791419,"89,4"
Yrkesprogram,39805497,"85,7"
Yrkesprogram,38400227,"98,2"
Yrkesprogram,83829189,"85,4"
Yrkesprogram,46145886,"100,0"
Yrkesprogram,43649848,"100,0"
Yrkesprogram,75344502,"95,0"
Yrkesprogram,84247499,"95,9"
Yrkesprogram,27041885,"100,0"
Yrkesprogram,97064126,..
Yrkesprogram,32580162,"95,7"
Yrkesprogram,48722826,"98,4"
Yrkesprogram,71571158,"90,6"
Yrkesprogram,53691739,"100,0"
Yrkesprogram,97596286,"92,9"
Yrkesprogram,67554405,"98,8"
Yrkesprogram,86473502,"100,0"
Yrkesprogram,98239050,"100,0"
Yrkesprogram,94455820,..
Yrkesprogram,58368956,"88,1"
Yrkesprogram,73567152,"94,3"
Yrkesprogram,61547652,"100,0"
Yrkesprogram,60209222,"98,3"
Yrkesprogram,62104139,"100,0"
Yrkesprogram,78872213,"100,0"
Yrkesprogram,84286698,"92,3"
Yrkesprogram,62490359,"92,3"
Yrkesprogram,64725297,"75,9"
Yrkesprogram,43362941,"87,0"
Yrkesprogram,23350817,"100,0"
Yrkesprogram,76860623,"100,0"
Yrkesprogram,56021320,"100,0"
Yrkesprogram,41358402,"92,0"
Yrkesprogram,64569393,"94,4"
Yrkesprogram,87262566,"73,2"
Yrkesprogram,41844601,"98,3"
Yrkesprogram,51620045,"88,9"
Yrkesprogram,23457902,"100,0"
Yrkesprogram,27597104,"100,0"
Yrkesprogram,57397381,"96,6"
Yrkesprogram,56947954,"98,7"
Yrkesprogram,72022487,"94,0"
Yrkesprogram,70969556,"95,0"
Yrkesprogram,28248021,"80,6"
Yrkesprogram,44417214,"98,2"
Yrkesprogram,25025681,"100,0"
Yrkesprogram,49488344,"88,2"
Yrkesprogram,74408578,"85,7"
Yrkesprogram,86724994,"97,6"
Yrkesprogram,86158933,"91,3"
Yrkesprogram,14102256,"100,0"
Yrkesprogram,75082280,"92,9"
Yrkesprogram,75914181,"100,0"
Yrkesprogram,39302565,"100,0"
Yrkesprogram,36072799,"96,2"
Yrkesprogram,61432781,"95,8"
Yrkesprogram,78287294,"100,0"
Yrkesprogram,74316305,"94,3"
Yrkesprogram,39096170,"94,1"
Yrkesprogram,99279503,"89,1"
Yrkesprogram,72109637,..
Yrkesprogram,69240218,"84,6"
Yrkesprogram,14057258,"100,0"
Yrkesprogram,43313366,"100,0"
Yrkesprogram,97868185,..
Yrkesprogram,81551726,"66,7"
Yrkesprogram,77823650,"100,0"
Yrkesprogram,37550979,..
Yrkesprogram,52634142,"83,9"
Yrkesprogram,76195214,"98,5"
Yrkesprogram,54839753,..
Yrkesprogram,32705515,"100,0"
Yrkesprogram,60214465,"100,0"
Yrkesprogram,70137084,"98,3"
Yrkesprogram,82002016,"85,7"
Yrkesprogram,21901328,"100,0"
Yrkesprogram,23306658,"98,6"
Yrkesprogram,57350392,..
Yrkesprogram,11102578,"95,8"
Yrkesprogram,69306209,"100,0"
Yrkesprogram,92651253,"85,7"
Yrkesprogram,31740319,"97,3"
Yrkesprogram,17944628,"100,0"
Yrkesprogram,82826083,"90,6"
Yrkesprogram,94090461,"93,3"
Yrkesprogram,12954099,..
Yrkesprogram,80931789,"77,8"
Yrkesprogram,84098842,"100,0"
Yrkesprogram,90473340,..
Yrkesprogram,26167236,"92,9"
Yrkesprogram,69807202,"96,2"
Yrkesprogram,64648904,"100,0"
Yrkesprogram,63035915,"86,1"
Yrkesprogram,26324896,"100,0"
Yrkesprogram,28848709,"80,0"
Yrkesprogram,12613085,"100,0"
Yrkesprogram,53896162,"100,0"
Yrkesprogram,11185244,"82,9"
Yrkesprogram,56211717,"95,0"
Yrkesprogram,66824652,"83,3"
Yrkesprogram,49168016,"100,0"
Yrkesprogram,32042066,"92,3"
Yrkesprogram,50821167,"100,0"
Yrkesprogram,92814975,"100,0"
Yrkesprogram,28770304,"89,2"
Yrkesprogram,64123241,"100,0"
Yrkesprogram,69063711,"100,0"
Yrkesprogram,77609073,"87,2"
Yrkesprogram,35894996,"100,0"
Yrkesprogram,17119840,"90,9"
Yrkesprogram,68748767,"79,0"
Yrkesprogram,25596917,"88,2"
Yrkesprogram,20984584,"73,7"
Yrkesprogram,52129378,"97,4"
Yrkesprogram,98541468,"83,3"
Yrkesprogram,31155312,"83,3"
Yrkesprogram,25648215,"91,7"
Yrkesprogram,61823258,"95,8"
Yrkesprogram,39178171,"100,0"
Yrkesprogram,79994304,..
Yrkesprogram,68006362,"96,7"
Yrkesprogram,11608031,"88,2"
Yrkesprogram,86762103,"89,3"
Yrkesprogram,68381790,"97,4"
Yrkesprogram,13006857,"92,5"
Yrkesprogram,76007769,"79,5"
Yrkesprogram,16956086,"91,7"
Yrkesprogram,58187973,"100,0"
Yrkesprogram,88894245,"94,7"
Yrkesprogram,71160225,"100,0"
Yrkesprogram,67752682,"97,9"
Yrkesprogram,47884009,"83,9"
Yrkesprogram,44672598,"96,7"
Yrkesprogram,75340089,"100,0"
Yrkesprogram,36670439,"92,3"
Yrkesprogram,22220001,"86,4"
Yrkesprogram,15100079,..
Yrkesprogram,55421481,..
Yrkesprogram,99356671,"100,0"
Yrkesprogram,16702464,..
Yrkesprogram,71353314,..
Yrkesprogram,36252055,"94,3"
Yrkesprogram,91812793,"92,6"
Yrkesprogram,14355031,"100,0"
Yrkesprogram,72891848,"85,7"
Yrkesprogram,31796890,..
Yrkesprogram,22426680,"100,0"
Yrkesprogram,83805032,"96,6"
Yrkesprogram,48862305,"81,5"
Yrkesprogram,32887559,"91,3"
Yrkesprogram,71541108,"94,4"
Yrkesprogram,69471748,"87,2"
Yrkesprogram,93239262,"100,0"
Yrkesprogram,25745773,"100,0"
Yrkesprogram,99976753,..
Yrkesprogram,14278480,"91,7"
Yrkesprogram,28023078,"81,6"
Yrkesprogram,43284031,"96,2"
Yrkesprogram,13963517,"100,0"
Yrkesprogram,26267406,"87,5"
Yrkesprogram,31255918,"92,6"
Yrkesprogram,51955293,"92,3"
Yrkesprogram,35035671,"70,6"
Yrkesprogram,12130801,..
Yrkesprogram,51736304,"100,0"
Yrkesprogram,53180719,"97,3"
Yrkesprogram,27489137,"100,0"
Yrkesprogram,15609112,"100,0"
Yrkesprogram,60424371,"97,1"
Yrkesprogram,68655578,"74,1"
Yrkesprogram,17062663,"98,2"
Yrkesprogram,68741484,"100,0"
Yrkesprogram,56267421,"100,0"
Yrkesprogram,34990065,"92,9"
Yrkesprogram,37054246,"93,1"
Yrkesprogram,39199869,..
Yrkesprogram,62216381,"93,9"
Yrkesprogram,31179045,"87,0"
Yrkesprogram,72421673,"83,3"
Yrkesprogram,59655752,..
Yrkesprogram,88750078,"88,2"
Yrkesprogram,41878314,..
Yrkesprogram,41555549,"100,0"
Yrkesprogram,32003298,"100,0"
Yrkesprogram,22383788,"95,7"
Yrkesprogram,85459854,"94,4"
Yrkesprogram,81876614,..
Yrkesprogram,18711877,"92,3"
Yrkesprogram,67071618,"100,0"
Yrkesprogram,75324351,"100,0"
Yrkesprogram,61229217,"94,1"
Yrkesprogram,58929357,"100,0"
Yrkesprogram,42517257,"90,6"
Yrkesprogram,70376604,"100,0"
Yrkesprogram,93503103,"90,9"
Yrkesprogram,18617410,"100,0"
Yrkesprogram,41697930,"97,6"
Yrkesprogram,28025244,"100,0"
Yrkesprogram,17184072,"100,0"
Yrkesprogram,40338843,"100,0"
Yrkesprogram,77440824,"100,0"
Yrkesprogram,71069359,"100,0"
Yrkesprogram,86896907,"96,8"
Yrkesprogram,14292382,"97,4"
Yrkesprogram,87859089,"94,7"
Yrkesprogram,54764253,"100,0"
Yrkesprogram,98908403,"100,0"
Yrkesprogram,16493131,"98,3"
Yrkesprogram,41119610,"98,2"
Yrkesprogram,48304166,"76,6"
Yrkesprogram,24982097,"100,0"
Yrkesprogram,97104132,"100,0"
Yrkesprogram,68597767,"100,0"
Yrkesprogram,27964873,"91,7"
Yrkesprogram,30706655,"72,5"
Yrkesprogram,65674821,"100,0"
Yrkesprogram,46332927,"100,0"
Yrkesprogram,78690637,"90,9"
Yrkesprogram,24653673,"85,7"
Yrkesprogram,38048202,"95,7"
Yrkesprogram,90990441,..
Yrkesprogram,86319615,"100,0"
Yrkesprogram,87303004,"100,0"
Yrkesprogram,97835550,"95,5"
Yrkesprogram,22446331,"89,2"
Yrkesprogram,26671095,"92,3"
Yrkesprogram,42911621,"93,8"
Yrkesprogram,40575001,"93,0"
Yrkesprogram,75027822,"100,0"
Yrkesprogram,26508763,"94,8"
Yrkesprogram,14504503,"100,0"
Yrkesprogram,21850904,"100,0"
Yrkesprogram,77544055,"100,0"
Yrkesprogram,16198647,"100,0"
Yrkesprogram,12496135,"100,0"
Yrkesprogram,76903284,"100,0"
Yrkesprogram,68649663,"91,9"
Yrkesprogram,15870428,"85,7"
Yrkesprogram,26750052,"100,0"
Yrkesprogram,81997762,"98,4"
Yrkesprogram,69747871,.
Yrkesprogram,70119254,..
Yrkesprogram,79346084,"100,0"
Yrkesprogram,34222422,"100,0"
Yrkesprogram,84230226,..
