program,provnamn,skol_kod,gnm_betp
vård- och omsorgsprogrammet,engelska 5,34637764,"10,8"
hantverksprogrammet,engelska 5,73255276,"10,3"
barn- och fritidsprogrammet,engelska 5,15077883,"9,2"
bygg- och anläggningsprogrammet,engelska 5,15077883,"11,2"
el- och energiprogrammet,engelska 5,15077883,"13,9"
fordons- och transportprogrammet,engelska 5,15077883,..
handels- och administrationsprogrammet,engelska 5,15077883,"7,4"
restaurang- och livsmedelsprogrammet,engelska 5,15077883,"12,5"
vård- och omsorgsprogrammet,engelska 5,15077883,..
barn- och fritidsprogrammet,engelska 5,48434184,"12,1"
bygg- och anläggningsprogrammet,engelska 5,48434184,"13,6"
el- och energiprogrammet,engelska 5,48434184,"13,8"
fordons- och transportprogrammet,engelska 5,48434184,"9,6"
industritekniska programmet,engelska 5,48434184,..
vård- och omsorgsprogrammet,engelska 5,48434184,..
hantverksprogrammet,engelska 5,58724424,"12,1"
barn- och fritidsprogrammet,engelska 5,51138448,"12,8"
vård- och omsorgsprogrammet,engelska 5,51138448,"5,4"
bygg- och anläggningsprogrammet,engelska 5,19647256,"12,6"
fordons- och transportprogrammet,engelska 5,19647256,..
el- och energiprogrammet,engelska 5,56421429,"12,2"
handels- och administrationsprogrammet,engelska 5,39911065,..
industritekniska programmet,engelska 5,17008320,"10,5"
bygg- och anläggningsprogrammet,engelska 5,56737496,"10,6"
el- och energiprogrammet,engelska 5,56737496,"13,1"
handels- och administrationsprogrammet,engelska 5,56737496,"10,6"
vård- och omsorgsprogrammet,engelska 5,88850910,"10,0"
barn- och fritidsprogrammet,engelska 5,93939982,"10,5"
fordons- och transportprogrammet,engelska 5,93939982,"13,9"
vård- och omsorgsprogrammet,engelska 5,25720752,"12,5"
barn- och fritidsprogrammet,engelska 5,55155562,"10,4"
bygg- och anläggningsprogrammet,engelska 5,55155562,"10,4"
fordons- och transportprogrammet,engelska 5,55155562,"9,1"
industritekniska programmet,engelska 5,55155562,"10,9"
barn- och fritidsprogrammet,engelska 5,31533003,"9,2"
hantverksprogrammet,engelska 5,31429031,"11,3"
vård- och omsorgsprogrammet,engelska 5,31429031,"10,1"
restaurang- och livsmedelsprogrammet,engelska 5,16361868,"13,6"
el- och energiprogrammet,engelska 5,24008049,"12,8"
fordons- och transportprogrammet,engelska 5,24008049,..
el- och energiprogrammet,engelska 5,72661886,..
fordons- och transportprogrammet,engelska 5,72661886,..
el- och energiprogrammet,engelska 5,36680097,"12,7"
handels- och administrationsprogrammet,engelska 5,87756916,"11,0"
hantverksprogrammet,engelska 5,87756916,"12,8"
bygg- och anläggningsprogrammet,engelska 5,59734510,"11,7"
el- och energiprogrammet,engelska 5,59734510,..
fordons- och transportprogrammet,engelska 5,59734510,"9,2"
hantverksprogrammet,engelska 5,59734510,..
naturbruksprogrammet,engelska 5,59734510,"11,0"
vvs- och fastighetsprogrammet,engelska 5,59734510,..
barn- och fritidsprogrammet,engelska 5,19586169,"11,6"
bygg- och anläggningsprogrammet,engelska 5,19586169,"12,7"
el- och energiprogrammet,engelska 5,19586169,"11,0"
fordons- och transportprogrammet,engelska 5,19586169,..
handels- och administrationsprogrammet,engelska 5,19586169,..
hantverksprogrammet,engelska 5,19586169,..
vård- och omsorgsprogrammet,engelska 5,19586169,..
barn- och fritidsprogrammet,engelska 5,24273261,"12,9"
bygg- och anläggningsprogrammet,engelska 5,24273261,"12,7"
fordons- och transportprogrammet,engelska 5,24273261,..
handels- och administrationsprogrammet,engelska 5,24273261,..
industritekniska programmet,engelska 5,24273261,..
vvs- och fastighetsprogrammet,engelska 5,24273261,..
el- och energiprogrammet,engelska 5,95683850,"13,6"
industritekniska programmet,engelska 5,95683850,"12,1"
vård- och omsorgsprogrammet,engelska 5,95683850,"13,1"
barn- och fritidsprogrammet,engelska 5,59455288,..
bygg- och anläggningsprogrammet,engelska 5,59455288,..
handels- och administrationsprogrammet,engelska 5,59455288,"12,1"
naturbruksprogrammet,engelska 5,59455288,..
vård- och omsorgsprogrammet,engelska 5,59455288,..
naturbruksprogrammet,engelska 5,82163292,"12,9"
handels- och administrationsprogrammet,engelska 5,25679488,"9,8"
restaurang- och livsmedelsprogrammet,engelska 5,25679488,"10,0"
barn- och fritidsprogrammet,engelska 5,25677996,"10,0"
vård- och omsorgsprogrammet,engelska 5,25677996,"4,8"
bygg- och anläggningsprogrammet,engelska 5,89888648,"12,8"
el- och energiprogrammet,engelska 5,89888648,"11,3"
fordons- och transportprogrammet,engelska 5,89888648,..
vvs- och fastighetsprogrammet,engelska 5,89888648,..
fordons- och transportprogrammet,engelska 5,90003262,"12,5"
naturbruksprogrammet,engelska 5,88163512,"11,7"
handels- och administrationsprogrammet,engelska 5,35063170,"9,5"
industritekniska programmet,engelska 5,35063170,"10,0"
barn- och fritidsprogrammet,engelska 5,31279294,"11,0"
hantverksprogrammet,engelska 5,31279294,..
restaurang- och livsmedelsprogrammet,engelska 5,31279294,"12,5"
barn- och fritidsprogrammet,engelska 5,36782335,..
bygg- och anläggningsprogrammet,engelska 5,36782335,"10,7"
el- och energiprogrammet,engelska 5,36782335,"14,3"
fordons- och transportprogrammet,engelska 5,36782335,"9,8"
handels- och administrationsprogrammet,engelska 5,36782335,"10,8"
naturbruksprogrammet,engelska 5,36782335,"10,8"
restaurang- och livsmedelsprogrammet,engelska 5,36782335,"12,7"
sjöfartsutbildningen,engelska 5,36782335,"14,1"
vvs- och fastighetsprogrammet,engelska 5,36782335,"12,1"
vård- och omsorgsprogrammet,engelska 5,36782335,"12,1"
bygg- och anläggningsprogrammet,engelska 5,20666515,"10,5"
vvs- och fastighetsprogrammet,engelska 5,20666515,"13,4"
el- och energiprogrammet,engelska 5,37906565,"15,2"
handels- och administrationsprogrammet,engelska 5,37906565,"13,0"
vård- och omsorgsprogrammet,engelska 5,37906565,..
fordons- och transportprogrammet,engelska 5,67279303,"11,5"
industritekniska programmet,engelska 5,67279303,"9,5"
fordons- och transportprogrammet,engelska 5,21648755,"8,6"
handels- och administrationsprogrammet,engelska 5,21648755,"8,7"
hantverksprogrammet,engelska 5,11111710,"11,8"
barn- och fritidsprogrammet,engelska 5,90551279,"12,6"
bygg- och anläggningsprogrammet,engelska 5,90551279,"11,5"
el- och energiprogrammet,engelska 5,90551279,"14,3"
hantverksprogrammet,engelska 5,90551279,"11,6"
industritekniska programmet,engelska 5,90551279,"16,1"
restaurang- och livsmedelsprogrammet,engelska 5,90551279,"13,3"
vvs- och fastighetsprogrammet,engelska 5,90551279,"12,8"
vård- och omsorgsprogrammet,engelska 5,90551279,"11,6"
barn- och fritidsprogrammet,engelska 5,93062368,"3,9"
bygg- och anläggningsprogrammet,engelska 5,93062368,..
restaurang- och livsmedelsprogrammet,engelska 5,93062368,..
vvs- och fastighetsprogrammet,engelska 5,93062368,..
el- och energiprogrammet,engelska 5,69686851,"13,9"
hantverksprogrammet,engelska 5,69686851,"10,2"
naturbruksprogrammet,engelska 5,69686851,"11,5"
handels- och administrationsprogrammet,engelska 5,49616977,"9,3"
handels- och administrationsprogrammet,engelska 5,72998905,"8,5"
vård- och omsorgsprogrammet,engelska 5,72998905,"8,5"
handels- och administrationsprogrammet,engelska 5,69481650,"12,8"
bygg- och anläggningsprogrammet,engelska 5,88153340,"10,7"
bygg- och anläggningsprogrammet,engelska 5,94353434,"13,5"
hantverksprogrammet,engelska 5,59396229,"11,5"
naturbruksprogrammet,engelska 5,95165649,"12,3"
barn- och fritidsprogrammet,engelska 5,69626109,"11,7"
el- och energiprogrammet,engelska 5,85068812,"12,1"
hantverksprogrammet,engelska 5,36444853,"14,7"
el- och energiprogrammet,engelska 5,16819383,"6,2"
industritekniska programmet,engelska 5,16819383,"3,9"
vvs- och fastighetsprogrammet,engelska 5,16819383,"2,5"
handels- och administrationsprogrammet,engelska 5,12994441,"12,5"
industritekniska programmet,engelska 5,53660780,"15,6"
handels- och administrationsprogrammet,engelska 5,30086854,"12,7"
el- och energiprogrammet,engelska 5,79094701,"14,8"
handels- och administrationsprogrammet,engelska 5,38684438,"13,0"
vård- och omsorgsprogrammet,engelska 5,35647481,"10,2"
handels- och administrationsprogrammet,engelska 5,73147554,"14,3"
hantverksprogrammet,engelska 5,65752105,"14,2"
fordons- och transportprogrammet,engelska 5,61880907,"12,1"
el- och energiprogrammet,engelska 5,35006050,"13,5"
handels- och administrationsprogrammet,engelska 5,35006050,"13,4"
bygg- och anläggningsprogrammet,engelska 5,88886610,"12,8"
barn- och fritidsprogrammet,engelska 5,10638939,"11,8"
handels- och administrationsprogrammet,engelska 5,10638939,..
bygg- och anläggningsprogrammet,engelska 5,88556189,"10,4"
el- och energiprogrammet,engelska 5,88556189,"11,0"
fordons- och transportprogrammet,engelska 5,88556189,"10,3"
hantverksprogrammet,engelska 5,88556189,..
industritekniska programmet,engelska 5,88556189,..
vvs- och fastighetsprogrammet,engelska 5,88556189,..
vård- och omsorgsprogrammet,engelska 5,88556189,"10,6"
naturbruksprogrammet,engelska 5,35236491,"13,7"
el- och energiprogrammet,engelska 5,34831349,"9,5"
bygg- och anläggningsprogrammet,engelska 5,63511898,"10,2"
el- och energiprogrammet,engelska 5,63511898,"13,5"
fordons- och transportprogrammet,engelska 5,63511898,"6,5"
handels- och administrationsprogrammet,engelska 5,63511898,"12,1"
hantverksprogrammet,engelska 5,63511898,"9,4"
industritekniska programmet,engelska 5,63511898,..
vvs- och fastighetsprogrammet,engelska 5,63511898,"12,0"
vård- och omsorgsprogrammet,engelska 5,63511898,"9,8"
barn- och fritidsprogrammet,engelska 5,72127035,"6,1"
bygg- och anläggningsprogrammet,engelska 5,72127035,"9,0"
el- och energiprogrammet,engelska 5,72127035,"9,4"
