program,provnamn,skol_kod,gnm_betp
el- och energiprogrammet,engelska 5,81876614,..
barn- och fritidsprogrammet,engelska 5,18711877,"13,6"
bygg- och anläggningsprogrammet,engelska 5,18711877,"12,1"
handels- och administrationsprogrammet,engelska 5,18711877,..
hantverksprogrammet,engelska 5,18711877,..
restaurang- och livsmedelsprogrammet,engelska 5,18711877,"11,9"
vård- och omsorgsprogrammet,engelska 5,18711877,"10,7"
barn- och fritidsprogrammet,engelska 5,67071618,"8,6"
industritekniska programmet,engelska 5,67071618,"8,4"
fordons- och transportprogrammet,engelska 5,21862642,..
bygg- och anläggningsprogrammet,engelska 5,61229217,"10,0"
el- och energiprogrammet,engelska 5,61229217,"11,2"
fordons- och transportprogrammet,engelska 5,61229217,"10,3"
el- och energiprogrammet,engelska 5,58929357,"14,2"
industritekniska programmet,engelska 5,58929357,"17,7"
naturbruksprogrammet,engelska 5,42517257,"14,1"
vård- och omsorgsprogrammet,engelska 5,70376604,"13,6"
barn- och fritidsprogrammet,engelska 5,18617410,"12,5"
bygg- och anläggningsprogrammet,engelska 5,41697930,"15,0"
el- och energiprogrammet,engelska 5,41697930,"13,7"
vvs- och fastighetsprogrammet,engelska 5,41697930,"11,3"
handels- och administrationsprogrammet,engelska 5,28025244,"11,1"
restaurang- och livsmedelsprogrammet,engelska 5,28025244,"15,7"
el- och energiprogrammet,engelska 5,17184072,..
industritekniska programmet,engelska 5,17184072,..
barn- och fritidsprogrammet,engelska 5,40338843,"11,5"
handels- och administrationsprogrammet,engelska 5,40338843,..
bygg- och anläggningsprogrammet,engelska 5,77440824,"10,5"
el- och energiprogrammet,engelska 5,77440824,"13,5"
industritekniska programmet,engelska 5,77440824,..
naturbruksprogrammet,engelska 5,86896907,"11,7"
barn- och fritidsprogrammet,engelska 5,14292382,..
bygg- och anläggningsprogrammet,engelska 5,14292382,"9,9"
el- och energiprogrammet,engelska 5,14292382,"12,5"
fordons- och transportprogrammet,engelska 5,14292382,..
handels- och administrationsprogrammet,engelska 5,14292382,..
naturbruksprogrammet,engelska 5,14292382,"12,9"
vård- och omsorgsprogrammet,engelska 5,14292382,..
barn- och fritidsprogrammet,engelska 5,87859089,"11,1"
el- och energiprogrammet,engelska 5,87859089,"12,3"
fordons- och transportprogrammet,engelska 5,87859089,"10,6"
bygg- och anläggningsprogrammet,engelska 5,54764253,"11,9"
naturbruksprogrammet,engelska 5,54764253,"12,3"
barn- och fritidsprogrammet,engelska 5,98908403,"13,5"
bygg- och anläggningsprogrammet,engelska 5,98908403,"11,7"
bygg- och anläggningsprogrammet,engelska 5,16493131,"14,0"
el- och energiprogrammet,engelska 5,16493131,"13,2"
fordons- och transportprogrammet,engelska 5,16493131,"7,6"
handels- och administrationsprogrammet,engelska 5,16493131,"11,8"
industritekniska programmet,engelska 5,16493131,"10,5"
restaurang- och livsmedelsprogrammet,engelska 5,16493131,"13,5"
vård- och omsorgsprogrammet,engelska 5,16493131,"10,9"
industritekniska programmet,engelska 5,41119610,"15,9"
fordons- och transportprogrammet,engelska 5,48304166,"9,6"
handels- och administrationsprogrammet,engelska 5,48304166,"11,8"
restaurang- och livsmedelsprogrammet,engelska 5,48304166,"11,5"
vård- och omsorgsprogrammet,engelska 5,48304166,"8,0"
barn- och fritidsprogrammet,engelska 5,24982097,"8,2"
bygg- och anläggningsprogrammet,engelska 5,24982097,"11,8"
el- och energiprogrammet,engelska 5,24982097,"11,4"
handels- och administrationsprogrammet,engelska 5,24982097,..
vvs- och fastighetsprogrammet,engelska 5,24982097,..
naturbruksprogrammet,engelska 5,97104132,"15,9"
barn- och fritidsprogrammet,engelska 5,68597767,..
el- och energiprogrammet,engelska 5,68597767,"13,5"
restaurang- och livsmedelsprogrammet,engelska 5,68597767,"10,5"
vård- och omsorgsprogrammet,engelska 5,68597767,..
bygg- och anläggningsprogrammet,engelska 5,30706655,"10,5"
fordons- och transportprogrammet,engelska 5,30706655,"10,4"
handels- och administrationsprogrammet,engelska 5,30706655,"10,8"
vård- och omsorgsprogrammet,engelska 5,65674821,"10,8"
naturbruksprogrammet,engelska 5,46332927,"10,7"
bygg- och anläggningsprogrammet,engelska 5,78690637,"13,8"
fordons- och transportprogrammet,engelska 5,78690637,"9,6"
vvs- och fastighetsprogrammet,engelska 5,78690637,"12,7"
fordons- och transportprogrammet,engelska 5,24653673,"12,5"
barn- och fritidsprogrammet,engelska 5,38048202,"13,2"
el- och energiprogrammet,engelska 5,38048202,"14,3"
handels- och administrationsprogrammet,engelska 5,38048202,"12,4"
industritekniska programmet,engelska 5,38048202,..
barn- och fritidsprogrammet,engelska 5,90990441,..
el- och energiprogrammet,engelska 5,90990441,"14,7"
hantverksprogrammet,engelska 5,90990441,"10,6"
naturbruksprogrammet,engelska 5,86319615,"13,6"
bygg- och anläggningsprogrammet,engelska 5,87303004,"14,2"
fordons- och transportprogrammet,engelska 5,87303004,"12,5"
handels- och administrationsprogrammet,engelska 5,87303004,..
vård- och omsorgsprogrammet,engelska 5,87303004,"10,2"
bygg- och anläggningsprogrammet,engelska 5,97835550,"12,5"
el- och energiprogrammet,engelska 5,97835550,..
fordons- och transportprogrammet,engelska 5,97835550,..
vård- och omsorgsprogrammet,engelska 5,97835550,"6,3"
bygg- och anläggningsprogrammet,engelska 5,22446331,"10,4"
fordons- och transportprogrammet,engelska 5,22446331,"12,1"
naturbruksprogrammet,engelska 5,22446331,"12,3"
el- och energiprogrammet,engelska 5,26671095,"14,0"
bygg- och anläggningsprogrammet,engelska 5,42911621,"12,6"
el- och energiprogrammet,engelska 5,42911621,"11,6"
hantverksprogrammet,engelska 5,42911621,"10,7"
industritekniska programmet,engelska 5,42911621,"12,2"
vvs- och fastighetsprogrammet,engelska 5,42911621,"12,7"
barn- och fritidsprogrammet,engelska 5,40575001,"9,6"
fordons- och transportprogrammet,engelska 5,40575001,"11,1"
restaurang- och livsmedelsprogrammet,engelska 5,40575001,"12,5"
restaurang- och livsmedelsprogrammet,engelska 5,43998440,..
industritekniska programmet,engelska 5,75027822,"13,9"
barn- och fritidsprogrammet,engelska 5,26508763,"13,4"
hantverksprogrammet,engelska 5,26508763,"12,0"
vård- och omsorgsprogrammet,engelska 5,26508763,"11,7"
industritekniska programmet,engelska 5,21850904,"16,4"
handels- och administrationsprogrammet,engelska 5,77544055,"12,4"
vård- och omsorgsprogrammet,engelska 5,16198647,"12,5"
barn- och fritidsprogrammet,engelska 5,76903284,"11,7"
bygg- och anläggningsprogrammet,engelska 5,76903284,..
fordons- och transportprogrammet,engelska 5,76903284,"9,2"
handels- och administrationsprogrammet,engelska 5,76903284,"7,5"
naturbruksprogrammet,engelska 5,76903284,"13,3"
vård- och omsorgsprogrammet,engelska 5,76903284,"8,4"
vård- och omsorgsprogrammet,engelska 5,68649663,"13,9"
el- och energiprogrammet,engelska 5,15870428,"12,9"
handels- och administrationsprogrammet,engelska 5,15870428,"9,5"
bygg- och anläggningsprogrammet,engelska 5,81997762,..
el- och energiprogrammet,engelska 5,81997762,"10,3"
fordons- och transportprogrammet,engelska 5,81997762,..
handels- och administrationsprogrammet,engelska 5,81997762,"13,3"
hantverksprogrammet,engelska 5,81997762,..
vård- och omsorgsprogrammet,engelska 5,81997762,"6,9"
bygg- och anläggningsprogrammet,engelska 5,70119254,"11,5"
barn- och fritidsprogrammet,engelska 5,79346084,"13,1"
el- och energiprogrammet,engelska 5,79346084,"12,5"
bygg- och anläggningsprogrammet,engelska 5,34222422,..
hantverksprogrammet,engelska 5,34222422,..
naturbruksprogrammet,engelska 5,34222422,"12,5"
bygg- och anläggningsprogrammet,engelska 5,42060237,"12,2"
handels- och administrationsprogrammet,engelska 5,42060237,..
hantverksprogrammet,engelska 5,42060237,..
restaurang- och livsmedelsprogrammet,engelska 5,42060237,..
vvs- och fastighetsprogrammet,engelska 5,42060237,..
vård- och omsorgsprogrammet,engelska 5,42060237,"10,7"
barn- och fritidsprogrammet,engelska 5,89816391,"14,3"
fordons- och transportprogrammet,engelska 5,89816391,"8,0"
el- och energiprogrammet,engelska 5,14448619,"13,8"
handels- och administrationsprogrammet,engelska 5,14448619,"10,9"
industritekniska programmet,engelska 5,12546590,"13,7"
el- och energiprogrammet,engelska 5,94167577,"13,3"
hantverksprogrammet,engelska 5,94167577,"14,1"
handels- och administrationsprogrammet,engelska 5,27023528,"12,2"
barn- och fritidsprogrammet,engelska 5,53903798,"9,6"
vård- och omsorgsprogrammet,engelska 5,53903798,"8,2"
bygg- och anläggningsprogrammet,engelska 5,85782695,"5,9"
handels- och administrationsprogrammet,engelska 5,85782695,"9,4"
naturbruksprogrammet,engelska 5,98815582,"14,4"
vård- och omsorgsprogrammet,engelska 5,97770837,"14,8"
el- och energiprogrammet,engelska 5,21312503,"13,9"
el- och energiprogrammet,engelska 5,14926020,"8,6"
vvs- och fastighetsprogrammet,engelska 5,14926020,"5,0"
barn- och fritidsprogrammet,engelska 5,33132452,"9,7"
el- och energiprogrammet,engelska 5,33132452,"11,7"
handels- och administrationsprogrammet,engelska 5,33132452,"13,2"
hantverksprogrammet,engelska 5,33132452,"12,3"
vård- och omsorgsprogrammet,engelska 5,33132452,"12,3"
restaurang- och livsmedelsprogrammet,engelska 5,56653353,"14,9"
handels- och administrationsprogrammet,engelska 5,97510495,"13,3"
vård- och omsorgsprogrammet,engelska 5,95618280,"11,6"
vård- och omsorgsprogrammet,engelska 5,26326048,"7,3"
barn- och fritidsprogrammet,engelska 5,17675502,"13,0"
handels- och administrationsprogrammet,engelska 5,17675502,"10,8"
handels- och administrationsprogrammet,engelska 5,75600007,"7,0"
handels- och administrationsprogrammet,engelska 5,15278518,"14,7"
el- och energiprogrammet,engelska 5,15390992,"16,5"
hantverksprogrammet,engelska 5,63943560,"12,7"
handels- och administrationsprogrammet,engelska 5,85516596,"12,5"
hantverksprogrammet,engelska 5,85516596,"14,6"
restaurang- och livsmedelsprogrammet,engelska 5,31998226,..
vvs- och fastighetsprogrammet,engelska 5,31998226,"11,2"
bygg- och anläggningsprogrammet,engelska 5,38236800,"12,0"
el- och energiprogrammet,engelska 5,38236800,"12,0"
fordons- och transportprogrammet,engelska 5,38236800,"7,9"
handels- och administrationsprogrammet,engelska 5,38236800,"11,6"
hantverksprogrammet,engelska 5,38236800,"14,0"
fordons- och transportprogrammet,engelska 5,59026584,"14,6"
hantverksprogrammet,engelska 5,59026584,"13,2"
naturbruksprogrammet,engelska 5,59026584,"15,1"
vvs- och fastighetsprogrammet,engelska 5,79829846,"13,2"
sjöfartsutbildningen,engelska 5,20061769,"14,1"
el- och energiprogrammet,engelska 5,95154882,"14,5"
naturbruksprogrammet,engelska 5,52333875,"10,4"
el- och energiprogrammet,engelska 5,65666808,"12,5"
hantverksprogrammet,engelska 5,65666808,"12,6"
restaurang- och livsmedelsprogrammet,engelska 5,24397215,"13,8"
restaurang- och livsmedelsprogrammet,engelska 5,30677562,"14,3"
fordons- och transportprogrammet,engelska 5,85054102,"9,1"
fordons- och transportprogrammet,engelska 5,87274273,"13,8"
bygg- och anläggningsprogrammet,engelska 5,41631104,"12,3"
vvs- och fastighetsprogrammet,engelska 5,41631104,"15,5"
hantverksprogrammet,engelska 5,80357110,"9,6"
el- och energiprogrammet,engelska 5,18451445,"10,2"
industritekniska programmet,engelska 5,18451445,"12,3"
el- och energiprogrammet,engelska 5,31313926,"14,3"
el- och energiprogrammet,engelska 5,93367005,"14,1"
bygg- och anläggningsprogrammet,engelska 5,26298615,"11,1"
fordons- och transportprogrammet,engelska 5,26298615,"12,8"
handels- och administrationsprogrammet,engelska 5,79845033,"11,7"
restaurang- och livsmedelsprogrammet,engelska 5,79845033,"11,8"
vård- och omsorgsprogrammet,engelska 5,79845033,"13,0"
barn- och fritidsprogrammet,engelska 5,41099519,..
bygg- och anläggningsprogrammet,engelska 5,41099519,"11,3"
el- och energiprogrammet,engelska 5,41099519,"12,0"
fordons- och transportprogrammet,engelska 5,41099519,..
handels- och administrationsprogrammet,engelska 5,41099519,"12,0"
restaurang- och livsmedelsprogrammet,engelska 5,41099519,..
vård- och omsorgsprogrammet,engelska 5,41099519,..
bygg- och anläggningsprogrammet,engelska 5,59386837,"10,8"
el- och energiprogrammet,engelska 5,59386837,..
fordons- och transportprogrammet,engelska 5,59386837,"11,2"
handels- och administrationsprogrammet,engelska 5,59386837,"10,0"
industritekniska programmet,engelska 5,59386837,..
vård- och omsorgsprogrammet,engelska 5,59386837,"12,0"
restaurang- och livsmedelsprogrammet,engelska 5,21627442,"13,9"
el- och energiprogrammet,engelska 5,17276047,"12,8"
bygg- och anläggningsprogrammet,engelska 5,73217812,"8,3"
fordons- och transportprogrammet,engelska 5,73217812,"8,0"
hantverksprogrammet,engelska 5,73217812,"11,6"
el- och energiprogrammet,engelska 5,48244956,"13,1"
hantverksprogrammet,engelska 5,36769815,"11,9"
bygg- och anläggningsprogrammet,engelska 5,16931486,"8,5"
el- och energiprogrammet,engelska 5,16931486,"9,1"
fordons- och transportprogrammet,engelska 5,16931486,..
industritekniska programmet,engelska 5,16931486,..
restaurang- och livsmedelsprogrammet,engelska 5,16931486,..
vvs- och fastighetsprogrammet,engelska 5,16931486,..
vård- och omsorgsprogrammet,engelska 5,16931486,"8,3"
naturbruksprogrammet,engelska 5,92489953,"10,2"
handels- och administrationsprogrammet,engelska 5,55825382,"11,8"
restaurang- och livsmedelsprogrammet,engelska 5,19306558,"11,0"
barn- och fritidsprogrammet,engelska 5,24993048,"11,5"
hantverksprogrammet,engelska 5,24993048,..
bygg- och anläggningsprogrammet,engelska 5,70132092,"10,3"
el- och energiprogrammet,engelska 5,70132092,"13,6"
industritekniska programmet,engelska 5,70132092,"9,1"
fordons- och transportprogrammet,engelska 5,65034473,..
hantverksprogrammet,engelska 5,65034473,"8,5"
fordons- och transportprogrammet,engelska 5,13084253,"12,1"
vård- och omsorgsprogrammet,engelska 5,32321364,"9,8"
handels- och administrationsprogrammet,engelska 5,59942080,"14,2"
industritekniska programmet,engelska 5,66273269,"11,9"
fordons- och transportprogrammet,engelska 5,82888663,"11,5"
naturbruksprogrammet,engelska 5,82888663,"9,3"
bygg- och anläggningsprogrammet,engelska 5,11275959,"11,3"
fordons- och transportprogrammet,engelska 5,11275959,"11,4"
naturbruksprogrammet,engelska 5,11275959,"12,6"
barn- och fritidsprogrammet,engelska 5,58518163,"12,1"
naturbruksprogrammet,engelska 5,50615280,"13,0"
naturbruksprogrammet,engelska 5,19035583,"10,2"
bygg- och anläggningsprogrammet,engelska 5,27993549,"10,3"
el- och energiprogrammet,engelska 5,27993549,"12,5"
fordons- och transportprogrammet,engelska 5,27993549,"10,7"
vård- och omsorgsprogrammet,engelska 5,27993549,"9,6"
bygg- och anläggningsprogrammet,engelska 5,37912396,..
industritekniska programmet,engelska 5,37912396,..
restaurang- och livsmedelsprogrammet,engelska 5,37912396,..
vård- och omsorgsprogrammet,engelska 5,37912396,..
bygg- och anläggningsprogrammet,engelska 5,90312942,"11,2"
fordons- och transportprogrammet,engelska 5,90312942,"11,5"
handels- och administrationsprogrammet,engelska 5,90312942,"12,9"
industritekniska programmet,engelska 5,90312942,"10,9"
vård- och omsorgsprogrammet,engelska 5,90312942,"14,1"
bygg- och anläggningsprogrammet,engelska 5,19839859,..
vård- och omsorgsprogrammet,engelska 5,19839859,..
naturbruksprogrammet,engelska 5,80280597,..
industritekniska programmet,engelska 5,67628478,"18,1"
el- och energiprogrammet,engelska 5,37517404,"12,5"
barn- och fritidsprogrammet,engelska 5,29159460,"10,3"
bygg- och anläggningsprogrammet,engelska 5,29159460,..
el- och energiprogrammet,engelska 5,29159460,"10,0"
fordons- och transportprogrammet,engelska 5,29159460,"10,7"
hantverksprogrammet,engelska 5,29159460,"14,0"
naturbruksprogrammet,engelska 5,29159460,"12,0"
restaurang- och livsmedelsprogrammet,engelska 5,29159460,..
vård- och omsorgsprogrammet,engelska 5,29159460,"9,8"
bygg- och anläggningsprogrammet,engelska 5,43601850,"12,9"
el- och energiprogrammet,engelska 5,43601850,"10,7"
fordons- och transportprogrammet,engelska 5,43601850,..
vvs- och fastighetsprogrammet,engelska 5,43601850,"12,0"
vård- och omsorgsprogrammet,engelska 5,43601850,"9,2"
barn- och fritidsprogrammet,engelska 5,89630851,"14,9"
naturbruksprogrammet,engelska 5,89630851,"14,4"
barn- och fritidsprogrammet,engelska 5,86351879,"11,2"
el- och energiprogrammet,engelska 5,86351879,"11,3"
industritekniska programmet,engelska 5,86351879,"5,9"
el- och energiprogrammet,engelska 5,90260899,"11,9"
fordons- och transportprogrammet,engelska 5,90260899,"10,4"
barn- och fritidsprogrammet,engelska 5,69302313,"7,8"
industritekniska programmet,engelska 5,69302313,..
barn- och fritidsprogrammet,engelska 5,31057219,"11,9"
bygg- och anläggningsprogrammet,engelska 5,31057219,"11,3"
el- och energiprogrammet,engelska 5,31057219,"10,6"
fordons- och transportprogrammet,engelska 5,31057219,"11,5"
vård- och omsorgsprogrammet,engelska 5,31057219,"9,8"
el- och energiprogrammet,engelska 5,27079521,"11,4"
fordons- och transportprogrammet,engelska 5,27079521,"11,4"
handels- och administrationsprogrammet,engelska 5,27079521,"10,3"
restaurang- och livsmedelsprogrammet,engelska 5,27079521,"11,7"
barn- och fritidsprogrammet,engelska 5,64579522,"13,9"
industritekniska programmet,engelska 5,64579522,"11,0"
vård- och omsorgsprogrammet,engelska 5,64579522,..
naturbruksprogrammet,engelska 5,65234368,"14,7"
bygg- och anläggningsprogrammet,engelska 5,34381901,"11,2"
fordons- och transportprogrammet,engelska 5,34381901,"13,8"
handels- och administrationsprogrammet,engelska 5,34381901,..
industritekniska programmet,engelska 5,34381901,"12,1"
vård- och omsorgsprogrammet,engelska 5,34381901,"7,5"
bygg- och anläggningsprogrammet,engelska 5,96414537,"13,4"
el- och energiprogrammet,engelska 5,96414537,..
handels- och administrationsprogrammet,engelska 5,96414537,..
industritekniska programmet,engelska 5,96414537,..
vård- och omsorgsprogrammet,engelska 5,96414537,"10,6"
bygg- och anläggningsprogrammet,engelska 5,99394620,"12,3"
vvs- och fastighetsprogrammet,engelska 5,99394620,..
el- och energiprogrammet,engelska 5,95368476,"13,9"
fordons- och transportprogrammet,engelska 5,95368476,..
hantverksprogrammet,engelska 5,95368476,"12,8"
industritekniska programmet,engelska 5,95368476,"13,9"
barn- och fritidsprogrammet,engelska 5,14853321,"12,2"
handels- och administrationsprogrammet,engelska 5,14853321,"10,3"
restaurang- och livsmedelsprogrammet,engelska 5,14853321,..
vård- och omsorgsprogrammet,engelska 5,14853321,"11,3"
bygg- och anläggningsprogrammet,engelska 5,76448076,"10,4"
el- och energiprogrammet,engelska 5,76448076,"13,8"
industritekniska programmet,engelska 5,31537066,"14,6"
vård- och omsorgsprogrammet,engelska 5,31537066,"11,8"
barn- och fritidsprogrammet,engelska 5,86488203,"7,0"
handels- och administrationsprogrammet,engelska 5,86488203,"12,3"
hantverksprogrammet,engelska 5,86488203,..
hantverksprogrammet,engelska 5,25156286,"10,9"
restaurang- och livsmedelsprogrammet,engelska 5,92949043,"11,1"
bygg- och anläggningsprogrammet,engelska 5,92818240,"11,8"
handels- och administrationsprogrammet,engelska 5,92818240,"11,0"
barn- och fritidsprogrammet,engelska 5,84329061,"9,8"
vvs- och fastighetsprogrammet,engelska 5,84329061,"12,2"
barn- och fritidsprogrammet,engelska 5,71969230,"15,0"
bygg- och anläggningsprogrammet,engelska 5,71969230,..
fordons- och transportprogrammet,engelska 5,71969230,..
handels- och administrationsprogrammet,engelska 5,71969230,..
hantverksprogrammet,engelska 5,71969230,..
naturbruksprogrammet,engelska 5,71969230,..
vård- och omsorgsprogrammet,engelska 5,71969230,..
bygg- och anläggningsprogrammet,engelska 5,91048178,"12,5"
el- och energiprogrammet,engelska 5,91048178,"13,4"
fordons- och transportprogrammet,engelska 5,91048178,"12,5"
hantverksprogrammet,engelska 5,91048178,"11,6"
el- och energiprogrammet,engelska 5,76942525,"10,0"
handels- och administrationsprogrammet,engelska 5,76942525,"7,3"
hantverksprogrammet,engelska 5,76942525,"9,8"
naturbruksprogrammet,engelska 5,76942525,..
barn- och fritidsprogrammet,engelska 5,31486865,"14,2"
fordons- och transportprogrammet,engelska 5,10373112,"12,7"
barn- och fritidsprogrammet,engelska 5,61720981,"13,4"
el- och energiprogrammet,engelska 5,61720981,"13,8"
restaurang- och livsmedelsprogrammet,engelska 5,61720981,"10,4"
vård- och omsorgsprogrammet,engelska 5,61720981,"12,9"
naturbruksprogrammet,engelska 5,25698509,"13,3"
handels- och administrationsprogrammet,engelska 5,50424828,"12,3"
hantverksprogrammet,engelska 5,50424828,..
vård- och omsorgsprogrammet,engelska 5,50424828,"14,5"
el- och energiprogrammet,engelska 5,82931004,"9,5"
barn- och fritidsprogrammet,engelska 5,83584125,"12,9"
naturbruksprogrammet,engelska 5,16496466,"10,0"
restaurang- och livsmedelsprogrammet,engelska 5,16496466,..
handels- och administrationsprogrammet,engelska 5,12075195,"11,5"
restaurang- och livsmedelsprogrammet,engelska 5,62300682,"11,1"
barn- och fritidsprogrammet,engelska 5,65265211,"11,5"
bygg- och anläggningsprogrammet,engelska 5,65265211,"10,8"
fordons- och transportprogrammet,engelska 5,65265211,..
handels- och administrationsprogrammet,engelska 5,65265211,..
naturbruksprogrammet,engelska 5,65265211,"5,0"
vvs- och fastighetsprogrammet,engelska 5,65265211,..
vård- och omsorgsprogrammet,engelska 5,65265211,..
vård- och omsorgsprogrammet,engelska 5,97191332,..
industritekniska programmet,engelska 5,71938440,"12,5"
bygg- och anläggningsprogrammet,engelska 5,22811839,"11,6"
el- och energiprogrammet,engelska 5,33205596,"13,4"
fordons- och transportprogrammet,engelska 5,19930101,"11,3"
el- och energiprogrammet,engelska 5,60727136,..
hantverksprogrammet,engelska 5,60727136,..
hantverksprogrammet,engelska 5,45132264,"10,2"
vvs- och fastighetsprogrammet,engelska 5,61647360,..
handels- och administrationsprogrammet,engelska 5,33657492,"11,4"
vård- och omsorgsprogrammet,engelska 5,33657492,"10,4"
bygg- och anläggningsprogrammet,engelska 5,61622991,"11,8"
barn- och fritidsprogrammet,engelska 5,66644568,"11,5"
el- och energiprogrammet,engelska 5,93659517,"13,2"
barn- och fritidsprogrammet,engelska 5,61175914,..
fordons- och transportprogrammet,engelska 5,61175914,"10,4"
handels- och administrationsprogrammet,engelska 5,61175914,"11,7"
industritekniska programmet,engelska 5,61175914,..
restaurang- och livsmedelsprogrammet,engelska 5,61175914,"12,3"
vård- och omsorgsprogrammet,engelska 5,61175914,"11,4"
hantverksprogrammet,engelska 5,73316818,"14,7"
industritekniska programmet,engelska 5,27859889,"12,6"
vvs- och fastighetsprogrammet,engelska 5,45541222,"13,8"
barn- och fritidsprogrammet,engelska 5,77713695,"12,5"
fordons- och transportprogrammet,engelska 5,77713695,..
naturbruksprogrammet,engelska 5,63451147,"12,7"
vård- och omsorgsprogrammet,engelska 5,17812651,"12,1"
handels- och administrationsprogrammet,engelska 5,69040241,"9,8"
bygg- och anläggningsprogrammet,engelska 5,91905819,"13,0"
el- och energiprogrammet,engelska 5,91905819,"13,8"
fordons- och transportprogrammet,engelska 5,91905819,..
hantverksprogrammet,engelska 5,91905819,"13,2"
vvs- och fastighetsprogrammet,engelska 5,91905819,"13,3"
bygg- och anläggningsprogrammet,engelska 5,54882637,"13,8"
el- och energiprogrammet,engelska 5,54882637,..
vvs- och fastighetsprogrammet,engelska 5,54882637,"11,9"
barn- och fritidsprogrammet,engelska 5,53923398,"10,4"
bygg- och anläggningsprogrammet,engelska 5,53923398,"10,5"
fordons- och transportprogrammet,engelska 5,53923398,"13,6"
handels- och administrationsprogrammet,engelska 5,53923398,"12,5"
handels- och administrationsprogrammet,engelska 5,47844862,"8,1"
vård- och omsorgsprogrammet,engelska 5,22239675,"13,1"
vvs- och fastighetsprogrammet,engelska 5,72984079,"10,8"
barn- och fritidsprogrammet,engelska 5,36480690,"13,6"
el- och energiprogrammet,engelska 5,36480690,"14,4"
hantverksprogrammet,engelska 5,36480690,"12,8"
hantverksprogrammet,engelska 5,24787883,"14,5"
el- och energiprogrammet,engelska 5,52048443,"16,1"
barn- och fritidsprogrammet,engelska 5,32550660,"11,0"
vård- och omsorgsprogrammet,engelska 5,59599256,"13,7"
bygg- och anläggningsprogrammet,engelska 5,69865450,"11,9"
el- och energiprogrammet,engelska 5,69865450,"13,2"
fordons- och transportprogrammet,engelska 5,69865450,..
handels- och administrationsprogrammet,engelska 5,69865450,"12,1"
hantverksprogrammet,engelska 5,69865450,..
industritekniska programmet,engelska 5,69865450,..
vvs- och fastighetsprogrammet,engelska 5,69865450,"13,3"
hantverksprogrammet,engelska 5,31112935,"15,3"
naturbruksprogrammet,engelska 5,31112935,"13,2"
handels- och administrationsprogrammet,engelska 5,90509211,"10,5"
barn- och fritidsprogrammet,engelska 5,37316242,..
bygg- och anläggningsprogrammet,engelska 5,37316242,"5,0"
el- och energiprogrammet,engelska 5,37316242,"14,1"
handels- och administrationsprogrammet,engelska 5,37316242,..
restaurang- och livsmedelsprogrammet,engelska 5,37316242,"12,7"
bygg- och anläggningsprogrammet,engelska 5,20173336,"8,0"
fordons- och transportprogrammet,engelska 5,20173336,"10,5"
naturbruksprogrammet,engelska 5,20173336,"11,3"
bygg- och anläggningsprogrammet,engelska 5,49872493,"11,5"
fordons- och transportprogrammet,engelska 5,49872493,"12,5"
hantverksprogrammet,engelska 5,49872493,"12,9"
industritekniska programmet,engelska 5,49872493,..
vvs- och fastighetsprogrammet,engelska 5,49872493,"14,3"
vård- och omsorgsprogrammet,engelska 5,49872493,"14,6"
bygg- och anläggningsprogrammet,engelska 5,39147056,"13,2"
fordons- och transportprogrammet,engelska 5,39147056,"12,8"
bygg- och anläggningsprogrammet,engelska 5,11953769,"11,9"
industritekniska programmet,engelska 5,11953769,..
vård- och omsorgsprogrammet,engelska 5,11953769,"11,3"
barn- och fritidsprogrammet,engelska 5,50393060,"12,5"
el- och energiprogrammet,engelska 5,50393060,..
handels- och administrationsprogrammet,engelska 5,50393060,..
vård- och omsorgsprogrammet,engelska 5,50393060,"9,6"
barn- och fritidsprogrammet,engelska 5,50146546,..
el- och energiprogrammet,engelska 5,50146546,..
handels- och administrationsprogrammet,engelska 5,50146546,..
hantverksprogrammet,engelska 5,50146546,..
industritekniska programmet,engelska 5,50146546,..
vård- och omsorgsprogrammet,engelska 5,50146546,..
barn- och fritidsprogrammet,engelska 5,85788659,..
bygg- och anläggningsprogrammet,engelska 5,85788659,"13,1"
fordons- och transportprogrammet,engelska 5,85788659,"13,0"
handels- och administrationsprogrammet,engelska 5,85788659,"10,0"
barn- och fritidsprogrammet,engelska 5,95340745,..
fordons- och transportprogrammet,engelska 5,95340745,..
industritekniska programmet,engelska 5,95340745,"13,3"
vård- och omsorgsprogrammet,engelska 5,95340745,"10,8"
barn- och fritidsprogrammet,engelska 5,59521477,"10,3"
bygg- och anläggningsprogrammet,engelska 5,59521477,"10,0"
el- och energiprogrammet,engelska 5,59521477,"13,1"
fordons- och transportprogrammet,engelska 5,59521477,"13,8"
industritekniska programmet,engelska 5,59521477,..
hantverksprogrammet,engelska 5,92442684,"13,0"
vård- och omsorgsprogrammet,engelska 5,92442684,"12,6"
naturbruksprogrammet,engelska 5,38544187,"11,0"
vård- och omsorgsprogrammet,engelska 5,54599691,"13,8"
barn- och fritidsprogrammet,engelska 5,54467211,"9,3"
bygg- och anläggningsprogrammet,engelska 5,54467211,"12,4"
el- och energiprogrammet,engelska 5,54467211,"15,6"
fordons- och transportprogrammet,engelska 5,54467211,"12,7"
naturbruksprogrammet,engelska 5,23517683,"11,3"
restaurang- och livsmedelsprogrammet,engelska 5,61119556,..
bygg- och anläggningsprogrammet,engelska 5,82251333,"10,0"
fordons- och transportprogrammet,engelska 5,82251333,..
