program,skolkod,andel_minst_e_sva1
nationella program,47550455,"100,0"
nationella program,30329172,..
nationella program,76877530,.
nationella program,47046103,..
nationella program,56664512,.
nationella program,38167912,.
nationella program,43826783,.
nationella program,58125096,..
nationella program,82914148,..
nationella program,20620556,..
nationella program,77839100,.
nationella program,17173461,..
nationella program,55535552,.
nationella program,19560192,..
nationella program,30468157,..
nationella program,98053087,..
nationella program,92533079,..
nationella program,61528940,..
nationella program,23681822,.
nationella program,66861851,.
nationella program,72206824,..
nationella program,92858957,"100,0"
nationella program,46660042,"92,9"
nationella program,86296935,..
nationella program,44113417,..
nationella program,67783774,..
nationella program,38917647,.
nationella program,21363125,.
nationella program,39555838,..
nationella program,85214294,"100,0"
nationella program,82084961,"100,0"
nationella program,46162400,..
nationella program,98369689,..
nationella program,56529916,..
nationella program,40810950,..
nationella program,67279263,..
nationella program,40037982,..
nationella program,51210136,"100,0"
nationella program,73829818,..
nationella program,54395430,.
nationella program,18881773,..
nationella program,50908408,..
nationella program,18594470,..
nationella program,78295411,..
nationella program,80686587,..
nationella program,72232853,..
nationella program,12279302,"100,0"
nationella program,17849518,..
nationella program,64205087,..
nationella program,50500028,..
nationella program,94570025,..
nationella program,91984508,..
nationella program,78659008,.
nationella program,12448823,.
nationella program,40667807,.
nationella program,18091973,..
nationella program,88466776,..
nationella program,36539945,..
nationella program,40634612,.
nationella program,62439199,..
nationella program,66132676,..
nationella program,57942242,"100,0"
nationella program,80762863,..
nationella program,77688926,..
nationella program,14508922,..
nationella program,69629086,..
nationella program,88624631,.
nationella program,35390185,.
nationella program,37358234,..
nationella program,31657916,..
nationella program,21008461,..
nationella program,54606928,..
nationella program,53893730,..
nationella program,46241804,.
nationella program,42573391,.
nationella program,64574972,..
nationella program,19741742,..
nationella program,29032715,..
nationella program,45830583,.
nationella program,48931433,..
nationella program,97270136,..
nationella program,19909435,..
nationella program,30530571,..
nationella program,78839208,..
nationella program,96024712,..
nationella program,30458073,.
nationella program,40829056,..
nationella program,85800840,..
nationella program,68920727,.
nationella program,27115998,..
nationella program,41867682,..
nationella program,79516949,..
nationella program,65662401,.
nationella program,39583059,"100,0"
nationella program,38645259,..
nationella program,96684210,..
nationella program,87207941,..
nationella program,11673760,"100,0"
nationella program,46574937,"100,0"
nationella program,23836342,..
nationella program,63791419,"100,0"
nationella program,39805497,..
nationella program,38400227,..
nationella program,81619482,..
nationella program,83829189,..
nationella program,46145886,.
nationella program,12395564,.
nationella program,90006712,.
nationella program,43649848,..
nationella program,75344502,.
nationella program,84247499,.
nationella program,27041885,..
nationella program,39149668,..
nationella program,97064126,..
nationella program,32580162,.
nationella program,38233622,.
nationella program,48722826,"100,0"
nationella program,73063662,.
nationella program,40766349,..
nationella program,71571158,"100,0"
nationella program,53691739,.
nationella program,43251309,.
nationella program,97596286,"100,0"
nationella program,67554405,"100,0"
nationella program,86473502,..
nationella program,73944169,..
nationella program,98239050,..
nationella program,94455820,.
nationella program,58368956,..
nationella program,73567152,..
nationella program,61547652,.
nationella program,60209222,..
nationella program,62104139,..
nationella program,87034307,"100,0"
nationella program,78872213,..
nationella program,84286698,..
nationella program,62490359,..
nationella program,64725297,.
nationella program,43362941,.
nationella program,23350817,.
nationella program,76860623,..
nationella program,58191646,..
nationella program,80405898,..
nationella program,56021320,..
nationella program,41358402,.
nationella program,63179610,..
nationella program,64569393,.
nationella program,87262566,..
nationella program,64160122,.
nationella program,48217580,..
nationella program,41844601,..
nationella program,51620045,..
nationella program,86888278,.
nationella program,23457902,.
nationella program,27597104,.
nationella program,57397381,..
nationella program,56947954,..
nationella program,72022487,"100,0"
nationella program,71512894,..
nationella program,70969556,..
nationella program,28248021,"100,0"
nationella program,44417214,..
nationella program,25025681,..
nationella program,88776535,..
nationella program,49488344,..
nationella program,74408578,..
nationella program,71043974,..
nationella program,57777751,.
nationella program,38732602,..
nationella program,89807183,..
nationella program,86724994,..
nationella program,61161774,..
nationella program,86158933,..
nationella program,14102256,..
nationella program,75082280,..
nationella program,75914181,..
nationella program,39302565,..
nationella program,96818167,..
nationella program,36072799,..
nationella program,61432781,..
nationella program,78287294,..
nationella program,74316305,..
nationella program,39096170,..
nationella program,79527481,..
nationella program,67300857,..
nationella program,99279503,"100,0"
nationella program,63653488,.
nationella program,84476205,..
nationella program,24544503,..
nationella program,25392789,.
nationella program,72109637,..
nationella program,69240218,..
nationella program,14057258,.
nationella program,38460895,..
nationella program,31199511,..
nationella program,12934438,"100,0"
nationella program,43313366,..
nationella program,86787111,..
nationella program,97868185,.
nationella program,81551726,..
nationella program,77823650,..
nationella program,37550979,..
nationella program,52634142,.
nationella program,76195214,..
nationella program,54839753,.
nationella program,32705515,.
nationella program,60214465,..
nationella program,70137084,"100,0"
nationella program,82002016,..
nationella program,21901328,..
nationella program,23306658,"100,0"
nationella program,57350392,..
nationella program,97535124,..
nationella program,11102578,..
nationella program,69306209,"83,3"
nationella program,92651253,.
nationella program,31740319,..
nationella program,10129345,..
nationella program,17944628,..
nationella program,82826083,..
nationella program,94468610,..
nationella program,94090461,..
nationella program,12954099,..
nationella program,80931789,..
nationella program,84098842,..
nationella program,90473340,.
nationella program,26167236,..
nationella program,69807202,"100,0"
nationella program,64648904,..
nationella program,75939593,..
nationella program,63035915,"100,0"
nationella program,26324896,..
nationella program,56639389,..
nationella program,95700485,..
nationella program,51449748,.
nationella program,28267726,..
nationella program,28848709,..
nationella program,12613085,..
nationella program,53896162,..
nationella program,17779637,..
nationella program,11185244,..
nationella program,56211717,..
nationella program,66824652,..
nationella program,49168016,"100,0"
nationella program,32042066,..
nationella program,50821167,.
nationella program,71929526,..
nationella program,92814975,.
nationella program,60873719,..
nationella program,28085125,..
nationella program,28770304,"100,0"
nationella program,21938183,..
nationella program,78986228,.
nationella program,71472793,..
nationella program,64123241,..
nationella program,69063711,"100,0"
nationella program,77609073,"90,9"
nationella program,35894996,.
nationella program,12926770,"100,0"
nationella program,17119840,..
nationella program,68748767,"100,0"
nationella program,23548714,"100,0"
nationella program,48593439,"100,0"
nationella program,91773491,"97,3"
nationella program,30361243,"100,0"
nationella program,25596917,..
nationella program,65722876,"100,0"
nationella program,20984584,..
nationella program,52129378,"100,0"
nationella program,65381163,"96,8"
nationella program,98541468,.
nationella program,31155312,"100,0"
nationella program,25648215,"96,2"
nationella program,61823258,..
nationella program,84424083,.
nationella program,39178171,.
nationella program,49231191,..
nationella program,78231062,"100,0"
nationella program,79994304,..
nationella program,10481541,"100,0"
nationella program,68006362,"100,0"
nationella program,11608031,"100,0"
nationella program,86762103,..
nationella program,68381790,..
nationella program,13006857,..
nationella program,76007769,..
nationella program,16956086,"100,0"
nationella program,58187973,..
nationella program,88894245,.
nationella program,31870541,..
nationella program,71160225,..
nationella program,67752682,..
nationella program,47884009,..
nationella program,44672598,..
nationella program,75340089,..
nationella program,36670439,..
nationella program,22220001,..
nationella program,31822012,..
nationella program,83161201,..
nationella program,15100079,.
nationella program,55421481,.
nationella program,99356671,..
nationella program,16702464,..
nationella program,71353314,.
nationella program,29449669,..
nationella program,62855448,.
nationella program,36252055,..
nationella program,91812793,..
nationella program,14355031,..
nationella program,72891848,"100,0"
nationella program,46611859,.
nationella program,58907711,..
nationella program,68285560,.
nationella program,58544422,..
nationella program,65150019,..
nationella program,31796890,.
nationella program,22426680,..
nationella program,83805032,..
nationella program,48862305,..
nationella program,32887559,..
nationella program,71541108,"100,0"
nationella program,53832505,..
nationella program,47537928,.
nationella program,69471748,"100,0"
nationella program,49750031,..
nationella program,76485705,"100,0"
nationella program,93239262,..
nationella program,25745773,.
nationella program,99976753,..
nationella program,14278480,..
nationella program,75575321,..
nationella program,28023078,..
nationella program,43284031,..
nationella program,13963517,.
nationella program,24194577,..
nationella program,26267406,.
nationella program,31255918,..
nationella program,51955293,..
nationella program,57690933,..
nationella program,35035671,.
nationella program,12130801,..
nationella program,51736304,..
nationella program,53180719,"100,0"
nationella program,27489137,.
nationella program,15609112,..
nationella program,44285075,..
nationella program,60424371,..
nationella program,95785055,..
nationella program,68655578,"84,6"
nationella program,17062663,..
nationella program,68741484,"100,0"
nationella program,56267421,.
nationella program,34990065,.
nationella program,37054246,..
nationella program,39199869,"100,0"
nationella program,62216381,..
nationella program,31179045,"100,0"
nationella program,72421673,..
nationella program,15763669,.
nationella program,59655752,..
nationella program,88750078,..
nationella program,41878314,.
nationella program,41555549,..
nationella program,32003298,.
nationella program,22383788,.
nationella program,85459854,..
nationella program,81876614,..
nationella program,18711877,..
nationella program,67071618,..
nationella program,75324351,..
nationella program,61229217,..
nationella program,58929357,.
nationella program,42517257,.
nationella program,70376604,..
nationella program,59575030,.
nationella program,93503103,..
nationella program,18617410,.
nationella program,41697930,.
nationella program,28025244,..
nationella program,17184072,.
nationella program,40338843,..
nationella program,77440824,..
nationella program,71069359,..
nationella program,86896907,.
nationella program,14292382,.
