program,skolkod,andel_minst_e_re1
Nationella program,70066748,"100,0"
Nationella program,19207279,"100,0"
Nationella program,53640774,"99,2"
Nationella program,58502307,"100,0"
Nationella program,97177328,"98,0"
Nationella program,72127035,"97,4"
Nationella program,70969714,"98,1"
Nationella program,85003442,"100,0"
Nationella program,22752398,"92,5"
Nationella program,68734112,"100,0"
Nationella program,71922787,"92,5"
Nationella program,31843016,"88,2"
Nationella program,74148070,"93,0"
Nationella program,50696507,"81,5"
Nationella program,92507006,"100,0"
Nationella program,44653962,"98,5"
Nationella program,20100577,"88,3"
Nationella program,81993306,"93,6"
Nationella program,19051089,"100,0"
Nationella program,29097621,"75,8"
Nationella program,47264019,"98,4"
Nationella program,87764775,"94,4"
Nationella program,50198492,"100,0"
Nationella program,48438396,"97,6"
Nationella program,98052678,"91,1"
Nationella program,20099064,"92,5"
Nationella program,44341171,"82,8"
Nationella program,32671805,"83,0"
Nationella program,38448056,"100,0"
Nationella program,16313848,"92,4"
Nationella program,79606767,"92,4"
Nationella program,11294673,"98,1"
Nationella program,86327236,"96,7"
Nationella program,41745951,"98,5"
Nationella program,83137205,"95,3"
Nationella program,28398531,"87,7"
Nationella program,66335258,"92,2"
Nationella program,54172830,"92,0"
Nationella program,86310217,"82,1"
Nationella program,83085136,"100,0"
Nationella program,75458014,"100,0"
Nationella program,65136104,"94,1"
Nationella program,61826221,.
Nationella program,79033948,"89,2"
Nationella program,56330385,"88,5"
Nationella program,20228162,"100,0"
Nationella program,68240485,"98,2"
Nationella program,95046058,"94,7"
Nationella program,44392995,"87,8"
Nationella program,53462953,"96,8"
Nationella program,69241230,"91,3"
Nationella program,60730660,"100,0"
Nationella program,85544331,"100,0"
Nationella program,80327946,"90,1"
Nationella program,82592568,"98,5"
Nationella program,78875918,"98,6"
Nationella program,78023197,"95,7"
Nationella program,86385479,"96,5"
Nationella program,40991561,..
Nationella program,49862313,"84,8"
Nationella program,99838438,"94,4"
Nationella program,42859669,"86,5"
Nationella program,70923626,"84,1"
Nationella program,92905347,"93,5"
Nationella program,99592025,"98,3"
Nationella program,34247736,"99,2"
Nationella program,47550455,"95,1"
Nationella program,30329172,"95,8"
Nationella program,76877530,"76,5"
Nationella program,47046103,"98,0"
Nationella program,56664512,..
Nationella program,38167912,"96,7"
Nationella program,43826783,..
Nationella program,58125096,"94,4"
Nationella program,82914148,"100,0"
Nationella program,20620556,"100,0"
Nationella program,77839100,..
Nationella program,17173461,"96,4"
Nationella program,55535552,..
Nationella program,19560192,"80,8"
Nationella program,30468157,"100,0"
Nationella program,98053087,"77,0"
Nationella program,92533079,"91,8"
Nationella program,61528940,"95,7"
Nationella program,23681822,"97,8"
Nationella program,66861851,"99,2"
Nationella program,72206824,"98,1"
Nationella program,92858957,"98,2"
Nationella program,46660042,"86,7"
Nationella program,86296935,..
Nationella program,44113417,"94,6"
Nationella program,67783774,..
Nationella program,38917647,"100,0"
Nationella program,21363125,..
Nationella program,39555838,"91,3"
Nationella program,85214294,"97,6"
Nationella program,82084961,"94,1"
Nationella program,46162400,"82,2"
Nationella program,98369689,"87,1"
Nationella program,56529916,"90,0"
Nationella program,40810950,"85,2"
Nationella program,67279263,"98,4"
Nationella program,40037982,"93,3"
Nationella program,51210136,"97,5"
Nationella program,73829818,"94,6"
Nationella program,54395430,.
Nationella program,18881773,"100,0"
Nationella program,50908408,"100,0"
Nationella program,18594470,"97,9"
Nationella program,78295411,"100,0"
Nationella program,80686587,"92,0"
Nationella program,72232853,"96,3"
Nationella program,12279302,"85,1"
Nationella program,17849518,"100,0"
Nationella program,64205087,"88,4"
Nationella program,50500028,"98,2"
Nationella program,94570025,"66,7"
Nationella program,91984508,"83,8"
Nationella program,78659008,"77,8"
Nationella program,12448823,..
Nationella program,40667807,"90,3"
Nationella program,18091973,"97,7"
Nationella program,88466776,"100,0"
Nationella program,36539945,..
Nationella program,40634612,"96,5"
Nationella program,62439199,"95,0"
Nationella program,66132676,"94,3"
Nationella program,57942242,"100,0"
Nationella program,80762863,"86,2"
Nationella program,77688926,"99,0"
Nationella program,14508922,"95,9"
Nationella program,69629086,"99,1"
Nationella program,88624631,"87,0"
Nationella program,35390185,..
