skolkod,andel_minst_e_sva1
21901328,..
23306658,"100,0"
57350392,..
97535124,..
11102578,..
69306209,"83,3"
92651253,.
31740319,..
10129345,..
17944628,..
82826083,..
94468610,..
94090461,..
12954099,..
80931789,..
84098842,..
90473340,.
26167236,..
69807202,"100,0"
64648904,..
75939593,..
63035915,"100,0"
26324896,..
56639389,..
95700485,..
51449748,.
28267726,..
28848709,..
12613085,..
53896162,..
17779637,..
11185244,..
56211717,..
66824652,..
49168016,"100,0"
32042066,..
50821167,.
71929526,..
92814975,.
60873719,..
28085125,..
28770304,"100,0"
21938183,..
78986228,.
71472793,..
64123241,..
69063711,"100,0"
77609073,"90,9"
35894996,.
12926770,"100,0"
17119840,..
68748767,"100,0"
23548714,"100,0"
48593439,"100,0"
91773491,"97,3"
30361243,"100,0"
25596917,..
65722876,"100,0"
20984584,..
52129378,"100,0"
65381163,"96,8"
98541468,.
31155312,"100,0"
25648215,"96,2"
61823258,..
84424083,.
39178171,.
49231191,..
78231062,"100,0"
79994304,..
10481541,"100,0"
68006362,"100,0"
11608031,"100,0"
86762103,..
68381790,..
13006857,..
76007769,..
16956086,"100,0"
58187973,..
88894245,.
31870541,..
71160225,..
67752682,..
47884009,..
44672598,..
75340089,..
36670439,..
22220001,..
31822012,..
83161201,..
15100079,.
55421481,.
99356671,..
16702464,..
71353314,.
29449669,..
62855448,.
36252055,..
91812793,..
14355031,..
72891848,"100,0"
46611859,.
58907711,..
68285560,.
58544422,..
65150019,..
31796890,.
22426680,..
83805032,..
48862305,..
32887559,..
71541108,"100,0"
53832505,..
47537928,.
69471748,"100,0"
49750031,..
76485705,"100,0"
93239262,..
25745773,.
99976753,..
14278480,..
75575321,..
28023078,..
43284031,..
13963517,.
24194577,..
26267406,.
31255918,..
51955293,..
57690933,..
35035671,.
12130801,..
51736304,..
53180719,"100,0"
27489137,.
15609112,..
44285075,..
60424371,..
95785055,..
68655578,"84,6"
17062663,..
68741484,"100,0"
56267421,.
34990065,.
37054246,..
39199869,"100,0"
62216381,..
31179045,"100,0"
72421673,..
15763669,.
59655752,..
88750078,..
41878314,.
41555549,..
32003298,.
22383788,.
85459854,..
81876614,..
18711877,..
67071618,..
75324351,..
61229217,..
58929357,.
42517257,.
70376604,..
59575030,.
93503103,..
18617410,.
41697930,.
28025244,..
17184072,.
40338843,..
77440824,..
71069359,..
86896907,.
14292382,.
51981332,.
87859089,..
54764253,.
98908403,"96,3"
16493131,"100,0"
41119610,.
83272868,"100,0"
11526364,..
48304166,"100,0"
24982097,..
45552626,"100,0"
50906954,.
97104132,.
16748680,..
68597767,..
27964873,..
30706655,..
65674821,"100,0"
92332557,..
46332927,.
78690637,"100,0"
24653673,.
38048202,"100,0"
90990441,..
86319615,.
87303004,"100,0"
97835550,.
22446331,..
26671095,..
42911621,..
40575001,.
75027822,.
26508763,..
14504503,..
21850904,.
65320354,..
77544055,..
49112879,..
30279258,.
16198647,..
12496135,..
76903284,..
68649663,"93,8"
43623146,.
49141105,"100,0"
15870428,"100,0"
26646080,..
26750052,..
18974693,"100,0"
26996566,..
27704246,"100,0"
81997762,..
28967085,.
69747871,.
70119254,.
31151740,..
79346084,"100,0"
34222422,.
84230226,.
42060237,.
89816391,..
14448619,..
12546590,..
43565270,..
77176811,..
52791537,.
85152591,..
85819857,..
40600798,"100,0"
52942981,..
54117171,..
48120273,..
33233228,.
94167577,"100,0"
27023528,..
53903798,"97,3"
85782695,..
98815582,..
97770837,.
21312503,.
69650864,.
59581397,..
14926020,..
41938272,..
29423248,.
76054399,..
33132452,"100,0"
56942970,.
60142020,..
70811222,.
17911161,"100,0"
35084976,"100,0"
25525759,.
77632411,"100,0"
56653353,.
49068301,..
59898194,..
38195284,"100,0"
97510495,"100,0"
89461767,..
94717858,..
53760158,.
78422467,..
37802196,.
38683336,.
36288955,..
74812809,.
88839172,..
48412612,"100,0"
95618280,"96,4"
