program,skolkod,andel_med_gr_behorighet
Nationella program,85003442,"43,2"
Nationella program,22752398,"49,1"
Nationella program,68734112,"95,0"
Nationella program,71922787,"86,8"
Nationella program,31843016,..
Nationella program,74148070,"81,4"
Nationella program,50696507,"48,1"
Nationella program,92507006,"97,0"
Nationella program,44653962,"80,3"
Nationella program,20100577,"87,2"
Nationella program,81993306,"62,8"
Nationella program,19051089,"97,2"
Nationella program,29097621,..
Nationella program,47264019,"96,8"
Nationella program,87764775,..
Nationella program,50198492,"90,9"
Nationella program,48438396,"53,7"
Nationella program,98052678,"89,3"
Nationella program,20099064,"92,5"
Nationella program,44341171,"41,4"
Nationella program,32671805,"46,8"
Nationella program,38448056,"73,3"
Nationella program,16313848,"60,0"
Nationella program,79606767,"51,5"
Nationella program,11294673,"63,5"
Nationella program,86327236,"65,6"
Nationella program,41745951,"100,0"
Nationella program,83137205,"88,4"
Nationella program,28398531,"49,3"
Nationella program,66335258,"58,8"
Nationella program,54172830,"78,4"
Nationella program,86310217,..
Nationella program,83085136,"94,2"
Nationella program,75458014,"88,5"
Nationella program,65136104,..
Nationella program,61826221,.
Nationella program,79033948,"81,5"
Nationella program,56330385,"67,2"
Nationella program,20228162,"100,0"
Nationella program,68240485,"100,0"
Nationella program,95046058,"94,7"
Nationella program,44392995,"67,3"
Nationella program,53462953,"91,3"
Nationella program,69241230,..
Nationella program,60730660,"100,0"
Nationella program,85544331,"86,2"
Nationella program,80327946,"17,4"
Nationella program,82592568,"86,7"
Nationella program,78875918,"81,1"
Nationella program,78023197,"50,0"
Nationella program,86385479,"63,2"
Nationella program,40991561,..
Nationella program,49862313,"76,2"
Nationella program,99838438,"76,1"
Nationella program,42859669,"69,0"
Nationella program,70923626,..
Nationella program,92905347,"21,7"
Nationella program,99592025,"93,6"
Nationella program,34247736,"87,3"
Nationella program,47550455,"62,3"
Nationella program,30329172,"58,3"
Nationella program,76877530,"70,6"
Nationella program,47046103,"50,0"
Nationella program,56664512,.
Nationella program,38167912,"93,3"
Nationella program,43826783,..
Nationella program,58125096,"80,6"
Nationella program,82914148,..
Nationella program,20620556,"72,4"
Nationella program,77839100,..
Nationella program,17173461,"53,6"
Nationella program,55535552,.
Nationella program,19560192,"59,6"
Nationella program,30468157,"91,0"
Nationella program,98053087,"28,4"
Nationella program,92533079,"95,9"
Nationella program,61528940,"94,8"
Nationella program,23681822,"94,4"
Nationella program,66861851,"92,9"
Nationella program,72206824,"94,3"
Nationella program,92858957,"86,5"
Nationella program,46660042,"23,4"
Nationella program,86296935,..
Nationella program,44113417,"79,1"
Nationella program,67783774,..
Nationella program,38917647,..
Nationella program,21363125,.
Nationella program,39555838,"73,9"
Nationella program,85214294,"64,3"
Nationella program,82084961,"58,0"
Nationella program,46162400,"37,8"
Nationella program,98369689,..
Nationella program,56529916,"36,7"
Nationella program,40810950,..
Nationella program,67279263,"91,9"
Nationella program,40037982,"46,7"
Nationella program,51210136,"97,5"
Nationella program,73829818,"86,2"
Nationella program,54395430,.
Nationella program,18881773,..
Nationella program,50908408,"90,9"
Nationella program,18594470,"89,5"
Nationella program,78295411,"78,2"
Nationella program,80686587,"82,0"
Nationella program,72232853,"93,8"
Nationella program,12279302,"69,1"
Nationella program,17849518,..
Nationella program,64205087,"89,1"
Nationella program,50500028,"89,3"
Nationella program,94570025,..
Nationella program,91984508,"72,1"
Nationella program,78659008,"30,6"
Nationella program,12448823,..
Nationella program,40667807,"66,1"
Nationella program,18091973,"50,0"
Nationella program,88466776,"97,8"
Nationella program,36539945,..
Nationella program,40634612,"66,7"
Nationella program,62439199,..
Nationella program,66132676,"63,2"
Nationella program,57942242,"89,7"
Nationella program,80762863,"39,7"
Nationella program,77688926,"82,4"
Nationella program,14508922,"90,7"
Nationella program,69629086,..
Nationella program,88624631,..
Nationella program,35390185,..
Nationella program,37358234,"59,3"
Nationella program,31657916,..
Nationella program,21008461,"98,3"
Nationella program,54606928,"90,2"
Nationella program,53893730,"88,1"
Nationella program,46241804,.
Nationella program,42573391,"79,2"
Nationella program,64574972,"81,5"
Nationella program,19741742,"60,5"
Nationella program,29032715,"71,1"
Nationella program,45830583,"100,0"
Nationella program,48931433,"81,1"
Nationella program,97270136,..
Nationella program,19909435,"50,7"
Nationella program,30530571,"83,1"
Nationella program,78839208,"98,5"
Nationella program,96024712,"78,1"
Nationella program,30458073,..
Nationella program,40829056,..
Nationella program,85800840,"59,3"
Nationella program,68920727,"85,7"
