skolkod,andel_med_studiebevis
63653488,..
84476205,..
24544503,"9,6"
25392789,..
72109637,.
69240218,..
14057258,..
38460895,..
31199511,..
12934438,..
43313366,..
86787111,..
97868185,.
81551726,..
77823650,..
37550979,.
52634142,..
76195214,..
54839753,.
32705515,..
60214465,..
70137084,"14,8"
82002016,..
21901328,..
23306658,..
57350392,.
97535124,.
11102578,..
69306209,"15,2"
92651253,..
31740319,..
10129345,..
17944628,"9,2"
82826083,..
94468610,..
94090461,..
12954099,..
80931789,..
84098842,..
90473340,..
26167236,..
69807202,..
64648904,.
75939593,"5,8"
63035915,"15,3"
26324896,..
56639389,..
95700485,..
51449748,"9,9"
28267726,..
28848709,.
12613085,..
53896162,"5,2"
17779637,"14,9"
11185244,"31,4"
56211717,..
66824652,..
49168016,..
32042066,..
50821167,..
71929526,..
92814975,..
60873719,..
28085125,..
28770304,..
21938183,..
78986228,.
71472793,..
64123241,..
69063711,.
77609073,"23,1"
35894996,"15,2"
12926770,..
17119840,..
68748767,"26,6"
23548714,"30,2"
48593439,"30,0"
91773491,"34,3"
30361243,"8,4"
25596917,"9,4"
65722876,"7,3"
20984584,..
52129378,"20,5"
65381163,"25,7"
98541468,..
31155312,"36,0"
25648215,"20,8"
61823258,..
84424083,..
39178171,..
49231191,..
78231062,..
79994304,..
10481541,"12,3"
68006362,"15,6"
11608031,..
86762103,..
68381790,..
13006857,"7,1"
76007769,.
16956086,"9,0"
58187973,..
88894245,.
31870541,..
71160225,..
67752682,.
47884009,..
44672598,..
75340089,..
36670439,..
22220001,..
31822012,"16,8"
83161201,..
15100079,.
55421481,..
99356671,..
16702464,..
71353314,.
29449669,"10,2"
62855448,..
36252055,"5,5"
91812793,..
14355031,..
72891848,..
46611859,"8,9"
58907711,.
68285560,..
58544422,..
65150019,..
31796890,..
22426680,..
83805032,..
48862305,..
32887559,..
71541108,..
53832505,"39,0"
47537928,..
69471748,"23,5"
49750031,..
76485705,..
93239262,..
25745773,..
99976753,"11,8"
14278480,..
75575321,..
28023078,..
43284031,..
13963517,.
24194577,.
26267406,.
31255918,..
51955293,..
57690933,..
35035671,..
12130801,..
51736304,..
53180719,..
27489137,.
15609112,.
44285075,..
60424371,..
95785055,.
68655578,"19,2"
17062663,..
68741484,"11,2"
56267421,.
34990065,..
37054246,..
39199869,..
62216381,..
31179045,"13,9"
72421673,..
15763669,.
59655752,..
88750078,..
41878314,.
41555549,..
32003298,.
22383788,..
85459854,..
81876614,..
18711877,..
67071618,..
75324351,..
61229217,"20,8"
58929357,.
42517257,..
70376604,..
59575030,..
93503103,.
18617410,"13,5"
41697930,..
28025244,..
17184072,.
40338843,..
77440824,..
71069359,.
86896907,..
14292382,..
51981332,.
87859089,..
54764253,.
98908403,"21,8"
16493131,"5,6"
41119610,.
83272868,..
11526364,..
48304166,.
24982097,..
45552626,"17,5"
50906954,.
97104132,.
16748680,..
68597767,..
27964873,..
30706655,..
65674821,..
92332557,"12,0"
46332927,..
78690637,"12,6"
24653673,..
38048202,"7,8"
90990441,..
86319615,..
87303004,..
97835550,..
22446331,..
26671095,.
42911621,..
40575001,..
75027822,.
26508763,..
14504503,..
21850904,.
65320354,.
77544055,..
49112879,..
30279258,..
16198647,..
