program,skolkod,antal_elever
högskoleförberedande program,28267726,50
högskoleförberedande program,12613085,24
högskoleförberedande program,53896162,701
högskoleförberedande program,17779637,87
högskoleförberedande program,66824652,29
högskoleförberedande program,49168016,36
högskoleförberedande program,71929526,31
högskoleförberedande program,60873719,80
högskoleförberedande program,28085125,16
högskoleförberedande program,21938183,69
högskoleförberedande program,78986228,10
högskoleförberedande program,71472793,31
högskoleförberedande program,69063711,28
högskoleförberedande program,77609073,13
högskoleförberedande program,35894996,30
högskoleförberedande program,12926770,38
högskoleförberedande program,68748767,32
högskoleförberedande program,23548714,63
högskoleförberedande program,48593439,60
högskoleförberedande program,91773491,70
högskoleförberedande program,30361243,364
högskoleförberedande program,25596917,111
högskoleförberedande program,65722876,287
högskoleförberedande program,52129378,34
högskoleförberedande program,65381163,187
högskoleförberedande program,31155312,38
högskoleförberedande program,84424083,216
högskoleförberedande program,49231191,47
högskoleförberedande program,78231062,239
högskoleförberedande program,10481541,122
högskoleförberedande program,68381790,44
högskoleförberedande program,13006857,131
högskoleförberedande program,16956086,128
högskoleförberedande program,58187973,29
högskoleförberedande program,88894245,..
högskoleförberedande program,31870541,75
högskoleförberedande program,44672598,122
högskoleförberedande program,31822012,95
högskoleförberedande program,83161201,81
högskoleförberedande program,99356671,..
högskoleförberedande program,16702464,12
högskoleförberedande program,29449669,108
högskoleförberedande program,62855448,54
högskoleförberedande program,36252055,239
högskoleförberedande program,91812793,323
högskoleförberedande program,14355031,31
högskoleförberedande program,46611859,180
högskoleförberedande program,58907711,118
högskoleförberedande program,68285560,150
högskoleförberedande program,58544422,97
högskoleförberedande program,65150019,72
högskoleförberedande program,71541108,22
högskoleförberedande program,53832505,41
högskoleförberedande program,47537928,29
högskoleförberedande program,69471748,68
högskoleförberedande program,49750031,50
högskoleförberedande program,76485705,57
högskoleförberedande program,93239262,29
högskoleförberedande program,99976753,92
högskoleförberedande program,75575321,128
högskoleförberedande program,28023078,16
högskoleförberedande program,43284031,30
högskoleförberedande program,24194577,..
högskoleförberedande program,26267406,..
högskoleförberedande program,51955293,56
högskoleförberedande program,57690933,95
högskoleförberedande program,12130801,34
högskoleförberedande program,51736304,21
högskoleförberedande program,44285075,35
högskoleförberedande program,95785055,167
högskoleförberedande program,68655578,67
högskoleförberedande program,68741484,105
högskoleförberedande program,37054246,43
högskoleförberedande program,39199869,60
högskoleförberedande program,31179045,26
högskoleförberedande program,72421673,47
högskoleförberedande program,15763669,..
högskoleförberedande program,59655752,43
högskoleförberedande program,88750078,15
högskoleförberedande program,41555549,71
högskoleförberedande program,85459854,67
högskoleförberedande program,81876614,51
högskoleförberedande program,18711877,26
högskoleförberedande program,67071618,39
högskoleförberedande program,75324351,16
högskoleförberedande program,61229217,38
högskoleförberedande program,70376604,42
högskoleförberedande program,59575030,84
högskoleförberedande program,18617410,58
högskoleförberedande program,28025244,27
högskoleförberedande program,40338843,60
högskoleförberedande program,77440824,58
högskoleförberedande program,14292382,34
högskoleförberedande program,51981332,22
högskoleförberedande program,87859089,40
högskoleförberedande program,98908403,132
högskoleförberedande program,16493131,98
högskoleförberedande program,83272868,81
högskoleförberedande program,11526364,53
högskoleförberedande program,45552626,97
högskoleförberedande program,50906954,39
högskoleförberedande program,16748680,58
högskoleförberedande program,65674821,46
högskoleförberedande program,92332557,83
högskoleförberedande program,78690637,221
högskoleförberedande program,38048202,141
högskoleförberedande program,90990441,..
högskoleförberedande program,26671095,34
högskoleförberedande program,65320354,124
högskoleförberedande program,77544055,62
högskoleförberedande program,49112879,50
högskoleförberedande program,30279258,107
högskoleförberedande program,76903284,73
högskoleförberedande program,43623146,..
högskoleförberedande program,49141105,52
högskoleförberedande program,15870428,24
högskoleförberedande program,26646080,137
högskoleförberedande program,26750052,91
högskoleförberedande program,18974693,134
högskoleförberedande program,26996566,10
högskoleförberedande program,27704246,176
högskoleförberedande program,28967085,..
högskoleförberedande program,69747871,..
högskoleförberedande program,31151740,21
högskoleförberedande program,79346084,149
högskoleförberedande program,89816391,41
högskoleförberedande program,14448619,74
högskoleförberedande program,12546590,43
högskoleförberedande program,43565270,106
högskoleförberedande program,77176811,77
högskoleförberedande program,52791537,127
högskoleförberedande program,85152591,102
högskoleförberedande program,85819857,126
högskoleförberedande program,40600798,133
högskoleförberedande program,52942981,85
högskoleförberedande program,54117171,104
högskoleförberedande program,48120273,75
högskoleförberedande program,33233228,..
högskoleförberedande program,94167577,142
högskoleförberedande program,27023528,53
högskoleförberedande program,53903798,39
högskoleförberedande program,97770837,99
högskoleförberedande program,69650864,91
högskoleförberedande program,59581397,24
högskoleförberedande program,41938272,105
högskoleförberedande program,29423248,100
högskoleförberedande program,76054399,66
högskoleförberedande program,33132452,39
högskoleförberedande program,60142020,..
högskoleförberedande program,70811222,10
högskoleförberedande program,17911161,166
högskoleförberedande program,35084976,50
högskoleförberedande program,25525759,68
högskoleförberedande program,77632411,202
högskoleförberedande program,49068301,56
högskoleförberedande program,59898194,43
högskoleförberedande program,38195284,129
högskoleförberedande program,97510495,121
högskoleförberedande program,89461767,75
högskoleförberedande program,94717858,109
högskoleförberedande program,53760158,43
högskoleförberedande program,78422467,148
högskoleförberedande program,37802196,..
högskoleförberedande program,36288955,124
högskoleförberedande program,74812809,93
högskoleförberedande program,88839172,152
högskoleförberedande program,48412612,70
högskoleförberedande program,95618280,51
högskoleförberedande program,75075402,114
högskoleförberedande program,26326048,120
högskoleförberedande program,37839488,164
högskoleförberedande program,46256929,89
högskoleförberedande program,83374651,24
högskoleförberedande program,59796774,12
högskoleförberedande program,17675502,10
högskoleförberedande program,75600007,59
högskoleförberedande program,73812226,105
högskoleförberedande program,30762346,..
högskoleförberedande program,82964090,171
högskoleförberedande program,88955893,127
högskoleförberedande program,15278518,27
högskoleförberedande program,15390992,193
högskoleförberedande program,63943560,31
högskoleförberedande program,85516596,38
högskoleförberedande program,16784385,80
högskoleförberedande program,89963319,..
högskoleförberedande program,24339566,167
högskoleförberedande program,65458415,..
högskoleförberedande program,95154882,10
högskoleförberedande program,52333875,65
högskoleförberedande program,24663703,..
högskoleförberedande program,28519815,106
högskoleförberedande program,65666808,..
högskoleförberedande program,69543519,27
högskoleförberedande program,89693952,42
högskoleförberedande program,24759907,208
högskoleförberedande program,78433202,59
högskoleförberedande program,35366805,56
högskoleförberedande program,31315191,96
högskoleförberedande program,42775003,152
högskoleförberedande program,56670842,60
högskoleförberedande program,89370947,118
högskoleförberedande program,48555205,237
högskoleförberedande program,31313926,58
högskoleförberedande program,30312720,81
högskoleförberedande program,32116280,90
högskoleförberedande program,57143976,107
högskoleförberedande program,93367005,57
högskoleförberedande program,53175499,23
högskoleförberedande program,64388538,180
högskoleförberedande program,52153758,180
högskoleförberedande program,22116645,105
högskoleförberedande program,99755443,236
högskoleförberedande program,30167976,43
högskoleförberedande program,50104466,14
högskoleförberedande program,28004794,..
högskoleförberedande program,32071849,105
högskoleförberedande program,79845033,59
högskoleförberedande program,41099519,50
högskoleförberedande program,59386837,23
högskoleförberedande program,17276047,33
högskoleförberedande program,21382451,86
högskoleförberedande program,48244956,35
högskoleförberedande program,36769815,..
högskoleförberedande program,43873969,140
högskoleförberedande program,55825382,60
högskoleförberedande program,19306558,21
högskoleförberedande program,35301145,80
högskoleförberedande program,24993048,16
högskoleförberedande program,13084253,76
högskoleförberedande program,59942080,36
högskoleförberedande program,66273269,26
högskoleförberedande program,11275959,18
högskoleförberedande program,58518163,26
högskoleförberedande program,27993549,15
högskoleförberedande program,37912396,33
högskoleförberedande program,45593337,76
högskoleförberedande program,10226870,20
högskoleförberedande program,19839859,11
högskoleförberedande program,67628478,65
högskoleförberedande program,37517404,..
högskoleförberedande program,32057701,47
högskoleförberedande program,30615080,124
högskoleförberedande program,25178582,69
högskoleförberedande program,70543431,15
högskoleförberedande program,23476801,..
högskoleförberedande program,86351879,49
högskoleförberedande program,56041144,53
högskoleförberedande program,74322969,22
högskoleförberedande program,90260899,52
högskoleförberedande program,31057219,44
högskoleförberedande program,27079521,61
högskoleförberedande program,33572033,48
högskoleförberedande program,64579522,37
högskoleförberedande program,34381901,54
högskoleförberedande program,55150847,100
högskoleförberedande program,90076461,98
högskoleförberedande program,53069733,49
högskoleförberedande program,99394620,32
högskoleförberedande program,95368476,70
högskoleförberedande program,14853321,23
högskoleförberedande program,76448076,32
högskoleförberedande program,31537066,15
högskoleförberedande program,86488203,106
högskoleförberedande program,25156286,25
högskoleförberedande program,28081446,92
högskoleförberedande program,21400668,42
högskoleförberedande program,92949043,53
högskoleförberedande program,92818240,44
högskoleförberedande program,84329061,139
högskoleförberedande program,91048178,27
högskoleförberedande program,82718660,10
högskoleförberedande program,12399380,16
högskoleförberedande program,31486865,319
högskoleförberedande program,97265732,258
högskoleförberedande program,61720981,216
högskoleförberedande program,50424828,28
högskoleförberedande program,82931004,..
högskoleförberedande program,95024660,72
högskoleförberedande program,32263814,19
högskoleförberedande program,47393891,75
högskoleförberedande program,48414975,17
högskoleförberedande program,11533776,75
högskoleförberedande program,47108751,..
högskoleförberedande program,28829503,90
högskoleförberedande program,99622695,..
högskoleförberedande program,98651664,77
högskoleförberedande program,33657492,110
högskoleförberedande program,79309485,90
högskoleförberedande program,37078868,..
högskoleförberedande program,16130958,70
högskoleförberedande program,82195565,82
högskoleförberedande program,33596572,74
högskoleförberedande program,77713695,81
högskoleförberedande program,51131594,21
högskoleförberedande program,89680395,14
högskoleförberedande program,53696633,15
högskoleförberedande program,27440210,48
högskoleförberedande program,62758285,23
högskoleförberedande program,16218090,27
högskoleförberedande program,64667996,36
högskoleförberedande program,23544320,172
högskoleförberedande program,57668673,19
högskoleförberedande program,69040241,..
högskoleförberedande program,63993414,10
högskoleförberedande program,49136871,..
högskoleförberedande program,20855811,111
högskoleförberedande program,53923398,120
högskoleförberedande program,74560191,15
högskoleförberedande program,47844862,228
högskoleförberedande program,72984079,110
högskoleförberedande program,36480690,50
högskoleförberedande program,24787883,..
högskoleförberedande program,32995170,36
högskoleförberedande program,52048443,54
högskoleförberedande program,61674097,91
högskoleförberedande program,32550660,323
högskoleförberedande program,93488613,34
högskoleförberedande program,45600034,11
högskoleförberedande program,59599256,275
högskoleförberedande program,26957025,234
högskoleförberedande program,90509211,67
högskoleförberedande program,43277545,56
högskoleförberedande program,11953769,..
högskoleförberedande program,50393060,60
högskoleförberedande program,85788659,19
högskoleförberedande program,95340745,..
högskoleförberedande program,59521477,32
högskoleförberedande program,92442684,12
högskoleförberedande program,66095163,51
högskoleförberedande program,54599691,119
högskoleförberedande program,54004368,152
högskoleförberedande program,31975673,224
högskoleförberedande program,82251333,20
högskoleförberedande program,99864908,37
högskoleförberedande program,27106031,47
högskoleförberedande program,59463950,38
högskoleförberedande program,63931325,15
högskoleförberedande program,57391913,54
högskoleförberedande program,75374280,20
högskoleförberedande program,46148350,43
högskoleförberedande program,50133877,67
högskoleförberedande program,49868916,90
högskoleförberedande program,74919147,62
högskoleförberedande program,78389879,25
högskoleförberedande program,24277564,14
högskoleförberedande program,44412461,401
högskoleförberedande program,36355200,61
högskoleförberedande program,96920524,50
högskoleförberedande program,18217765,78
högskoleförberedande program,70803636,94
högskoleförberedande program,49576295,41
högskoleförberedande program,66028861,88
högskoleförberedande program,23797825,53
högskoleförberedande program,45293715,66
högskoleförberedande program,77712952,53
högskoleförberedande program,10433896,104
högskoleförberedande program,43154449,21
högskoleförberedande program,49170638,43
högskoleförberedande program,46379730,39
högskoleförberedande program,25379974,22
högskoleförberedande program,88025221,323
högskoleförberedande program,18042101,85
högskoleförberedande program,56041699,..
högskoleförberedande program,45111086,15
högskoleförberedande program,70955448,155
högskoleförberedande program,68824244,62
högskoleförberedande program,46707989,88
högskoleförberedande program,46986216,66
högskoleförberedande program,67924816,111
högskoleförberedande program,92805465,114
högskoleförberedande program,56084099,..
högskoleförberedande program,16720048,27
högskoleförberedande program,13960635,79
högskoleförberedande program,61176909,92
högskoleförberedande program,43479922,22
högskoleförberedande program,28391147,68
högskoleförberedande program,21778322,60
högskoleförberedande program,31380193,..
högskoleförberedande program,62612992,119
högskoleförberedande program,85485803,71
högskoleförberedande program,16848652,26
högskoleförberedande program,88429477,48
högskoleförberedande program,94975733,35
högskoleförberedande program,56802300,25
högskoleförberedande program,15149235,56
högskoleförberedande program,13981977,10
högskoleförberedande program,24538846,28
högskoleförberedande program,67058407,59
högskoleförberedande program,15791044,32
högskoleförberedande program,65392939,110
högskoleförberedande program,98696836,85
högskoleförberedande program,64908550,31
högskoleförberedande program,77358716,64
högskoleförberedande program,49739986,73
högskoleförberedande program,29225010,32
högskoleförberedande program,92192566,55
högskoleförberedande program,56886667,336
högskoleförberedande program,64648566,14
högskoleförberedande program,65421426,298
högskoleförberedande program,62394916,28
högskoleförberedande program,67908927,24
högskoleförberedande program,72071234,180
högskoleförberedande program,24349146,129
högskoleförberedande program,83605345,..
högskoleförberedande program,15933512,136
högskoleförberedande program,64693272,14
högskoleförberedande program,18072172,..
högskoleförberedande program,65833454,26
högskoleförberedande program,11341077,31
högskoleförberedande program,34988313,89
högskoleförberedande program,28045567,159
högskoleförberedande program,20768651,48
högskoleförberedande program,38880984,125
högskoleförberedande program,28872974,74
högskoleförberedande program,18686599,52
högskoleförberedande program,93779220,114
högskoleförberedande program,77797484,68
högskoleförberedande program,80785976,36
högskoleförberedande program,47559319,37
högskoleförberedande program,21532545,17
högskoleförberedande program,56187883,12
högskoleförberedande program,20752831,112
högskoleförberedande program,51023367,15
högskoleförberedande program,34739511,26
högskoleförberedande program,52690153,16
yrkesprogram,93221031,36
yrkesprogram,17474377,18
yrkesprogram,18345915,37
yrkesprogram,68229719,16
yrkesprogram,61004230,11
yrkesprogram,71262305,18
yrkesprogram,55795961,..
yrkesprogram,84947634,27
yrkesprogram,97870412,42
yrkesprogram,68564903,56
yrkesprogram,82840198,20
yrkesprogram,18208087,33
yrkesprogram,89982804,25
yrkesprogram,19464342,..
yrkesprogram,60743463,..
yrkesprogram,32960825,12
yrkesprogram,43609520,..
yrkesprogram,41416934,72
yrkesprogram,21567982,15
yrkesprogram,49379603,..
yrkesprogram,80167319,..
yrkesprogram,73171934,..
yrkesprogram,83474173,46
yrkesprogram,91487291,..
yrkesprogram,21866405,39
yrkesprogram,74434644,50
yrkesprogram,42022406,25
yrkesprogram,88445871,103
yrkesprogram,18425335,84
yrkesprogram,93281974,45
yrkesprogram,23424275,60
yrkesprogram,19150273,19
yrkesprogram,25624692,19
yrkesprogram,88534520,32
yrkesprogram,16554575,27
yrkesprogram,25356960,74
yrkesprogram,64284020,63
yrkesprogram,98132436,77
yrkesprogram,60096875,26
yrkesprogram,26334561,19
yrkesprogram,40386043,43
yrkesprogram,29324709,11
yrkesprogram,26864271,17
yrkesprogram,59483268,..
yrkesprogram,33685428,15
yrkesprogram,88573795,10
yrkesprogram,82814120,86
yrkesprogram,10924758,19
yrkesprogram,34153869,..
yrkesprogram,88259298,..
yrkesprogram,73098153,12
yrkesprogram,44240250,37
yrkesprogram,17846181,..
yrkesprogram,75082798,85
yrkesprogram,23555409,24
yrkesprogram,91333138,26
yrkesprogram,30341162,..
yrkesprogram,39936461,27
yrkesprogram,72266906,21
yrkesprogram,27030026,17
yrkesprogram,12154972,78
yrkesprogram,16950252,26
yrkesprogram,34637764,51
yrkesprogram,73255276,28
yrkesprogram,15077883,48
yrkesprogram,48434184,48
yrkesprogram,58724424,15
yrkesprogram,51138448,16
yrkesprogram,19647256,44
yrkesprogram,56421429,16
yrkesprogram,39911065,..
yrkesprogram,17008320,..
yrkesprogram,56737496,37
yrkesprogram,88850910,15
yrkesprogram,93939982,36
yrkesprogram,25720752,20
yrkesprogram,55155562,63
yrkesprogram,31533003,26
yrkesprogram,31429031,43
yrkesprogram,16361868,..
yrkesprogram,24008049,67
yrkesprogram,36680097,..
yrkesprogram,87756916,38
yrkesprogram,59734510,34
yrkesprogram,19586169,44
yrkesprogram,24273261,15
yrkesprogram,95683850,62
yrkesprogram,59455288,24
yrkesprogram,82163292,54
yrkesprogram,25679488,23
yrkesprogram,25677996,18
yrkesprogram,89888648,36
yrkesprogram,90003262,10
yrkesprogram,88163512,33
yrkesprogram,35063170,..
yrkesprogram,31279294,17
yrkesprogram,36782335,138
yrkesprogram,20666515,18
yrkesprogram,37906565,18
yrkesprogram,67279303,39
yrkesprogram,21648755,57
yrkesprogram,11111710,24
yrkesprogram,90551279,150
yrkesprogram,93062368,16
yrkesprogram,69686851,103
yrkesprogram,49616977,13
yrkesprogram,90267145,43
yrkesprogram,72998905,26
yrkesprogram,69481650,38
yrkesprogram,88153340,40
yrkesprogram,94353434,57
yrkesprogram,59396229,66
yrkesprogram,95165649,51
yrkesprogram,69626109,43
yrkesprogram,85068812,..
yrkesprogram,36444853,29
yrkesprogram,15414001,55
yrkesprogram,38311488,32
yrkesprogram,16819383,45
yrkesprogram,12994441,11
yrkesprogram,53660780,105
yrkesprogram,30086854,40
yrkesprogram,79094701,25
yrkesprogram,38684438,19
yrkesprogram,96590873,85
yrkesprogram,73147554,11
yrkesprogram,65752105,..
yrkesprogram,11274830,72
yrkesprogram,51321260,58
yrkesprogram,96279444,17
yrkesprogram,61880907,83
yrkesprogram,35006050,44
yrkesprogram,88886610,27
yrkesprogram,10638939,40
yrkesprogram,88556189,49
yrkesprogram,35236491,61
yrkesprogram,58502307,14
yrkesprogram,97177328,17
yrkesprogram,72127035,32
yrkesprogram,70969714,24
yrkesprogram,85003442,37
yrkesprogram,22752398,53
yrkesprogram,71922787,11
yrkesprogram,31843016,34
yrkesprogram,74148070,..
yrkesprogram,50696507,27
yrkesprogram,44653962,39
yrkesprogram,81993306,31
yrkesprogram,29097621,62
yrkesprogram,87764775,18
yrkesprogram,48438396,41
yrkesprogram,98052678,..
yrkesprogram,44341171,29
yrkesprogram,32671805,47
yrkesprogram,38448056,15
yrkesprogram,16313848,183
yrkesprogram,79606767,23
yrkesprogram,11294673,22
yrkesprogram,86327236,28
yrkesprogram,28398531,51
yrkesprogram,66335258,30
yrkesprogram,54172830,23
yrkesprogram,86310217,28
yrkesprogram,83085136,52
yrkesprogram,75458014,..
yrkesprogram,65136104,..
yrkesprogram,79033948,29
yrkesprogram,56330385,18
yrkesprogram,44392995,26
yrkesprogram,69241230,23
yrkesprogram,85544331,29
yrkesprogram,80327946,161
yrkesprogram,78875918,26
yrkesprogram,78023197,46
yrkesprogram,86385479,26
yrkesprogram,40991561,..
yrkesprogram,99838438,19
yrkesprogram,42859669,74
yrkesprogram,70923626,63
yrkesprogram,92905347,46
yrkesprogram,99592025,13
yrkesprogram,34247736,21
yrkesprogram,47550455,97
yrkesprogram,30329172,34
yrkesprogram,76877530,..
yrkesprogram,47046103,32
yrkesprogram,56664512,..
yrkesprogram,38167912,11
yrkesprogram,20620556,10
yrkesprogram,17173461,10
yrkesprogram,19560192,52
yrkesprogram,98053087,74
yrkesprogram,92858957,15
yrkesprogram,46660042,128
yrkesprogram,44113417,24
yrkesprogram,67783774,..
yrkesprogram,38917647,10
yrkesprogram,21363125,..
yrkesprogram,39555838,..
yrkesprogram,85214294,24
yrkesprogram,82084961,79
yrkesprogram,46162400,73
yrkesprogram,98369689,62
yrkesprogram,56529916,60
yrkesprogram,40810950,27
yrkesprogram,40037982,45
yrkesprogram,73829818,16
yrkesprogram,18881773,..
yrkesprogram,80686587,21
yrkesprogram,12279302,55
yrkesprogram,17849518,13
yrkesprogram,94570025,24
yrkesprogram,91984508,33
yrkesprogram,78659008,36
yrkesprogram,12448823,..
yrkesprogram,40667807,25
yrkesprogram,18091973,48
yrkesprogram,40634612,16
yrkesprogram,62439199,20
yrkesprogram,66132676,26
yrkesprogram,80762863,58
yrkesprogram,77688926,16
yrkesprogram,14508922,..
yrkesprogram,69629086,114
yrkesprogram,88624631,23
yrkesprogram,35390185,..
yrkesprogram,37358234,14
yrkesprogram,31657916,12
yrkesprogram,54606928,16
yrkesprogram,46241804,20
yrkesprogram,42573391,18
yrkesprogram,64574972,21
yrkesprogram,19741742,32
yrkesprogram,29032715,32
yrkesprogram,48931433,27
yrkesprogram,97270136,29
yrkesprogram,19909435,44
yrkesprogram,30530571,41
yrkesprogram,96024712,47
yrkesprogram,40829056,12
yrkesprogram,85800840,90
yrkesprogram,27115998,36
yrkesprogram,41867682,10
yrkesprogram,65662401,57
yrkesprogram,39583059,184
yrkesprogram,38645259,32
yrkesprogram,87207941,..
yrkesprogram,11673760,95
yrkesprogram,63791419,66
yrkesprogram,39805497,42
yrkesprogram,38400227,57
yrkesprogram,83829189,41
yrkesprogram,46145886,58
yrkesprogram,43649848,20
yrkesprogram,75344502,20
yrkesprogram,84247499,74
yrkesprogram,27041885,38
yrkesprogram,97064126,..
yrkesprogram,32580162,23
yrkesprogram,48722826,62
yrkesprogram,71571158,32
yrkesprogram,53691739,31
yrkesprogram,97596286,84
yrkesprogram,67554405,82
yrkesprogram,86473502,14
yrkesprogram,98239050,14
yrkesprogram,94455820,..
yrkesprogram,58368956,42
yrkesprogram,73567152,35
yrkesprogram,61547652,47
yrkesprogram,60209222,58
yrkesprogram,62104139,11
yrkesprogram,78872213,25
yrkesprogram,84286698,26
yrkesprogram,62490359,13
yrkesprogram,64725297,29
yrkesprogram,43362941,23
yrkesprogram,23350817,12
yrkesprogram,76860623,21
yrkesprogram,56021320,11
yrkesprogram,41358402,25
yrkesprogram,64569393,18
yrkesprogram,87262566,41
yrkesprogram,41844601,60
yrkesprogram,51620045,36
yrkesprogram,23457902,14
yrkesprogram,27597104,23
yrkesprogram,57397381,59
yrkesprogram,56947954,78
yrkesprogram,72022487,116
yrkesprogram,70969556,20
yrkesprogram,28248021,31
yrkesprogram,44417214,56
yrkesprogram,25025681,13
yrkesprogram,49488344,17
yrkesprogram,74408578,28
yrkesprogram,86724994,83
yrkesprogram,86158933,23
yrkesprogram,14102256,80
yrkesprogram,75082280,14
yrkesprogram,75914181,17
yrkesprogram,39302565,46
yrkesprogram,36072799,26
yrkesprogram,61432781,71
yrkesprogram,78287294,27
yrkesprogram,74316305,35
yrkesprogram,39096170,17
yrkesprogram,99279503,46
yrkesprogram,72109637,..
yrkesprogram,69240218,13
yrkesprogram,14057258,10
yrkesprogram,43313366,27
yrkesprogram,97868185,..
yrkesprogram,81551726,18
yrkesprogram,77823650,50
yrkesprogram,37550979,..
yrkesprogram,52634142,93
yrkesprogram,76195214,65
yrkesprogram,54839753,..
yrkesprogram,32705515,55
yrkesprogram,60214465,11
yrkesprogram,70137084,60
yrkesprogram,82002016,14
yrkesprogram,21901328,19
yrkesprogram,23306658,71
yrkesprogram,57350392,..
yrkesprogram,11102578,24
yrkesprogram,69306209,41
yrkesprogram,92651253,21
yrkesprogram,31740319,37
yrkesprogram,17944628,14
yrkesprogram,82826083,32
yrkesprogram,94090461,15
yrkesprogram,12954099,..
yrkesprogram,80931789,27
yrkesprogram,84098842,29
yrkesprogram,90473340,..
yrkesprogram,26167236,56
yrkesprogram,69807202,52
yrkesprogram,64648904,16
yrkesprogram,63035915,274
yrkesprogram,26324896,16
yrkesprogram,28848709,20
yrkesprogram,12613085,26
yrkesprogram,53896162,13
yrkesprogram,11185244,35
yrkesprogram,56211717,20
yrkesprogram,66824652,18
yrkesprogram,49168016,22
yrkesprogram,32042066,52
yrkesprogram,50821167,10
yrkesprogram,92814975,40
yrkesprogram,28770304,37
yrkesprogram,64123241,15
yrkesprogram,69063711,15
yrkesprogram,77609073,39
yrkesprogram,35894996,49
yrkesprogram,17119840,33
yrkesprogram,68748767,62
yrkesprogram,25596917,17
yrkesprogram,20984584,19
yrkesprogram,52129378,39
yrkesprogram,98541468,18
yrkesprogram,31155312,12
yrkesprogram,25648215,48
yrkesprogram,61823258,24
yrkesprogram,39178171,29
yrkesprogram,79994304,..
yrkesprogram,68006362,122
yrkesprogram,11608031,51
yrkesprogram,86762103,28
yrkesprogram,68381790,39
yrkesprogram,13006857,67
yrkesprogram,76007769,39
yrkesprogram,16956086,72
yrkesprogram,58187973,11
yrkesprogram,88894245,19
yrkesprogram,71160225,25
yrkesprogram,67752682,48
yrkesprogram,47884009,31
yrkesprogram,44672598,30
yrkesprogram,75340089,32
yrkesprogram,36670439,26
yrkesprogram,22220001,59
yrkesprogram,15100079,..
yrkesprogram,55421481,..
yrkesprogram,99356671,14
yrkesprogram,16702464,11
yrkesprogram,71353314,..
yrkesprogram,36252055,53
yrkesprogram,91812793,27
yrkesprogram,14355031,14
yrkesprogram,72891848,42
yrkesprogram,31796890,..
yrkesprogram,22426680,13
yrkesprogram,83805032,29
yrkesprogram,48862305,81
yrkesprogram,32887559,46
yrkesprogram,71541108,18
yrkesprogram,69471748,47
yrkesprogram,93239262,47
yrkesprogram,25745773,69
yrkesprogram,99976753,..
yrkesprogram,14278480,36
yrkesprogram,28023078,49
yrkesprogram,43284031,53
yrkesprogram,13963517,12
yrkesprogram,26267406,16
yrkesprogram,31255918,68
yrkesprogram,51955293,39
yrkesprogram,35035671,17
yrkesprogram,12130801,..
yrkesprogram,51736304,11
yrkesprogram,53180719,74
yrkesprogram,27489137,27
yrkesprogram,15609112,20
yrkesprogram,60424371,34
yrkesprogram,68655578,58
yrkesprogram,17062663,55
yrkesprogram,68741484,29
yrkesprogram,56267421,18
yrkesprogram,34990065,56
yrkesprogram,37054246,29
yrkesprogram,39199869,..
yrkesprogram,62216381,49
yrkesprogram,31179045,46
yrkesprogram,72421673,12
yrkesprogram,59655752,..
yrkesprogram,88750078,34
yrkesprogram,41878314,..
yrkesprogram,41555549,24
yrkesprogram,32003298,24
yrkesprogram,22383788,23
yrkesprogram,85459854,36
yrkesprogram,81876614,..
yrkesprogram,18711877,26
yrkesprogram,67071618,28
yrkesprogram,75324351,19
yrkesprogram,61229217,34
yrkesprogram,58929357,24
yrkesprogram,42517257,32
yrkesprogram,70376604,24
yrkesprogram,93503103,44
yrkesprogram,18617410,16
yrkesprogram,41697930,84
yrkesprogram,28025244,18
yrkesprogram,17184072,11
yrkesprogram,40338843,23
yrkesprogram,77440824,21
yrkesprogram,71069359,17
yrkesprogram,86896907,31
yrkesprogram,14292382,76
yrkesprogram,87859089,19
yrkesprogram,54764253,47
yrkesprogram,98908403,24
yrkesprogram,16493131,118
yrkesprogram,41119610,57
yrkesprogram,48304166,47
yrkesprogram,24982097,18
yrkesprogram,97104132,12
yrkesprogram,68597767,10
yrkesprogram,27964873,36
yrkesprogram,30706655,40
yrkesprogram,65674821,12
yrkesprogram,46332927,37
yrkesprogram,78690637,88
yrkesprogram,24653673,21
yrkesprogram,38048202,117
yrkesprogram,90990441,..
yrkesprogram,86319615,16
yrkesprogram,87303004,37
yrkesprogram,97835550,22
yrkesprogram,22446331,37
yrkesprogram,26671095,26
yrkesprogram,42911621,96
yrkesprogram,40575001,57
yrkesprogram,75027822,32
yrkesprogram,26508763,77
yrkesprogram,14504503,26
yrkesprogram,21850904,48
yrkesprogram,77544055,28
yrkesprogram,16198647,72
yrkesprogram,12496135,10
yrkesprogram,76903284,81
yrkesprogram,68649663,37
yrkesprogram,15870428,35
yrkesprogram,26750052,34
yrkesprogram,81997762,61
yrkesprogram,69747871,..
yrkesprogram,70119254,12
yrkesprogram,79346084,47
yrkesprogram,34222422,15
yrkesprogram,84230226,..
yrkesprogram,42060237,44
yrkesprogram,89816391,21
yrkesprogram,14448619,40
yrkesprogram,12546590,21
yrkesprogram,94167577,19
yrkesprogram,27023528,41
yrkesprogram,53903798,40
yrkesprogram,85782695,13
yrkesprogram,98815582,75
yrkesprogram,97770837,18
yrkesprogram,21312503,39
yrkesprogram,14926020,19
yrkesprogram,33132452,83
yrkesprogram,56942970,..
yrkesprogram,56653353,48
yrkesprogram,59898194,..
yrkesprogram,97510495,17
yrkesprogram,38683336,10
yrkesprogram,95618280,55
