program,skolkod,antal_elever
nationella program,92858957,282
nationella program,46660042,128
nationella program,86296935,..
nationella program,44113417,129
nationella program,67783774,..
nationella program,38917647,10
nationella program,21363125,..
nationella program,39555838,23
nationella program,85214294,42
nationella program,82084961,219
nationella program,46162400,90
nationella program,98369689,62
nationella program,56529916,60
nationella program,40810950,27
nationella program,67279263,123
nationella program,40037982,45
nationella program,51210136,120
nationella program,73829818,130
nationella program,54395430,11
nationella program,18881773,14
nationella program,50908408,11
nationella program,18594470,95
nationella program,78295411,78
nationella program,80686587,88
nationella program,72232853,81
nationella program,12279302,94
nationella program,17849518,13
nationella program,64205087,138
nationella program,50500028,56
nationella program,94570025,24
nationella program,91984508,68
nationella program,78659008,36
nationella program,12448823,..
nationella program,40667807,62
nationella program,18091973,86
nationella program,88466776,45
nationella program,36539945,..
nationella program,40634612,57
nationella program,62439199,20
nationella program,66132676,87
nationella program,57942242,39
nationella program,80762863,58
nationella program,77688926,102
nationella program,14508922,97
nationella program,69629086,114
nationella program,88624631,23
nationella program,35390185,..
nationella program,37358234,27
nationella program,31657916,12
nationella program,21008461,58
nationella program,54606928,102
nationella program,53893730,109
nationella program,46241804,20
nationella program,42573391,24
nationella program,64574972,65
nationella program,19741742,76
nationella program,29032715,90
nationella program,45830583,21
nationella program,48931433,111
nationella program,97270136,29
nationella program,19909435,73
nationella program,30530571,207
nationella program,78839208,68
nationella program,96024712,160
nationella program,30458073,..
nationella program,40829056,12
nationella program,85800840,145
nationella program,68920727,49
nationella program,27115998,161
nationella program,41867682,26
nationella program,79516949,72
nationella program,65662401,57
nationella program,39583059,184
nationella program,38645259,32
nationella program,96684210,237
nationella program,87207941,71
nationella program,11673760,212
nationella program,46574937,302
nationella program,23836342,66
nationella program,63791419,95
nationella program,39805497,72
nationella program,38400227,100
nationella program,81619482,61
nationella program,83829189,41
nationella program,46145886,58
nationella program,12395564,27
nationella program,90006712,17
nationella program,43649848,20
nationella program,75344502,20
nationella program,84247499,74
nationella program,27041885,38
nationella program,39149668,71
nationella program,97064126,..
nationella program,32580162,23
nationella program,38233622,24
