program,skolkod,gbp
Nationella program,70066748,"14,6"
Nationella program,19207279,"17,2"
Nationella program,53640774,"13,9"
Nationella program,58502307,"14,4"
Nationella program,97177328,"12,9"
Nationella program,72127035,"14,2"
Nationella program,70969714,"13,2"
Nationella program,85003442,"13,4"
Nationella program,22752398,"12,4"
Nationella program,68734112,"14,3"
Nationella program,71922787,"13,1"
Nationella program,31843016,"12,3"
Nationella program,74148070,"15,6"
Nationella program,50696507,"14,6"
Nationella program,92507006,"14,5"
Nationella program,44653962,"14,6"
Nationella program,20100577,"14,6"
Nationella program,81993306,"13,6"
Nationella program,19051089,"17,0"
Nationella program,29097621,"13,1"
Nationella program,47264019,"14,1"
Nationella program,87764775,"13,2"
Nationella program,50198492,"14,3"
Nationella program,48438396,"12,2"
Nationella program,98052678,"14,4"
Nationella program,20099064,"15,5"
Nationella program,44341171,"13,0"
Nationella program,32671805,"14,3"
Nationella program,38448056,"14,5"
Nationella program,16313848,"12,8"
Nationella program,79606767,"13,8"
Nationella program,11294673,"14,7"
Nationella program,86327236,"13,9"
Nationella program,41745951,"17,0"
Nationella program,83137205,"15,5"
Nationella program,28398531,"12,9"
Nationella program,66335258,"14,3"
Nationella program,54172830,"13,7"
Nationella program,86310217,"11,6"
Nationella program,83085136,"15,2"
Nationella program,75458014,"13,0"
Nationella program,65136104,"12,7"
Nationella program,61826221,.
Nationella program,79033948,"14,7"
Nationella program,56330385,"14,3"
Nationella program,20228162,"17,3"
Nationella program,68240485,"15,2"
Nationella program,95046058,"15,8"
Nationella program,44392995,"14,7"
Nationella program,53462953,"13,6"
Nationella program,69241230,"11,4"
Nationella program,60730660,"18,4"
Nationella program,85544331,"14,8"
Nationella program,80327946,"13,0"
Nationella program,82592568,"14,9"
Nationella program,78875918,"14,6"
Nationella program,78023197,"13,4"
Nationella program,86385479,"14,6"
Nationella program,40991561,..
Nationella program,49862313,"13,3"
Nationella program,99838438,"12,8"
Nationella program,42859669,"12,9"
Nationella program,70923626,"12,4"
Nationella program,92905347,"11,9"
Nationella program,99592025,"15,9"
Nationella program,34247736,"14,4"
Nationella program,47550455,"13,8"
Nationella program,30329172,"14,5"
Nationella program,76877530,"13,9"
Nationella program,47046103,"13,4"
Nationella program,56664512,..
Nationella program,38167912,"15,4"
Nationella program,43826783,..
Nationella program,58125096,"13,8"
Nationella program,82914148,"11,8"
Nationella program,20620556,"14,3"
Nationella program,77839100,..
