program,skolkod,gbp
Högskoleförberedande program,30312720,"14,8"
Högskoleförberedande program,32116280,"13,7"
Högskoleförberedande program,57143976,"14,5"
Högskoleförberedande program,93367005,"12,9"
Högskoleförberedande program,53175499,"17,1"
Högskoleförberedande program,64388538,"16,8"
Högskoleförberedande program,52153758,"18,0"
Högskoleförberedande program,22116645,"16,3"
Högskoleförberedande program,99755443,"16,7"
Högskoleförberedande program,30167976,"15,8"
Högskoleförberedande program,50104466,"15,7"
Högskoleförberedande program,28004794,..
Högskoleförberedande program,32071849,"16,0"
Högskoleförberedande program,79845033,"13,6"
Högskoleförberedande program,41099519,"14,3"
Högskoleförberedande program,59386837,"15,4"
Högskoleförberedande program,17276047,"13,8"
Högskoleförberedande program,21382451,"14,6"
Högskoleförberedande program,48244956,"13,8"
Högskoleförberedande program,36769815,..
Högskoleförberedande program,43873969,"15,7"
Högskoleförberedande program,55825382,"13,5"
Högskoleförberedande program,19306558,"15,6"
Högskoleförberedande program,35301145,"13,9"
Högskoleförberedande program,24993048,"14,6"
Högskoleförberedande program,13084253,"13,8"
Högskoleförberedande program,59942080,"13,6"
Högskoleförberedande program,66273269,"15,7"
Högskoleförberedande program,11275959,"14,4"
Högskoleförberedande program,58518163,"13,7"
Högskoleförberedande program,27993549,"13,4"
Högskoleförberedande program,37912396,"15,6"
Högskoleförberedande program,45593337,"13,7"
Högskoleförberedande program,10226870,"16,3"
Högskoleförberedande program,19839859,"15,5"
Högskoleförberedande program,67628478,"17,5"
Högskoleförberedande program,37517404,..
Högskoleförberedande program,32057701,"15,8"
Högskoleförberedande program,30615080,"13,1"
Högskoleförberedande program,25178582,"14,2"
Högskoleförberedande program,70543431,"16,6"
Högskoleförberedande program,23476801,..
Högskoleförberedande program,86351879,"14,9"
Högskoleförberedande program,56041144,"13,5"
Högskoleförberedande program,74322969,"14,5"
Högskoleförberedande program,90260899,"14,7"
Högskoleförberedande program,31057219,"14,9"
Högskoleförberedande program,27079521,"15,1"
Högskoleförberedande program,33572033,"14,1"
Högskoleförberedande program,64579522,"15,1"
Högskoleförberedande program,34381901,"16,0"
Högskoleförberedande program,55150847,"15,1"
Högskoleförberedande program,90076461,"14,7"
Högskoleförberedande program,53069733,"14,9"
Högskoleförberedande program,99394620,"15,3"
Högskoleförberedande program,95368476,"15,2"
Högskoleförberedande program,14853321,"14,4"
Högskoleförberedande program,76448076,"14,6"
Högskoleförberedande program,31537066,"14,2"
Högskoleförberedande program,86488203,"14,1"
Högskoleförberedande program,25156286,"14,5"
Högskoleförberedande program,28081446,"15,3"
Högskoleförberedande program,21400668,"13,1"
Högskoleförberedande program,92949043,"14,0"
Högskoleförberedande program,92818240,"12,8"
Högskoleförberedande program,84329061,"14,8"
Högskoleförberedande program,91048178,"12,8"
Högskoleförberedande program,82718660,"14,6"
Högskoleförberedande program,12399380,"13,5"
Högskoleförberedande program,31486865,"15,3"
Högskoleförberedande program,97265732,"17,6"
Högskoleförberedande program,61720981,"14,8"
Högskoleförberedande program,50424828,"13,6"
Högskoleförberedande program,82931004,..
Högskoleförberedande program,95024660,"13,3"
Högskoleförberedande program,32263814,"13,8"
Högskoleförberedande program,47393891,"13,6"
Högskoleförberedande program,48414975,"15,3"
Högskoleförberedande program,11533776,"14,2"
Högskoleförberedande program,47108751,..
Högskoleförberedande program,28829503,"14,5"
Högskoleförberedande program,99622695,..
Högskoleförberedande program,98651664,"16,6"
Högskoleförberedande program,33657492,"14,8"
Högskoleförberedande program,79309485,"14,6"
Högskoleförberedande program,37078868,..
Högskoleförberedande program,16130958,"15,2"
Högskoleförberedande program,82195565,"14,4"
Högskoleförberedande program,33596572,"14,7"
Högskoleförberedande program,77713695,"15,6"
Högskoleförberedande program,51131594,"13,8"
Högskoleförberedande program,89680395,"16,1"
Högskoleförberedande program,53696633,"15,4"
Högskoleförberedande program,27440210,"15,6"
Högskoleförberedande program,62758285,"15,1"
Högskoleförberedande program,16218090,"16,5"
Högskoleförberedande program,64667996,"15,5"
Högskoleförberedande program,23544320,"15,9"
Högskoleförberedande program,57668673,"15,3"
Högskoleförberedande program,69040241,..
Högskoleförberedande program,63993414,"16,3"
Högskoleförberedande program,49136871,..
Högskoleförberedande program,20855811,"12,4"
Högskoleförberedande program,53923398,"14,0"
Högskoleförberedande program,74560191,"14,4"
Högskoleförberedande program,47844862,"14,5"
Högskoleförberedande program,72984079,"13,2"
Högskoleförberedande program,36480690,"14,6"
Högskoleförberedande program,24787883,..
Högskoleförberedande program,32995170,"13,1"
Högskoleförberedande program,52048443,"14,4"
Högskoleförberedande program,61674097,"15,8"
Högskoleförberedande program,32550660,"16,6"
Högskoleförberedande program,93488613,"13,5"
Högskoleförberedande program,45600034,"16,3"
Högskoleförberedande program,59599256,"14,5"
Högskoleförberedande program,26957025,"16,9"
Högskoleförberedande program,90509211,"13,7"
Högskoleförberedande program,43277545,"13,9"
Högskoleförberedande program,11953769,..
Högskoleförberedande program,50393060,"15,3"
Högskoleförberedande program,85788659,"12,1"
Högskoleförberedande program,95340745,..
Högskoleförberedande program,59521477,"14,8"
Högskoleförberedande program,92442684,"15,0"
Högskoleförberedande program,66095163,"13,0"
Högskoleförberedande program,54599691,"14,0"
Högskoleförberedande program,54004368,"14,9"
Högskoleförberedande program,31975673,"14,9"
Högskoleförberedande program,82251333,"17,0"
Högskoleförberedande program,99864908,"13,9"
Högskoleförberedande program,27106031,"14,3"
Högskoleförberedande program,59463950,"15,4"
Högskoleförberedande program,63931325,"14,5"
Högskoleförberedande program,57391913,"16,2"
Högskoleförberedande program,75374280,"15,9"
Högskoleförberedande program,46148350,"15,1"
Högskoleförberedande program,50133877,"15,2"
Högskoleförberedande program,49868916,"15,2"
Högskoleförberedande program,74919147,"15,8"
Högskoleförberedande program,78389879,"13,8"
Högskoleförberedande program,24277564,"12,8"
Högskoleförberedande program,44412461,"16,0"
Högskoleförberedande program,36355200,"14,6"
Högskoleförberedande program,96920524,"14,2"
Högskoleförberedande program,18217765,"14,8"
Högskoleförberedande program,70803636,"14,7"
Högskoleförberedande program,49576295,"16,6"
Högskoleförberedande program,66028861,"17,8"
Högskoleförberedande program,23797825,"13,5"
Högskoleförberedande program,45293715,"14,1"
Högskoleförberedande program,77712952,"13,4"
Högskoleförberedande program,10433896,"14,9"
Högskoleförberedande program,43154449,"13,9"
Högskoleförberedande program,49170638,"13,7"
Högskoleförberedande program,46379730,"14,4"
Högskoleförberedande program,25379974,"14,6"
Högskoleförberedande program,88025221,"14,6"
Högskoleförberedande program,18042101,"14,9"
Högskoleförberedande program,56041699,..
Högskoleförberedande program,45111086,"14,3"
Högskoleförberedande program,70955448,"15,8"
Högskoleförberedande program,68824244,"13,3"
Högskoleförberedande program,46707989,"15,9"
Högskoleförberedande program,46986216,"15,6"
Högskoleförberedande program,67924816,"14,6"
Högskoleförberedande program,92805465,"14,6"
Högskoleförberedande program,56084099,..
Högskoleförberedande program,16720048,"14,1"
Högskoleförberedande program,13960635,"13,6"
Högskoleförberedande program,61176909,"14,9"
Högskoleförberedande program,43479922,"13,3"
Högskoleförberedande program,28391147,"13,4"
Högskoleförberedande program,21778322,"14,1"
Högskoleförberedande program,31380193,..
Högskoleförberedande program,62612992,"13,7"
Högskoleförberedande program,85485803,"13,6"
Högskoleförberedande program,16848652,"15,6"
Högskoleförberedande program,88429477,"14,9"
Högskoleförberedande program,94975733,"15,5"
Högskoleförberedande program,56802300,"14,9"
Högskoleförberedande program,15149235,"15,1"
Högskoleförberedande program,13981977,"15,3"
Högskoleförberedande program,24538846,"14,6"
Högskoleförberedande program,67058407,"13,7"
Högskoleförberedande program,15791044,"14,8"
Högskoleförberedande program,65392939,"14,8"
Högskoleförberedande program,98696836,"14,0"
Högskoleförberedande program,64908550,"17,0"
Högskoleförberedande program,77358716,"16,8"
Högskoleförberedande program,49739986,"13,6"
Högskoleförberedande program,29225010,"13,4"
Högskoleförberedande program,92192566,"14,7"
Högskoleförberedande program,56886667,"14,6"
Högskoleförberedande program,64648566,"13,6"
Högskoleförberedande program,65421426,"14,7"
Högskoleförberedande program,62394916,"14,8"
Högskoleförberedande program,67908927,"13,7"
Högskoleförberedande program,72071234,"16,1"
Högskoleförberedande program,24349146,"14,7"
Högskoleförberedande program,83605345,..
Högskoleförberedande program,15933512,"13,9"
Högskoleförberedande program,64693272,"14,2"
Högskoleförberedande program,18072172,..
Högskoleförberedande program,65833454,"15,0"
Högskoleförberedande program,11341077,"14,9"
Högskoleförberedande program,34988313,"15,8"
Högskoleförberedande program,28045567,"14,3"
Högskoleförberedande program,20768651,"14,3"
Högskoleförberedande program,38880984,"15,2"
Högskoleförberedande program,28872974,"13,9"
Högskoleförberedande program,18686599,"14,2"
Högskoleförberedande program,93779220,"14,6"
Högskoleförberedande program,77797484,"15,0"
Högskoleförberedande program,80785976,"13,5"
Högskoleförberedande program,47559319,"14,9"
Högskoleförberedande program,21532545,"13,8"
Högskoleförberedande program,56187883,"12,8"
Högskoleförberedande program,20752831,"13,9"
Högskoleförberedande program,51023367,"16,2"
Högskoleförberedande program,34739511,"14,0"
Högskoleförberedande program,52690153,"17,0"
Yrkesprogram,93221031,"12,6"
Yrkesprogram,17474377,"14,0"
Yrkesprogram,18345915,"14,7"
Yrkesprogram,68229719,"13,7"
Yrkesprogram,61004230,"14,6"
Yrkesprogram,71262305,"13,7"
Yrkesprogram,55795961,..
Yrkesprogram,84947634,"12,4"
Yrkesprogram,97870412,"13,9"
Yrkesprogram,68564903,"13,8"
Yrkesprogram,82840198,"12,9"
Yrkesprogram,18208087,"11,9"
Yrkesprogram,89982804,"13,5"
Yrkesprogram,19464342,..
Yrkesprogram,60743463,..
Yrkesprogram,32960825,"13,8"
Yrkesprogram,43609520,..
Yrkesprogram,41416934,"12,9"
Yrkesprogram,21567982,"12,9"
Yrkesprogram,49379603,..
Yrkesprogram,80167319,..
Yrkesprogram,73171934,..
Yrkesprogram,83474173,"12,6"
Yrkesprogram,91487291,..
Yrkesprogram,21866405,"11,8"
Yrkesprogram,74434644,"12,6"
Yrkesprogram,42022406,"11,7"
Yrkesprogram,88445871,"13,3"
Yrkesprogram,18425335,"13,1"
Yrkesprogram,93281974,"13,1"
Yrkesprogram,23424275,"14,1"
Yrkesprogram,19150273,"13,9"
Yrkesprogram,25624692,"12,4"
Yrkesprogram,88534520,"14,7"
Yrkesprogram,16554575,"12,7"
Yrkesprogram,25356960,"14,2"
Yrkesprogram,64284020,"12,7"
Yrkesprogram,98132436,"13,3"
Yrkesprogram,60096875,"11,6"
Yrkesprogram,26334561,"12,3"
Yrkesprogram,40386043,"12,6"
Yrkesprogram,29324709,"14,3"
Yrkesprogram,26864271,"12,5"
Yrkesprogram,59483268,..
Yrkesprogram,33685428,"14,2"
Yrkesprogram,88573795,"14,0"
Yrkesprogram,82814120,"14,6"
Yrkesprogram,10924758,"11,4"
Yrkesprogram,34153869,..
Yrkesprogram,88259298,..
Yrkesprogram,73098153,"14,5"
Yrkesprogram,44240250,"13,7"
Yrkesprogram,17846181,..
Yrkesprogram,75082798,"12,6"
Yrkesprogram,23555409,"13,3"
Yrkesprogram,91333138,"12,8"
Yrkesprogram,30341162,..
Yrkesprogram,39936461,"14,3"
Yrkesprogram,72266906,"13,4"
Yrkesprogram,27030026,"13,5"
Yrkesprogram,12154972,"13,1"
Yrkesprogram,16950252,"12,0"
Yrkesprogram,34637764,"13,2"
Yrkesprogram,73255276,"14,7"
Yrkesprogram,15077883,"13,0"
Yrkesprogram,48434184,"12,2"
Yrkesprogram,58724424,"13,4"
Yrkesprogram,51138448,"14,1"
Yrkesprogram,19647256,"13,4"
Yrkesprogram,56421429,"12,6"
Yrkesprogram,39911065,..
Yrkesprogram,17008320,..
Yrkesprogram,56737496,"12,7"
Yrkesprogram,88850910,"12,4"
Yrkesprogram,93939982,"12,7"
Yrkesprogram,25720752,"13,5"
Yrkesprogram,55155562,"12,8"
Yrkesprogram,31533003,"12,9"
Yrkesprogram,31429031,"13,2"
Yrkesprogram,16361868,..
Yrkesprogram,24008049,"13,3"
Yrkesprogram,36680097,..
Yrkesprogram,87756916,"12,4"
Yrkesprogram,59734510,"12,5"
Yrkesprogram,19586169,"12,5"
Yrkesprogram,24273261,"14,1"
Yrkesprogram,95683850,"14,0"
Yrkesprogram,59455288,"11,9"
Yrkesprogram,82163292,"13,9"
Yrkesprogram,25679488,"12,9"
Yrkesprogram,25677996,"12,8"
Yrkesprogram,89888648,"12,8"
Yrkesprogram,90003262,"15,2"
Yrkesprogram,88163512,"13,7"
Yrkesprogram,35063170,..
Yrkesprogram,31279294,"12,2"
Yrkesprogram,36782335,"13,0"
Yrkesprogram,20666515,"13,9"
Yrkesprogram,37906565,"14,4"
Yrkesprogram,67279303,"13,0"
Yrkesprogram,21648755,"12,9"
Yrkesprogram,11111710,"15,0"
Yrkesprogram,90551279,"13,6"
Yrkesprogram,93062368,"11,4"
Yrkesprogram,69686851,"13,4"
Yrkesprogram,49616977,"11,8"
Yrkesprogram,90267145,"13,5"
Yrkesprogram,72998905,"12,9"
Yrkesprogram,69481650,"12,6"
Yrkesprogram,88153340,"12,8"
Yrkesprogram,94353434,"12,3"
Yrkesprogram,59396229,"13,2"
Yrkesprogram,95165649,"13,3"
Yrkesprogram,69626109,"12,2"
Yrkesprogram,85068812,..
Yrkesprogram,36444853,"13,5"
Yrkesprogram,15414001,"13,7"
Yrkesprogram,38311488,"14,2"
Yrkesprogram,16819383,"12,3"
Yrkesprogram,12994441,"10,1"
Yrkesprogram,53660780,"14,7"
Yrkesprogram,30086854,"12,3"
Yrkesprogram,79094701,"13,6"
Yrkesprogram,38684438,"11,7"
Yrkesprogram,96590873,"13,0"
Yrkesprogram,73147554,"16,7"
Yrkesprogram,65752105,..
Yrkesprogram,11274830,"11,7"
Yrkesprogram,51321260,"11,6"
Yrkesprogram,96279444,"13,0"
Yrkesprogram,61880907,"11,6"
Yrkesprogram,35006050,"12,7"
Yrkesprogram,88886610,"12,6"
Yrkesprogram,10638939,"13,0"
Yrkesprogram,88556189,"11,4"
Yrkesprogram,35236491,"14,2"
Yrkesprogram,58502307,"13,9"
Yrkesprogram,97177328,"12,1"
Yrkesprogram,72127035,"13,7"
Yrkesprogram,70969714,"12,0"
Yrkesprogram,85003442,"13,4"
Yrkesprogram,22752398,"12,4"
Yrkesprogram,71922787,"13,1"
Yrkesprogram,31843016,"12,3"
Yrkesprogram,74148070,..
Yrkesprogram,50696507,"14,6"
Yrkesprogram,44653962,"14,2"
Yrkesprogram,81993306,"12,4"
Yrkesprogram,29097621,"13,1"
Yrkesprogram,87764775,"13,2"
Yrkesprogram,48438396,"12,2"
Yrkesprogram,98052678,..
Yrkesprogram,44341171,"13,0"
Yrkesprogram,32671805,"14,3"
Yrkesprogram,38448056,"14,5"
Yrkesprogram,16313848,"12,4"
Yrkesprogram,79606767,"13,6"
Yrkesprogram,11294673,"13,8"
Yrkesprogram,86327236,"13,0"
Yrkesprogram,28398531,"13,1"
Yrkesprogram,66335258,"14,2"
Yrkesprogram,54172830,"11,8"
Yrkesprogram,86310217,"11,6"
Yrkesprogram,83085136,"15,2"
Yrkesprogram,75458014,..
Yrkesprogram,65136104,..
Yrkesprogram,79033948,"13,9"
Yrkesprogram,56330385,"12,7"
Yrkesprogram,44392995,"14,2"
Yrkesprogram,69241230,"11,4"
Yrkesprogram,85544331,"14,8"
Yrkesprogram,80327946,"13,0"
Yrkesprogram,78875918,"13,0"
Yrkesprogram,78023197,"13,4"
Yrkesprogram,86385479,"13,7"
Yrkesprogram,40991561,..
Yrkesprogram,99838438,"12,6"
Yrkesprogram,42859669,"12,0"
Yrkesprogram,70923626,"12,4"
Yrkesprogram,92905347,"11,9"
Yrkesprogram,99592025,"13,6"
Yrkesprogram,34247736,"13,2"
Yrkesprogram,47550455,"13,0"
Yrkesprogram,30329172,"14,3"
Yrkesprogram,76877530,..
Yrkesprogram,47046103,"12,0"
Yrkesprogram,56664512,..
Yrkesprogram,38167912,"15,8"
Yrkesprogram,20620556,"14,6"
Yrkesprogram,17173461,"12,4"
Yrkesprogram,19560192,"13,1"
Yrkesprogram,98053087,"12,8"
Yrkesprogram,92858957,"13,5"
Yrkesprogram,46660042,"13,0"
Yrkesprogram,44113417,"11,6"
Yrkesprogram,67783774,..
Yrkesprogram,38917647,"12,5"
Yrkesprogram,21363125,..
Yrkesprogram,39555838,..
Yrkesprogram,85214294,"12,8"
Yrkesprogram,82084961,"12,1"
Yrkesprogram,46162400,"12,0"
Yrkesprogram,98369689,"12,6"
Yrkesprogram,56529916,"13,8"
Yrkesprogram,40810950,"14,7"
Yrkesprogram,40037982,"13,2"
Yrkesprogram,73829818,"12,1"
Yrkesprogram,18881773,..
Yrkesprogram,80686587,"14,2"
Yrkesprogram,12279302,"12,8"
Yrkesprogram,17849518,"12,5"
Yrkesprogram,94570025,"13,2"
Yrkesprogram,91984508,"11,1"
Yrkesprogram,78659008,"14,8"
Yrkesprogram,12448823,..
Yrkesprogram,40667807,"12,8"
Yrkesprogram,18091973,"13,5"
Yrkesprogram,40634612,"11,1"
Yrkesprogram,62439199,"12,8"
Yrkesprogram,66132676,"14,0"
Yrkesprogram,80762863,"12,4"
Yrkesprogram,77688926,"14,3"
Yrkesprogram,14508922,..
Yrkesprogram,69629086,"13,1"
Yrkesprogram,88624631,"12,4"
Yrkesprogram,35390185,..
Yrkesprogram,37358234,"12,1"
Yrkesprogram,31657916,"12,6"
Yrkesprogram,54606928,"13,2"
Yrkesprogram,46241804,"13,2"
Yrkesprogram,42573391,"13,8"
Yrkesprogram,64574972,"13,4"
Yrkesprogram,19741742,"12,6"
Yrkesprogram,29032715,"13,2"
Yrkesprogram,48931433,"15,3"
Yrkesprogram,97270136,"13,7"
Yrkesprogram,19909435,"13,1"
Yrkesprogram,30530571,"14,2"
Yrkesprogram,96024712,"13,1"
Yrkesprogram,40829056,"12,8"
Yrkesprogram,85800840,"13,6"
Yrkesprogram,27115998,"12,8"
Yrkesprogram,41867682,"12,3"
Yrkesprogram,65662401,"14,5"
Yrkesprogram,39583059,"13,2"
Yrkesprogram,38645259,"12,3"
Yrkesprogram,87207941,..
Yrkesprogram,11673760,"13,3"
Yrkesprogram,63791419,"12,7"
Yrkesprogram,39805497,"13,2"
Yrkesprogram,38400227,"13,0"
Yrkesprogram,83829189,"13,2"
Yrkesprogram,46145886,"14,9"
Yrkesprogram,43649848,"13,3"
Yrkesprogram,75344502,"13,8"
Yrkesprogram,84247499,"12,8"
Yrkesprogram,27041885,"12,6"
Yrkesprogram,97064126,..
Yrkesprogram,32580162,"14,5"
Yrkesprogram,48722826,"12,9"
Yrkesprogram,71571158,"12,3"
Yrkesprogram,53691739,"12,1"
Yrkesprogram,97596286,"12,9"
Yrkesprogram,67554405,"13,5"
Yrkesprogram,86473502,"12,1"
Yrkesprogram,98239050,"14,1"
Yrkesprogram,94455820,..
Yrkesprogram,58368956,"13,6"
Yrkesprogram,73567152,"13,0"
Yrkesprogram,61547652,"13,3"
Yrkesprogram,60209222,"13,6"
Yrkesprogram,62104139,"13,7"
Yrkesprogram,78872213,"13,4"
Yrkesprogram,84286698,"13,8"
Yrkesprogram,62490359,"14,3"
Yrkesprogram,64725297,"13,4"
Yrkesprogram,43362941,"14,0"
Yrkesprogram,23350817,"13,2"
Yrkesprogram,76860623,"13,4"
Yrkesprogram,56021320,"13,2"
Yrkesprogram,41358402,"11,3"
Yrkesprogram,64569393,"13,9"
Yrkesprogram,87262566,"12,4"
Yrkesprogram,41844601,"13,4"
Yrkesprogram,51620045,"13,7"
Yrkesprogram,23457902,"12,5"
Yrkesprogram,27597104,"13,4"
Yrkesprogram,57397381,"12,4"
Yrkesprogram,56947954,"13,4"
Yrkesprogram,72022487,"13,4"
Yrkesprogram,70969556,"13,0"
Yrkesprogram,28248021,"12,8"
Yrkesprogram,44417214,"13,7"
Yrkesprogram,25025681,"12,0"
Yrkesprogram,49488344,"13,7"
Yrkesprogram,74408578,"12,7"
Yrkesprogram,86724994,"13,1"
Yrkesprogram,86158933,"13,1"
Yrkesprogram,14102256,"13,5"
Yrkesprogram,75082280,"12,8"
Yrkesprogram,75914181,"13,6"
Yrkesprogram,39302565,"12,0"
Yrkesprogram,36072799,"14,7"
Yrkesprogram,61432781,"12,7"
Yrkesprogram,78287294,"13,4"
Yrkesprogram,74316305,"12,6"
Yrkesprogram,39096170,"13,9"
Yrkesprogram,99279503,"13,8"
Yrkesprogram,72109637,..
Yrkesprogram,69240218,"12,9"
Yrkesprogram,14057258,"12,7"
Yrkesprogram,43313366,"12,8"
Yrkesprogram,97868185,..
Yrkesprogram,81551726,"11,3"
Yrkesprogram,77823650,"13,6"
Yrkesprogram,37550979,..
Yrkesprogram,52634142,"14,2"
Yrkesprogram,76195214,"14,5"
Yrkesprogram,54839753,..
Yrkesprogram,32705515,"13,5"
Yrkesprogram,60214465,"12,0"
Yrkesprogram,70137084,"12,6"
Yrkesprogram,82002016,"12,0"
Yrkesprogram,21901328,"13,3"
Yrkesprogram,23306658,"13,2"
Yrkesprogram,57350392,..
Yrkesprogram,11102578,"13,6"
Yrkesprogram,69306209,"11,9"
Yrkesprogram,92651253,"13,3"
Yrkesprogram,31740319,"13,3"
Yrkesprogram,17944628,"16,2"
Yrkesprogram,82826083,"13,2"
Yrkesprogram,94090461,"12,8"
Yrkesprogram,12954099,..
Yrkesprogram,80931789,"13,3"
Yrkesprogram,84098842,"13,3"
Yrkesprogram,90473340,..
Yrkesprogram,26167236,"13,2"
Yrkesprogram,69807202,"14,1"
Yrkesprogram,64648904,"14,4"
Yrkesprogram,63035915,"12,9"
Yrkesprogram,26324896,"13,3"
Yrkesprogram,28848709,"12,7"
Yrkesprogram,12613085,"11,8"
Yrkesprogram,53896162,"15,6"
Yrkesprogram,11185244,"13,2"
Yrkesprogram,56211717,"13,5"
Yrkesprogram,66824652,"12,5"
Yrkesprogram,49168016,"13,1"
Yrkesprogram,32042066,"13,9"
Yrkesprogram,50821167,"13,8"
Yrkesprogram,92814975,"13,0"
Yrkesprogram,28770304,"12,6"
Yrkesprogram,64123241,"12,5"
Yrkesprogram,69063711,"14,3"
Yrkesprogram,77609073,"12,5"
Yrkesprogram,35894996,"13,5"
Yrkesprogram,17119840,"13,0"
Yrkesprogram,68748767,"12,2"
Yrkesprogram,25596917,"12,9"
Yrkesprogram,20984584,"11,8"
Yrkesprogram,52129378,"11,7"
Yrkesprogram,98541468,"10,9"
Yrkesprogram,31155312,"13,1"
Yrkesprogram,25648215,"12,1"
Yrkesprogram,61823258,"13,8"
Yrkesprogram,39178171,"13,8"
Yrkesprogram,79994304,..
Yrkesprogram,68006362,"13,1"
Yrkesprogram,11608031,"13,0"
Yrkesprogram,86762103,"12,3"
Yrkesprogram,68381790,"13,0"
Yrkesprogram,13006857,"13,2"
Yrkesprogram,76007769,"12,8"
Yrkesprogram,16956086,"12,9"
Yrkesprogram,58187973,"14,0"
Yrkesprogram,88894245,"13,8"
Yrkesprogram,71160225,"12,6"
Yrkesprogram,67752682,"13,5"
Yrkesprogram,47884009,"13,4"
Yrkesprogram,44672598,"13,4"
Yrkesprogram,75340089,"13,6"
Yrkesprogram,36670439,"12,5"
Yrkesprogram,22220001,"12,7"
Yrkesprogram,15100079,..
Yrkesprogram,55421481,..
Yrkesprogram,99356671,"11,7"
Yrkesprogram,16702464,"11,8"
Yrkesprogram,71353314,..
Yrkesprogram,36252055,"13,0"
Yrkesprogram,91812793,"14,3"
Yrkesprogram,14355031,"14,4"
Yrkesprogram,72891848,"11,8"
Yrkesprogram,31796890,..
Yrkesprogram,22426680,"12,8"
Yrkesprogram,83805032,"12,1"
Yrkesprogram,48862305,"12,4"
Yrkesprogram,32887559,"13,0"
Yrkesprogram,71541108,"13,7"
Yrkesprogram,69471748,"12,6"
Yrkesprogram,93239262,"14,1"
Yrkesprogram,25745773,"15,0"
Yrkesprogram,99976753,..
Yrkesprogram,14278480,"13,2"
Yrkesprogram,28023078,"12,9"
Yrkesprogram,43284031,"12,9"
Yrkesprogram,13963517,"14,7"
Yrkesprogram,26267406,"12,8"
Yrkesprogram,31255918,"14,3"
Yrkesprogram,51955293,"14,1"
Yrkesprogram,35035671,"13,3"
Yrkesprogram,12130801,..
Yrkesprogram,51736304,"12,4"
Yrkesprogram,53180719,"13,0"
Yrkesprogram,27489137,"14,3"
Yrkesprogram,15609112,"12,7"
Yrkesprogram,60424371,"13,8"
Yrkesprogram,68655578,"11,9"
Yrkesprogram,17062663,"12,5"
Yrkesprogram,68741484,"12,3"
Yrkesprogram,56267421,"14,4"
Yrkesprogram,34990065,"13,4"
Yrkesprogram,37054246,"13,0"
Yrkesprogram,39199869,..
Yrkesprogram,62216381,"13,2"
Yrkesprogram,31179045,"12,8"
Yrkesprogram,72421673,"12,8"
Yrkesprogram,59655752,..
Yrkesprogram,88750078,"13,9"
Yrkesprogram,41878314,..
Yrkesprogram,41555549,"13,8"
Yrkesprogram,32003298,"13,9"
Yrkesprogram,22383788,"13,5"
Yrkesprogram,85459854,"13,4"
Yrkesprogram,81876614,..
Yrkesprogram,18711877,"14,4"
Yrkesprogram,67071618,"13,8"
Yrkesprogram,75324351,"13,3"
Yrkesprogram,61229217,"12,7"
Yrkesprogram,58929357,"14,8"
Yrkesprogram,42517257,"14,2"
Yrkesprogram,70376604,"14,4"
Yrkesprogram,93503103,"13,6"
Yrkesprogram,18617410,"14,9"
Yrkesprogram,41697930,"13,3"
Yrkesprogram,28025244,"13,5"
Yrkesprogram,17184072,"12,5"
Yrkesprogram,40338843,"13,4"
Yrkesprogram,77440824,"12,7"
Yrkesprogram,71069359,"12,9"
Yrkesprogram,86896907,"13,7"
Yrkesprogram,14292382,"14,8"
Yrkesprogram,87859089,"11,8"
Yrkesprogram,54764253,"13,0"
Yrkesprogram,98908403,"13,6"
Yrkesprogram,16493131,"13,9"
Yrkesprogram,41119610,"15,6"
Yrkesprogram,48304166,"12,9"
Yrkesprogram,24982097,"13,0"
Yrkesprogram,97104132,"15,3"
Yrkesprogram,68597767,"12,9"
Yrkesprogram,27964873,"11,8"
Yrkesprogram,30706655,"12,7"
Yrkesprogram,65674821,"12,5"
Yrkesprogram,46332927,"14,2"
Yrkesprogram,78690637,"13,2"
Yrkesprogram,24653673,"13,3"
Yrkesprogram,38048202,"12,9"
Yrkesprogram,90990441,..
Yrkesprogram,86319615,"12,7"
Yrkesprogram,87303004,"12,4"
Yrkesprogram,97835550,"12,3"
Yrkesprogram,22446331,"13,6"
Yrkesprogram,26671095,"13,0"
Yrkesprogram,42911621,"13,5"
Yrkesprogram,40575001,"12,5"
Yrkesprogram,75027822,"13,0"
Yrkesprogram,26508763,"13,9"
Yrkesprogram,14504503,"12,9"
Yrkesprogram,21850904,"17,2"
Yrkesprogram,77544055,"12,4"
Yrkesprogram,16198647,"14,1"
Yrkesprogram,12496135,"12,5"
Yrkesprogram,76903284,"12,5"
Yrkesprogram,68649663,"12,9"
Yrkesprogram,15870428,"12,8"
Yrkesprogram,26750052,"12,8"
Yrkesprogram,81997762,"12,5"
Yrkesprogram,69747871,..
Yrkesprogram,70119254,"13,5"
Yrkesprogram,79346084,"13,0"
Yrkesprogram,34222422,"14,3"
Yrkesprogram,84230226,..
Yrkesprogram,42060237,"12,7"
Yrkesprogram,89816391,"12,4"
Yrkesprogram,14448619,"11,8"
Yrkesprogram,12546590,"13,2"
Yrkesprogram,94167577,"10,8"
Yrkesprogram,27023528,"14,0"
Yrkesprogram,53903798,"12,8"
Yrkesprogram,85782695,"12,2"
Yrkesprogram,98815582,"14,1"
Yrkesprogram,97770837,"13,6"
Yrkesprogram,21312503,"14,9"
Yrkesprogram,14926020,"11,6"
Yrkesprogram,33132452,"12,5"
Yrkesprogram,56942970,..
