program,skolkod,andel_minst_e_ma1
nationella program,31279294,"93,0"
nationella program,36782335,"97,8"
nationella program,23897040,..
nationella program,20666515,"100,0"
nationella program,37906565,"100,0"
nationella program,67279303,"95,7"
nationella program,21648755,"95,7"
nationella program,11111710,"100,0"
nationella program,90551279,"96,0"
nationella program,93062368,"87,5"
nationella program,69686851,"99,1"
nationella program,49616977,"98,5"
nationella program,54965510,"99,7"
nationella program,90267145,"97,7"
nationella program,72998905,"100,0"
nationella program,84835666,"98,2"
nationella program,25872338,..
nationella program,54164490,"84,0"
nationella program,69481650,"94,7"
nationella program,20319353,"95,6"
nationella program,92194545,"98,4"
nationella program,88153340,"100,0"
nationella program,94353434,"94,7"
nationella program,59396229,"98,5"
nationella program,95165649,"98,0"
nationella program,64740897,..
nationella program,78979604,..
nationella program,69626109,"93,0"
nationella program,10974852,..
nationella program,85068812,"90,9"
nationella program,78397312,"100,0"
nationella program,36444853,"96,4"
nationella program,15414001,"89,1"
nationella program,38311488,"100,0"
nationella program,16819383,"91,2"
nationella program,89837629,"99,0"
nationella program,12994441,"98,5"
nationella program,53660780,"100,0"
nationella program,88774402,"100,0"
nationella program,75141151,"95,1"
nationella program,61701709,"100,0"
nationella program,61469192,"98,4"
nationella program,84306392,"100,0"
nationella program,28627819,"100,0"
nationella program,30086854,"97,5"
nationella program,26627862,"100,0"
nationella program,48847282,"100,0"
nationella program,72517762,"80,8"
nationella program,79094701,"100,0"
nationella program,38684438,"98,6"
nationella program,31251822,"98,1"
nationella program,90099336,..
nationella program,96590873,"95,3"
nationella program,35647481,"100,0"
nationella program,39549479,"100,0"
nationella program,73147554,"100,0"
nationella program,65752105,..
nationella program,69983740,"100,0"
nationella program,66491596,"100,0"
nationella program,12052268,"97,2"
nationella program,71597051,"100,0"
nationella program,53231578,"100,0"
nationella program,11274830,"98,6"
nationella program,51321260,"94,8"
nationella program,96279444,"100,0"
nationella program,40690520,"100,0"
nationella program,61880907,"97,6"
nationella program,91011325,"93,3"
nationella program,97382366,"97,4"
nationella program,35006050,"100,0"
nationella program,88886610,"96,3"
nationella program,10638939,"86,3"
nationella program,21505555,"100,0"
nationella program,34336190,"100,0"
nationella program,21052710,"100,0"
nationella program,88556189,"87,8"
nationella program,35236491,"100,0"
nationella program,69739484,"91,5"
nationella program,92887917,"97,4"
nationella program,88834120,"100,0"
