program,provnamn,skol_kod,andel_c
barn- och fritidsprogrammet,engelska 5,48434184,..
bygg- och anläggningsprogrammet,engelska 5,48434184,"27,8"
el- och energiprogrammet,engelska 5,48434184,"43,8"
fordons- och transportprogrammet,engelska 5,48434184,.
industritekniska programmet,engelska 5,48434184,..
vård- och omsorgsprogrammet,engelska 5,48434184,..
hantverksprogrammet,engelska 5,58724424,..
barn- och fritidsprogrammet,engelska 5,51138448,"29,4"
vård- och omsorgsprogrammet,engelska 5,51138448,.
bygg- och anläggningsprogrammet,engelska 5,19647256,"37,9"
fordons- och transportprogrammet,engelska 5,19647256,..
el- och energiprogrammet,engelska 5,56421429,..
handels- och administrationsprogrammet,engelska 5,39911065,..
industritekniska programmet,engelska 5,17008320,..
bygg- och anläggningsprogrammet,engelska 5,56737496,..
el- och energiprogrammet,engelska 5,56737496,"41,7"
handels- och administrationsprogrammet,engelska 5,56737496,..
vård- och omsorgsprogrammet,engelska 5,88850910,..
barn- och fritidsprogrammet,engelska 5,93939982,..
fordons- och transportprogrammet,engelska 5,93939982,"66,7"
vård- och omsorgsprogrammet,engelska 5,25720752,"27,8"
barn- och fritidsprogrammet,engelska 5,55155562,..
bygg- och anläggningsprogrammet,engelska 5,55155562,..
fordons- och transportprogrammet,engelska 5,55155562,..
industritekniska programmet,engelska 5,55155562,..
barn- och fritidsprogrammet,engelska 5,31533003,..
hantverksprogrammet,engelska 5,31429031,..
vård- och omsorgsprogrammet,engelska 5,31429031,..
restaurang- och livsmedelsprogrammet,engelska 5,16361868,..
el- och energiprogrammet,engelska 5,24008049,"27,3"
fordons- och transportprogrammet,engelska 5,24008049,..
el- och energiprogrammet,engelska 5,72661886,..
fordons- och transportprogrammet,engelska 5,72661886,..
el- och energiprogrammet,engelska 5,36680097,..
handels- och administrationsprogrammet,engelska 5,87756916,..
hantverksprogrammet,engelska 5,87756916,"25,0"
bygg- och anläggningsprogrammet,engelska 5,59734510,..
el- och energiprogrammet,engelska 5,59734510,..
fordons- och transportprogrammet,engelska 5,59734510,.
hantverksprogrammet,engelska 5,59734510,..
naturbruksprogrammet,engelska 5,59734510,..
vvs- och fastighetsprogrammet,engelska 5,59734510,..
barn- och fritidsprogrammet,engelska 5,19586169,..
bygg- och anläggningsprogrammet,engelska 5,19586169,..
el- och energiprogrammet,engelska 5,19586169,..
fordons- och transportprogrammet,engelska 5,19586169,..
handels- och administrationsprogrammet,engelska 5,19586169,..
hantverksprogrammet,engelska 5,19586169,..
vård- och omsorgsprogrammet,engelska 5,19586169,..
barn- och fritidsprogrammet,engelska 5,24273261,..
bygg- och anläggningsprogrammet,engelska 5,24273261,..
fordons- och transportprogrammet,engelska 5,24273261,..
handels- och administrationsprogrammet,engelska 5,24273261,..
industritekniska programmet,engelska 5,24273261,..
vvs- och fastighetsprogrammet,engelska 5,24273261,..
el- och energiprogrammet,engelska 5,95683850,"50,0"
industritekniska programmet,engelska 5,95683850,..
vård- och omsorgsprogrammet,engelska 5,95683850,"33,3"
barn- och fritidsprogrammet,engelska 5,59455288,..
bygg- och anläggningsprogrammet,engelska 5,59455288,..
handels- och administrationsprogrammet,engelska 5,59455288,..
naturbruksprogrammet,engelska 5,59455288,..
vård- och omsorgsprogrammet,engelska 5,59455288,..
naturbruksprogrammet,engelska 5,82163292,"24,6"
handels- och administrationsprogrammet,engelska 5,25679488,..
restaurang- och livsmedelsprogrammet,engelska 5,25679488,.
barn- och fritidsprogrammet,engelska 5,25677996,..
vård- och omsorgsprogrammet,engelska 5,25677996,..
bygg- och anläggningsprogrammet,engelska 5,89888648,"29,4"
el- och energiprogrammet,engelska 5,89888648,"47,1"
fordons- och transportprogrammet,engelska 5,89888648,..
vvs- och fastighetsprogrammet,engelska 5,89888648,..
fordons- och transportprogrammet,engelska 5,90003262,..
naturbruksprogrammet,engelska 5,88163512,"24,5"
handels- och administrationsprogrammet,engelska 5,35063170,..
industritekniska programmet,engelska 5,35063170,..
barn- och fritidsprogrammet,engelska 5,31279294,..
hantverksprogrammet,engelska 5,31279294,..
restaurang- och livsmedelsprogrammet,engelska 5,31279294,..
barn- och fritidsprogrammet,engelska 5,36782335,..
bygg- och anläggningsprogrammet,engelska 5,36782335,..
el- och energiprogrammet,engelska 5,36782335,"50,0"
fordons- och transportprogrammet,engelska 5,36782335,..
handels- och administrationsprogrammet,engelska 5,36782335,..
naturbruksprogrammet,engelska 5,36782335,"28,0"
restaurang- och livsmedelsprogrammet,engelska 5,36782335,..
sjöfartsutbildningen,engelska 5,36782335,..
vvs- och fastighetsprogrammet,engelska 5,36782335,..
vård- och omsorgsprogrammet,engelska 5,36782335,.
bygg- och anläggningsprogrammet,engelska 5,20666515,..
vvs- och fastighetsprogrammet,engelska 5,20666515,..
el- och energiprogrammet,engelska 5,37906565,..
handels- och administrationsprogrammet,engelska 5,37906565,.
vård- och omsorgsprogrammet,engelska 5,37906565,..
fordons- och transportprogrammet,engelska 5,67279303,..
industritekniska programmet,engelska 5,67279303,.
fordons- och transportprogrammet,engelska 5,21648755,"15,8"
handels- och administrationsprogrammet,engelska 5,21648755,..
hantverksprogrammet,engelska 5,11111710,..
barn- och fritidsprogrammet,engelska 5,90551279,"35,3"
bygg- och anläggningsprogrammet,engelska 5,90551279,"24,1"
el- och energiprogrammet,engelska 5,90551279,"32,0"
hantverksprogrammet,engelska 5,90551279,..
industritekniska programmet,engelska 5,90551279,..
restaurang- och livsmedelsprogrammet,engelska 5,90551279,"37,5"
vvs- och fastighetsprogrammet,engelska 5,90551279,..
vård- och omsorgsprogrammet,engelska 5,90551279,..
barn- och fritidsprogrammet,engelska 5,93062368,.
bygg- och anläggningsprogrammet,engelska 5,93062368,..
restaurang- och livsmedelsprogrammet,engelska 5,93062368,..
vvs- och fastighetsprogrammet,engelska 5,93062368,..
el- och energiprogrammet,engelska 5,69686851,"30,4"
hantverksprogrammet,engelska 5,69686851,"14,0"
naturbruksprogrammet,engelska 5,69686851,"19,2"
handels- och administrationsprogrammet,engelska 5,49616977,.
handels- och administrationsprogrammet,engelska 5,72998905,..
vård- och omsorgsprogrammet,engelska 5,72998905,..
handels- och administrationsprogrammet,engelska 5,69481650,"22,7"
bygg- och anläggningsprogrammet,engelska 5,88153340,"13,3"
bygg- och anläggningsprogrammet,engelska 5,94353434,"43,6"
hantverksprogrammet,engelska 5,59396229,"19,4"
naturbruksprogrammet,engelska 5,95165649,..
barn- och fritidsprogrammet,engelska 5,69626109,"24,6"
el- och energiprogrammet,engelska 5,85068812,..
hantverksprogrammet,engelska 5,36444853,"31,0"
el- och energiprogrammet,engelska 5,16819383,.
industritekniska programmet,engelska 5,16819383,..
vvs- och fastighetsprogrammet,engelska 5,16819383,.
handels- och administrationsprogrammet,engelska 5,12994441,..
industritekniska programmet,engelska 5,53660780,"51,9"
handels- och administrationsprogrammet,engelska 5,30086854,"28,9"
el- och energiprogrammet,engelska 5,79094701,"76,0"
handels- och administrationsprogrammet,engelska 5,38684438,..
vård- och omsorgsprogrammet,engelska 5,35647481,"16,0"
handels- och administrationsprogrammet,engelska 5,73147554,"47,1"
hantverksprogrammet,engelska 5,65752105,..
fordons- och transportprogrammet,engelska 5,61880907,"21,1"
el- och energiprogrammet,engelska 5,35006050,"41,7"
handels- och administrationsprogrammet,engelska 5,35006050,"28,6"
bygg- och anläggningsprogrammet,engelska 5,88886610,"31,0"
barn- och fritidsprogrammet,engelska 5,10638939,..
handels- och administrationsprogrammet,engelska 5,10638939,..
bygg- och anläggningsprogrammet,engelska 5,88556189,..
el- och energiprogrammet,engelska 5,88556189,.
fordons- och transportprogrammet,engelska 5,88556189,..
hantverksprogrammet,engelska 5,88556189,..
industritekniska programmet,engelska 5,88556189,..
vvs- och fastighetsprogrammet,engelska 5,88556189,..
vård- och omsorgsprogrammet,engelska 5,88556189,..
naturbruksprogrammet,engelska 5,35236491,"34,8"
el- och energiprogrammet,engelska 5,34831349,..
bygg- och anläggningsprogrammet,engelska 5,63511898,..
el- och energiprogrammet,engelska 5,63511898,..
fordons- och transportprogrammet,engelska 5,63511898,..
handels- och administrationsprogrammet,engelska 5,63511898,..
hantverksprogrammet,engelska 5,63511898,..
industritekniska programmet,engelska 5,63511898,..
vvs- och fastighetsprogrammet,engelska 5,63511898,..
vård- och omsorgsprogrammet,engelska 5,63511898,.
barn- och fritidsprogrammet,engelska 5,72127035,.
bygg- och anläggningsprogrammet,engelska 5,72127035,..
el- och energiprogrammet,engelska 5,72127035,..
fordons- och transportprogrammet,engelska 5,72127035,..
industritekniska programmet,engelska 5,72127035,..
vård- och omsorgsprogrammet,engelska 5,72127035,..
fordons- och transportprogrammet,engelska 5,70969714,..
restaurang- och livsmedelsprogrammet,engelska 5,70969714,..
vvs- och fastighetsprogrammet,engelska 5,70969714,..
barn- och fritidsprogrammet,engelska 5,85003442,..
vård- och omsorgsprogrammet,engelska 5,85003442,..
bygg- och anläggningsprogrammet,engelska 5,22752398,"18,6"
el- och energiprogrammet,engelska 5,22752398,"36,0"
handels- och administrationsprogrammet,engelska 5,71922787,..
bygg- och anläggningsprogrammet,engelska 5,31843016,..
fordons- och transportprogrammet,engelska 5,31843016,..
vvs- och fastighetsprogrammet,engelska 5,31843016,..
restaurang- och livsmedelsprogrammet,engelska 5,74148070,.
naturbruksprogrammet,engelska 5,50696507,..
hantverksprogrammet,engelska 5,44653962,"25,0"
vård- och omsorgsprogrammet,engelska 5,44653962,..
el- och energiprogrammet,engelska 5,81993306,"27,8"
industritekniska programmet,engelska 5,81993306,..
bygg- och anläggningsprogrammet,engelska 5,29097621,"25,4"
fordons- och transportprogrammet,engelska 5,29097621,..
bygg- och anläggningsprogrammet,engelska 5,87764775,..
