program,skolkod,andel_med_utokat_prog
nationella program,20099064,"63,8"
nationella program,44341171,..
nationella program,32671805,"36,2"
nationella program,38448056,"80,0"
nationella program,16313848,"20,3"
nationella program,79606767,"31,8"
nationella program,11294673,"34,6"
nationella program,86327236,"37,7"
nationella program,41745951,"22,4"
nationella program,83137205,"55,8"
nationella program,28398531,"38,4"
nationella program,66335258,"35,3"
nationella program,54172830,"43,2"
nationella program,86310217,"35,7"
nationella program,83085136,"82,7"
nationella program,75458014,"38,5"
nationella program,65136104,..
nationella program,61826221,.
nationella program,79033948,"69,2"
nationella program,56330385,"23,0"
nationella program,20228162,"19,2"
nationella program,68240485,..
nationella program,95046058,..
nationella program,44392995,"26,5"
nationella program,53462953,"21,4"
nationella program,69241230,..
nationella program,60730660,"36,8"
nationella program,85544331,"72,4"
nationella program,80327946,"35,4"
nationella program,82592568,"26,7"
nationella program,78875918,"37,2"
nationella program,78023197,..
nationella program,86385479,"33,3"
nationella program,40991561,..
nationella program,49862313,"21,9"
nationella program,99838438,"36,6"
nationella program,42859669,"20,0"
nationella program,70923626,"19,0"
nationella program,92905347,"23,9"
nationella program,99592025,"20,0"
nationella program,34247736,"8,7"
nationella program,47550455,"39,5"
nationella program,30329172,"66,7"
nationella program,76877530,..
nationella program,47046103,"28,0"
nationella program,56664512,.
nationella program,38167912,"56,7"
nationella program,43826783,.
nationella program,58125096,"30,6"
nationella program,82914148,..
nationella program,20620556,"48,3"
nationella program,77839100,.
nationella program,17173461,..
nationella program,55535552,..
nationella program,19560192,"59,6"
nationella program,30468157,"44,3"
nationella program,98053087,"37,8"
nationella program,92533079,"24,5"
nationella program,61528940,..
nationella program,23681822,..
nationella program,66861851,"8,7"
nationella program,72206824,..
nationella program,92858957,"29,1"
nationella program,46660042,"14,8"
nationella program,86296935,..
nationella program,44113417,"55,0"
nationella program,67783774,..
nationella program,38917647,..
nationella program,21363125,.
nationella program,39555838,..
nationella program,85214294,..
nationella program,82084961,"26,0"
nationella program,46162400,"61,1"
nationella program,98369689,..
nationella program,56529916,"48,3"
nationella program,40810950,..
nationella program,67279263,"11,4"
nationella program,40037982,"62,2"
nationella program,51210136,"8,3"
nationella program,73829818,"10,0"
nationella program,54395430,.
nationella program,18881773,..
nationella program,50908408,"90,9"
nationella program,18594470,"18,9"
nationella program,78295411,..
nationella program,80686587,"40,0"
nationella program,72232853,"50,6"
nationella program,12279302,"17,0"
nationella program,17849518,..
nationella program,64205087,"44,2"
nationella program,50500028,"28,6"
nationella program,94570025,..
nationella program,91984508,"58,8"
nationella program,78659008,"55,6"
nationella program,12448823,..
nationella program,40667807,"27,4"
nationella program,18091973,"29,1"
nationella program,88466776,"82,2"
nationella program,36539945,..
nationella program,40634612,"35,1"
nationella program,62439199,..
nationella program,66132676,"17,2"
nationella program,57942242,..
nationella program,80762863,..
nationella program,77688926,..
nationella program,14508922,"14,4"
nationella program,69629086,"12,3"
nationella program,88624631,..
nationella program,35390185,..
nationella program,37358234,..
nationella program,31657916,..
nationella program,21008461,..
nationella program,54606928,"11,8"
nationella program,53893730,"15,6"
nationella program,46241804,..
nationella program,42573391,"83,3"
nationella program,64574972,"23,1"
nationella program,19741742,"22,4"
nationella program,29032715,"24,4"
nationella program,45830583,..
nationella program,48931433,"18,0"
nationella program,97270136,"44,8"
nationella program,19909435,"58,9"
nationella program,30530571,"15,0"
nationella program,78839208,"14,7"
nationella program,96024712,"15,6"
nationella program,30458073,..
nationella program,40829056,..
nationella program,85800840,"53,8"
nationella program,68920727,"34,7"
nationella program,27115998,"67,7"
nationella program,41867682,..
nationella program,79516949,"25,0"
nationella program,65662401,"45,6"
nationella program,39583059,"50,5"
nationella program,38645259,..
nationella program,96684210,"30,4"
nationella program,87207941,"45,1"
nationella program,11673760,"22,6"
nationella program,46574937,"26,0"
nationella program,23836342,"22,7"
nationella program,63791419,"40,0"
nationella program,39805497,"61,1"
nationella program,38400227,"28,0"
nationella program,81619482,"31,1"
nationella program,83829189,..
nationella program,46145886,"27,6"
nationella program,12395564,..
nationella program,90006712,"94,1"
nationella program,43649848,"60,0"
nationella program,75344502,"50,0"
nationella program,84247499,"14,9"
nationella program,27041885,..
nationella program,39149668,"29,6"
nationella program,97064126,..
nationella program,32580162,"78,3"
nationella program,38233622,"91,7"
nationella program,48722826,"49,2"
nationella program,73063662,"23,8"
nationella program,40766349,..
nationella program,71571158,"46,9"
nationella program,53691739,"57,8"
nationella program,43251309,..
nationella program,97596286,"45,2"
nationella program,67554405,"30,1"
nationella program,86473502,..
nationella program,73944169,"34,7"
nationella program,98239050,"28,6"
nationella program,94455820,..
nationella program,58368956,"54,8"
nationella program,73567152,"37,1"
nationella program,61547652,"45,8"
nationella program,60209222,"51,7"
nationella program,62104139,"17,5"
nationella program,87034307,"26,1"
nationella program,78872213,"28,3"
nationella program,84286698,"61,5"
nationella program,62490359,"100,0"
nationella program,64725297,"41,4"
nationella program,43362941,"73,9"
nationella program,23350817,..
nationella program,76860623,..
nationella program,58191646,..
nationella program,80405898,"22,6"
nationella program,56021320,..
nationella program,41358402,.
nationella program,63179610,.
nationella program,64569393,..
nationella program,87262566,"26,8"
nationella program,64160122,..
nationella program,48217580,"18,3"
nationella program,41844601,"20,0"
nationella program,51620045,"47,4"
nationella program,86888278,..
nationella program,23457902,..
nationella program,27597104,"73,9"
nationella program,57397381,"37,6"
nationella program,56947954,"44,6"
nationella program,72022487,"37,8"
nationella program,71512894,"71,0"
nationella program,70969556,"70,0"
nationella program,28248021,"46,8"
nationella program,44417214,"55,4"
nationella program,25025681,..
nationella program,88776535,"25,0"
nationella program,49488344,"34,1"
nationella program,74408578,"16,3"
nationella program,71043974,"29,3"
nationella program,57777751,..
nationella program,38732602,.
nationella program,89807183,"14,1"
nationella program,86724994,"36,1"
nationella program,61161774,"9,5"
nationella program,86158933,"33,3"
nationella program,14102256,"22,5"
nationella program,75082280,..
nationella program,75914181,"27,4"
nationella program,39302565,"35,0"
nationella program,96818167,..
nationella program,36072799,"50,0"
