program,skolkod,andel_med_utokat_prog
högskoleförberedande program,59575030,"20,2"
högskoleförberedande program,18617410,..
högskoleförberedande program,28025244,..
högskoleförberedande program,40338843,..
högskoleförberedande program,77440824,..
högskoleförberedande program,14292382,"29,4"
högskoleförberedande program,51981332,"81,8"
högskoleförberedande program,87859089,..
högskoleförberedande program,98908403,..
högskoleförberedande program,16493131,"36,7"
högskoleförberedande program,83272868,"43,2"
högskoleförberedande program,11526364,"43,4"
högskoleförberedande program,45552626,"48,5"
högskoleförberedande program,50906954,.
högskoleförberedande program,16748680,"31,0"
högskoleförberedande program,65674821,..
högskoleförberedande program,92332557,"24,1"
högskoleförberedande program,78690637,"7,7"
högskoleförberedande program,38048202,"9,9"
högskoleförberedande program,90990441,..
högskoleförberedande program,26671095,"56,5"
högskoleförberedande program,65320354,"41,9"
högskoleförberedande program,77544055,"41,9"
högskoleförberedande program,49112879,"32,0"
högskoleförberedande program,30279258,"17,8"
högskoleförberedande program,76903284,"28,8"
högskoleförberedande program,43623146,.
högskoleförberedande program,49141105,..
högskoleförberedande program,15870428,..
högskoleförberedande program,26646080,"7,3"
högskoleförberedande program,26750052,"19,8"
högskoleförberedande program,18974693,"13,4"
högskoleförberedande program,26996566,..
högskoleförberedande program,27704246,"28,4"
högskoleförberedande program,28967085,.
högskoleförberedande program,69747871,..
högskoleförberedande program,31151740,..
högskoleförberedande program,79346084,"30,2"
högskoleförberedande program,89816391,..
högskoleförberedande program,14448619,..
högskoleförberedande program,12546590,..
högskoleförberedande program,43565270,"53,8"
högskoleförberedande program,77176811,..
högskoleförberedande program,52791537,..
högskoleförberedande program,85152591,..
högskoleförberedande program,85819857,..
högskoleförberedande program,40600798,"10,5"
högskoleförberedande program,52942981,..
högskoleförberedande program,54117171,"31,7"
högskoleförberedande program,48120273,..
högskoleförberedande program,33233228,..
högskoleförberedande program,94167577,"19,0"
högskoleförberedande program,27023528,..
högskoleförberedande program,53903798,..
högskoleförberedande program,97770837,"12,1"
högskoleförberedande program,69650864,"42,9"
högskoleförberedande program,59581397,.
högskoleförberedande program,41938272,"61,0"
högskoleförberedande program,29423248,"13,0"
högskoleförberedande program,76054399,"51,5"
högskoleförberedande program,33132452,..
högskoleförberedande program,60142020,..
högskoleförberedande program,70811222,..
högskoleförberedande program,17911161,"12,0"
högskoleförberedande program,35084976,"58,0"
högskoleförberedande program,25525759,.
högskoleförberedande program,77632411,"27,2"
högskoleförberedande program,49068301,..
högskoleförberedande program,59898194,..
högskoleförberedande program,38195284,"7,8"
högskoleförberedande program,97510495,..
högskoleförberedande program,89461767,"17,3"
högskoleförberedande program,94717858,"13,8"
högskoleförberedande program,53760158,"65,1"
högskoleförberedande program,78422467,"27,0"
högskoleförberedande program,37802196,..
högskoleförberedande program,36288955,"46,0"
högskoleförberedande program,74812809,"75,3"
högskoleförberedande program,88839172,"25,7"
högskoleförberedande program,48412612,..
högskoleförberedande program,95618280,"19,6"
högskoleförberedande program,75075402,"8,8"
högskoleförberedande program,26326048,"8,3"
högskoleförberedande program,37839488,"6,7"
högskoleförberedande program,46256929,"20,2"
högskoleförberedande program,83374651,"75,0"
högskoleförberedande program,59796774,"100,0"
högskoleförberedande program,17675502,..
högskoleförberedande program,75600007,"39,0"
högskoleförberedande program,73812226,"13,3"
högskoleförberedande program,30762346,..
högskoleförberedande program,82964090,"10,5"
högskoleförberedande program,88955893,"10,2"
högskoleförberedande program,15278518,.
högskoleförberedande program,15390992,"36,8"
högskoleförberedande program,63943560,"64,5"
högskoleförberedande program,85516596,..
högskoleförberedande program,16784385,..
högskoleförberedande program,89963319,..
högskoleförberedande program,24339566,"7,8"
högskoleförberedande program,65458415,.
högskoleförberedande program,95154882,..
högskoleförberedande program,52333875,"40,0"
högskoleförberedande program,24663703,..
högskoleförberedande program,28519815,"39,6"
högskoleförberedande program,65666808,.
högskoleförberedande program,69543519,"37,0"
högskoleförberedande program,89693952,.
högskoleförberedande program,24759907,"24,0"
högskoleförberedande program,78433202,"30,5"
högskoleförberedande program,35366805,"33,9"
högskoleförberedande program,31315191,"62,5"
högskoleförberedande program,42775003,"11,8"
högskoleförberedande program,56670842,"16,7"
högskoleförberedande program,89370947,"67,8"
högskoleförberedande program,48555205,"8,4"
högskoleförberedande program,31313926,..
högskoleförberedande program,30312720,"18,5"
högskoleförberedande program,32116280,"16,7"
högskoleförberedande program,57143976,"18,7"
högskoleförberedande program,93367005,"35,1"
högskoleförberedande program,53175499,"69,6"
högskoleförberedande program,64388538,..
högskoleförberedande program,52153758,"17,2"
högskoleförberedande program,22116645,"28,6"
högskoleförberedande program,99755443,"7,2"
högskoleförberedande program,30167976,"41,9"
högskoleförberedande program,50104466,..
högskoleförberedande program,28004794,..
högskoleförberedande program,32071849,"21,9"
högskoleförberedande program,79845033,"22,0"
högskoleförberedande program,41099519,"22,0"
högskoleförberedande program,59386837,"56,5"
högskoleförberedande program,17276047,"36,4"
högskoleförberedande program,21382451,"17,4"
högskoleförberedande program,48244956,"42,9"
högskoleförberedande program,36769815,..
högskoleförberedande program,43873969,..
högskoleförberedande program,55825382,..
högskoleförberedande program,19306558,..
högskoleförberedande program,35301145,"22,5"
högskoleförberedande program,24993048,..
högskoleförberedande program,13084253,"15,8"
högskoleförberedande program,59942080,..
högskoleförberedande program,66273269,..
högskoleförberedande program,11275959,.
högskoleförberedande program,58518163,"38,5"
högskoleförberedande program,27993549,..
högskoleförberedande program,37912396,"30,3"
högskoleförberedande program,45593337,"40,8"
högskoleförberedande program,10226870,"55,0"
högskoleförberedande program,19839859,..
högskoleförberedande program,67628478,"100,0"
högskoleförberedande program,37517404,..
högskoleförberedande program,32057701,.
högskoleförberedande program,30615080,"34,5"
högskoleförberedande program,25178582,"59,4"
högskoleförberedande program,70543431,..
högskoleförberedande program,23476801,..
högskoleförberedande program,86351879,"59,2"
högskoleförberedande program,56041144,"20,8"
högskoleförberedande program,74322969,"45,5"
högskoleförberedande program,90260899,..
högskoleförberedande program,31057219,"40,9"
högskoleförberedande program,27079521,..
högskoleförberedande program,33572033,"33,3"
högskoleförberedande program,64579522,"35,1"
högskoleförberedande program,34381901,"38,9"
högskoleförberedande program,55150847,..
högskoleförberedande program,90076461,..
högskoleförberedande program,53069733,"57,1"
högskoleförberedande program,99394620,"50,0"
högskoleförberedande program,95368476,"38,6"
högskoleförberedande program,14853321,..
högskoleförberedande program,76448076,..
högskoleförberedande program,31537066,"80,0"
högskoleförberedande program,86488203,"25,5"
högskoleförberedande program,25156286,..
högskoleförberedande program,28081446,"18,5"
högskoleförberedande program,21400668,..
högskoleförberedande program,92949043,..
högskoleförberedande program,92818240,"25,0"
högskoleförberedande program,84329061,"21,6"
högskoleförberedande program,91048178,..
högskoleförberedande program,82718660,..
högskoleförberedande program,12399380,.
högskoleförberedande program,31486865,"11,0"
högskoleförberedande program,97265732,"13,2"
högskoleförberedande program,61720981,"6,9"
högskoleförberedande program,50424828,..
högskoleförberedande program,82931004,..
högskoleförberedande program,95024660,..
högskoleförberedande program,32263814,..
högskoleförberedande program,47393891,..
högskoleförberedande program,48414975,..
högskoleförberedande program,11533776,"44,0"
högskoleförberedande program,47108751,..
högskoleförberedande program,28829503,"46,7"
högskoleförberedande program,99622695,..
högskoleförberedande program,98651664,"29,9"
högskoleförberedande program,33657492,"40,9"
högskoleförberedande program,79309485,..
högskoleförberedande program,37078868,..
högskoleförberedande program,16130958,..
högskoleförberedande program,82195565,.
högskoleförberedande program,33596572,..
högskoleförberedande program,77713695,"97,5"
högskoleförberedande program,51131594,.
högskoleförberedande program,89680395,..
högskoleförberedande program,53696633,..
högskoleförberedande program,27440210,"31,3"
högskoleförberedande program,62758285,..
högskoleförberedande program,16218090,..
högskoleförberedande program,64667996,..
högskoleförberedande program,23544320,"35,5"
högskoleförberedande program,57668673,..
högskoleförberedande program,69040241,..
högskoleförberedande program,63993414,..
högskoleförberedande program,49136871,..
högskoleförberedande program,20855811,"9,9"
högskoleförberedande program,53923398,"30,8"
högskoleförberedande program,74560191,..
högskoleförberedande program,47844862,"62,7"
högskoleförberedande program,72984079,"46,4"
högskoleförberedande program,36480690,"30,0"
högskoleförberedande program,24787883,..
högskoleförberedande program,32995170,"58,3"
högskoleförberedande program,52048443,"50,0"
högskoleförberedande program,61674097,..
högskoleförberedande program,32550660,"13,2"
högskoleförberedande program,93488613,..
högskoleförberedande program,45600034,..
högskoleförberedande program,59599256,"18,2"
högskoleförberedande program,26957025,"31,2"
högskoleförberedande program,90509211,..
högskoleförberedande program,43277545,"33,9"
högskoleförberedande program,11953769,.
högskoleförberedande program,50393060,"25,0"
högskoleförberedande program,85788659,..
högskoleförberedande program,95340745,..
högskoleförberedande program,59521477,"31,3"
högskoleförberedande program,92442684,..
högskoleförberedande program,66095163,..
högskoleförberedande program,54599691,"20,2"
högskoleförberedande program,54004368,"41,4"
högskoleförberedande program,31975673,"19,2"
högskoleförberedande program,82251333,..
högskoleförberedande program,99864908,..
högskoleförberedande program,27106031,..
högskoleförberedande program,59463950,"100,0"
högskoleförberedande program,63931325,..
högskoleförberedande program,57391913,"53,7"
högskoleförberedande program,75374280,"85,0"
högskoleförberedande program,46148350,"55,8"
högskoleförberedande program,50133877,"34,3"
högskoleförberedande program,49868916,"40,0"
högskoleförberedande program,74919147,..
högskoleförberedande program,78389879,..
högskoleförberedande program,24277564,..
högskoleförberedande program,44412461,"11,2"
högskoleförberedande program,36355200,"31,1"
högskoleförberedande program,96920524,"56,0"
högskoleförberedande program,18217765,"39,7"
högskoleförberedande program,70803636,"14,9"
högskoleförberedande program,49576295,"39,0"
högskoleförberedande program,66028861,"87,5"
högskoleförberedande program,23797825,..
högskoleförberedande program,45293715,"47,0"
högskoleförberedande program,77712952,..
högskoleförberedande program,10433896,"26,9"
högskoleförberedande program,43154449,..
högskoleförberedande program,49170638,"39,5"
högskoleförberedande program,46379730,"33,3"
högskoleförberedande program,25379974,.
högskoleförberedande program,88025221,"15,5"
högskoleförberedande program,18042101,"28,2"
högskoleförberedande program,56041699,..
högskoleförberedande program,45111086,..
högskoleförberedande program,70955448,"98,1"
högskoleförberedande program,68824244,"32,3"
högskoleförberedande program,46707989,..
högskoleförberedande program,46986216,"34,8"
högskoleförberedande program,67924816,..
högskoleförberedande program,92805465,..
högskoleförberedande program,56084099,..
högskoleförberedande program,16720048,.
högskoleförberedande program,13960635,"54,4"
högskoleförberedande program,61176909,"22,8"
högskoleförberedande program,43479922,..
högskoleförberedande program,28391147,..
högskoleförberedande program,21778322,"23,3"
högskoleförberedande program,31380193,..
högskoleförberedande program,62612992,"27,7"
högskoleförberedande program,85485803,"18,3"
högskoleförberedande program,16848652,"46,2"
högskoleförberedande program,88429477,"22,9"
högskoleförberedande program,94975733,"42,9"
högskoleförberedande program,56802300,..
högskoleförberedande program,15149235,"50,0"
högskoleförberedande program,13981977,..
högskoleförberedande program,24538846,"85,7"
högskoleförberedande program,67058407,"18,6"
högskoleförberedande program,15791044,"65,6"
högskoleförberedande program,65392939,"50,9"
högskoleförberedande program,98696836,"30,6"
högskoleförberedande program,64908550,..
högskoleförberedande program,77358716,..
högskoleförberedande program,49739986,"50,7"
högskoleförberedande program,29225010,"34,4"
högskoleförberedande program,92192566,"21,8"
högskoleförberedande program,56886667,"29,8"
högskoleförberedande program,64648566,..
högskoleförberedande program,65421426,"25,0"
högskoleförberedande program,62394916,"75,0"
högskoleförberedande program,67908927,"54,2"
högskoleförberedande program,72071234,"23,3"
högskoleförberedande program,24349146,"30,2"
högskoleförberedande program,83605345,..
högskoleförberedande program,15933512,"7,4"
högskoleförberedande program,64693272,..
högskoleförberedande program,18072172,.
högskoleförberedande program,65833454,..
högskoleförberedande program,11341077,..
högskoleförberedande program,34988313,"21,3"
högskoleförberedande program,28045567,"36,5"
högskoleförberedande program,20768651,"52,1"
högskoleförberedande program,38880984,..
högskoleförberedande program,28872974,..
högskoleförberedande program,18686599,"88,5"
högskoleförberedande program,93779220,..
högskoleförberedande program,77797484,"20,6"
högskoleförberedande program,80785976,"36,1"
högskoleförberedande program,47559319,..
högskoleförberedande program,21532545,..
högskoleförberedande program,56187883,..
högskoleförberedande program,20752831,"19,6"
högskoleförberedande program,51023367,"86,7"
högskoleförberedande program,34739511,"96,2"
högskoleförberedande program,52690153,"62,5"
yrkesprogram,93221031,"44,4"
yrkesprogram,17474377,..
yrkesprogram,18345915,..
yrkesprogram,68229719,..
yrkesprogram,61004230,..
yrkesprogram,71262305,..
yrkesprogram,55795961,..
yrkesprogram,84947634,..
yrkesprogram,97870412,"38,1"
yrkesprogram,68564903,"21,4"
yrkesprogram,82840198,"90,0"
yrkesprogram,18208087,"60,6"
yrkesprogram,89982804,"72,0"
yrkesprogram,19464342,..
yrkesprogram,60743463,..
yrkesprogram,32960825,..
yrkesprogram,43609520,..
yrkesprogram,41416934,"43,1"
yrkesprogram,21567982,..
yrkesprogram,49379603,..
yrkesprogram,80167319,.
yrkesprogram,73171934,..
yrkesprogram,83474173,"50,0"
yrkesprogram,91487291,..
yrkesprogram,21866405,"30,8"
yrkesprogram,74434644,"36,0"
yrkesprogram,42022406,"88,0"
yrkesprogram,88445871,"53,4"
yrkesprogram,18425335,"39,3"
yrkesprogram,93281974,"40,0"
yrkesprogram,23424275,"31,7"
yrkesprogram,19150273,..
yrkesprogram,25624692,"57,9"
yrkesprogram,88534520,"65,6"
yrkesprogram,16554575,"77,8"
yrkesprogram,25356960,"33,8"
yrkesprogram,64284020,"41,3"
yrkesprogram,98132436,"40,3"
yrkesprogram,60096875,..
yrkesprogram,26334561,.
yrkesprogram,40386043,..
yrkesprogram,29324709,..
yrkesprogram,26864271,..
yrkesprogram,59483268,..
yrkesprogram,33685428,..
yrkesprogram,88573795,"100,0"
yrkesprogram,82814120,"90,7"
yrkesprogram,10924758,..
yrkesprogram,34153869,..
yrkesprogram,88259298,..
yrkesprogram,73098153,..
yrkesprogram,44240250,"29,7"
yrkesprogram,17846181,..
yrkesprogram,75082798,"14,1"
yrkesprogram,23555409,..
yrkesprogram,91333138,"46,2"
yrkesprogram,30341162,.
yrkesprogram,39936461,"100,0"
yrkesprogram,72266906,"95,2"
yrkesprogram,27030026,..
yrkesprogram,12154972,"44,9"
yrkesprogram,16950252,"53,8"
yrkesprogram,34637764,"31,4"
yrkesprogram,73255276,"75,0"
yrkesprogram,15077883,"20,8"
yrkesprogram,48434184,"37,5"
yrkesprogram,58724424,..
yrkesprogram,51138448,..
yrkesprogram,19647256,"45,5"
yrkesprogram,56421429,..
yrkesprogram,39911065,..
yrkesprogram,17008320,..
yrkesprogram,56737496,"48,6"
yrkesprogram,88850910,..
yrkesprogram,93939982,"27,8"
yrkesprogram,25720752,..
yrkesprogram,55155562,"30,2"
yrkesprogram,31533003,"46,2"
yrkesprogram,31429031,"30,2"
yrkesprogram,16361868,..
yrkesprogram,24008049,"65,7"
yrkesprogram,36680097,..
yrkesprogram,87756916,..
yrkesprogram,59734510,"70,6"
yrkesprogram,19586169,"34,1"
yrkesprogram,24273261,..
yrkesprogram,95683850,"79,0"
yrkesprogram,59455288,"45,8"
yrkesprogram,82163292,"63,0"
yrkesprogram,25679488,..
yrkesprogram,25677996,..
yrkesprogram,89888648,"47,2"
yrkesprogram,90003262,..
yrkesprogram,88163512,"39,4"
yrkesprogram,35063170,..
yrkesprogram,31279294,..
yrkesprogram,36782335,..
yrkesprogram,20666515,..
yrkesprogram,37906565,..
yrkesprogram,67279303,"66,7"
yrkesprogram,21648755,"33,3"
yrkesprogram,11111710,.
yrkesprogram,90551279,"52,0"
yrkesprogram,93062368,..
yrkesprogram,69686851,"48,5"
yrkesprogram,49616977,..
yrkesprogram,90267145,"55,8"
yrkesprogram,72998905,"69,2"
yrkesprogram,69481650,"28,9"
yrkesprogram,88153340,"40,0"
yrkesprogram,94353434,"49,1"
yrkesprogram,59396229,"48,5"
yrkesprogram,95165649,"56,9"
yrkesprogram,69626109,..
yrkesprogram,85068812,..
yrkesprogram,36444853,"79,3"
yrkesprogram,15414001,"45,5"
yrkesprogram,38311488,..
yrkesprogram,16819383,..
yrkesprogram,12994441,..
yrkesprogram,53660780,"100,0"
yrkesprogram,30086854,..
yrkesprogram,79094701,"60,0"
yrkesprogram,38684438,..
yrkesprogram,96590873,"43,5"
yrkesprogram,73147554,"100,0"
yrkesprogram,65752105,..
yrkesprogram,11274830,"48,6"
yrkesprogram,51321260,"46,6"
yrkesprogram,96279444,"58,8"
yrkesprogram,61880907,"69,9"
yrkesprogram,35006050,"25,0"
yrkesprogram,88886610,"37,0"
yrkesprogram,10638939,"55,0"
yrkesprogram,88556189,"34,7"
yrkesprogram,35236491,"62,3"
yrkesprogram,58502307,"100,0"
yrkesprogram,97177328,..
yrkesprogram,72127035,"46,9"
yrkesprogram,70969714,..
yrkesprogram,85003442,"27,0"
yrkesprogram,22752398,"60,4"
yrkesprogram,71922787,..
yrkesprogram,31843016,"35,3"
yrkesprogram,74148070,..
yrkesprogram,50696507,"88,9"
yrkesprogram,44653962,"30,8"
yrkesprogram,81993306,"58,1"
yrkesprogram,29097621,"35,5"
yrkesprogram,87764775,..
yrkesprogram,48438396,"63,4"
yrkesprogram,98052678,..
yrkesprogram,44341171,..
yrkesprogram,32671805,"36,2"
yrkesprogram,38448056,"80,0"
yrkesprogram,16313848,"26,2"
yrkesprogram,79606767,..
yrkesprogram,11294673,..
yrkesprogram,86327236,"46,4"
yrkesprogram,28398531,"43,1"
yrkesprogram,66335258,"53,3"
yrkesprogram,54172830,..
yrkesprogram,86310217,"35,7"
yrkesprogram,83085136,"82,7"
yrkesprogram,75458014,..
yrkesprogram,65136104,..
yrkesprogram,79033948,"58,6"
yrkesprogram,56330385,..
yrkesprogram,44392995,..
yrkesprogram,69241230,..
yrkesprogram,85544331,"72,4"
yrkesprogram,80327946,"35,4"
yrkesprogram,78875918,"46,2"
yrkesprogram,78023197,..
yrkesprogram,86385479,"50,0"
yrkesprogram,40991561,..
yrkesprogram,99838438,"94,7"
yrkesprogram,42859669,"40,5"
yrkesprogram,70923626,"19,0"
yrkesprogram,92905347,"23,9"
yrkesprogram,99592025,..
yrkesprogram,34247736,.
yrkesprogram,47550455,"37,1"
yrkesprogram,30329172,"82,4"
yrkesprogram,76877530,.
yrkesprogram,47046103,..
yrkesprogram,56664512,.
yrkesprogram,38167912,..
yrkesprogram,20620556,..
yrkesprogram,17173461,..
yrkesprogram,19560192,"59,6"
yrkesprogram,98053087,"37,8"
yrkesprogram,92858957,..
yrkesprogram,46660042,"14,8"
yrkesprogram,44113417,..
yrkesprogram,67783774,..
yrkesprogram,38917647,..
yrkesprogram,21363125,.
yrkesprogram,39555838,.
yrkesprogram,85214294,..
yrkesprogram,82084961,"46,8"
yrkesprogram,46162400,"52,1"
yrkesprogram,98369689,..
yrkesprogram,56529916,"48,3"
yrkesprogram,40810950,..
yrkesprogram,40037982,"62,2"
yrkesprogram,73829818,..
yrkesprogram,18881773,..
yrkesprogram,80686587,"85,7"
yrkesprogram,12279302,..
yrkesprogram,17849518,..
yrkesprogram,94570025,..
yrkesprogram,91984508,"42,4"
yrkesprogram,78659008,"55,6"
yrkesprogram,12448823,..
yrkesprogram,40667807,"48,0"
yrkesprogram,18091973,"31,3"
yrkesprogram,40634612,..
yrkesprogram,62439199,..
yrkesprogram,66132676,..
yrkesprogram,80762863,..
yrkesprogram,77688926,..
yrkesprogram,14508922,..
yrkesprogram,69629086,"12,3"
yrkesprogram,88624631,..
yrkesprogram,35390185,..
yrkesprogram,37358234,..
yrkesprogram,31657916,..
yrkesprogram,54606928,..
yrkesprogram,46241804,..
yrkesprogram,42573391,"83,3"
yrkesprogram,64574972,..
yrkesprogram,19741742,"31,3"
yrkesprogram,29032715,"46,9"
yrkesprogram,48931433,"48,1"
yrkesprogram,97270136,"44,8"
yrkesprogram,19909435,"56,8"
yrkesprogram,30530571,"46,3"
yrkesprogram,96024712,..
yrkesprogram,40829056,..
yrkesprogram,85800840,"45,6"
yrkesprogram,27115998,"80,6"
yrkesprogram,41867682,..
yrkesprogram,65662401,"45,6"
yrkesprogram,39583059,"50,5"
yrkesprogram,38645259,..
yrkesprogram,87207941,..
yrkesprogram,11673760,"38,9"
yrkesprogram,63791419,"30,3"
yrkesprogram,39805497,"47,6"
yrkesprogram,38400227,"47,4"
yrkesprogram,83829189,..
yrkesprogram,46145886,"27,6"
yrkesprogram,43649848,"60,0"
yrkesprogram,75344502,"50,0"
yrkesprogram,84247499,"14,9"
yrkesprogram,27041885,..
yrkesprogram,97064126,..
yrkesprogram,32580162,"78,3"
yrkesprogram,48722826,"66,1"
yrkesprogram,71571158,"46,9"
yrkesprogram,53691739,"83,9"
yrkesprogram,97596286,"45,2"
yrkesprogram,67554405,"35,4"
yrkesprogram,86473502,..
yrkesprogram,98239050,..
yrkesprogram,94455820,..
yrkesprogram,58368956,"54,8"
yrkesprogram,73567152,"37,1"
yrkesprogram,61547652,"44,7"
yrkesprogram,60209222,"51,7"
yrkesprogram,62104139,..
yrkesprogram,78872213,..
yrkesprogram,84286698,"61,5"
yrkesprogram,62490359,"100,0"
yrkesprogram,64725297,"41,4"
yrkesprogram,43362941,"73,9"
yrkesprogram,23350817,..
yrkesprogram,76860623,..
yrkesprogram,56021320,..
yrkesprogram,41358402,.
yrkesprogram,64569393,.
yrkesprogram,87262566,"26,8"
yrkesprogram,41844601,"20,0"
yrkesprogram,51620045,"72,2"
yrkesprogram,23457902,..
yrkesprogram,27597104,"73,9"
yrkesprogram,57397381,"45,8"
yrkesprogram,56947954,"57,7"
yrkesprogram,72022487,"41,4"
yrkesprogram,70969556,"70,0"
yrkesprogram,28248021,"48,4"
yrkesprogram,44417214,"69,6"
yrkesprogram,25025681,..
yrkesprogram,49488344,..
yrkesprogram,74408578,..
yrkesprogram,86724994,"36,1"
yrkesprogram,86158933,..
yrkesprogram,14102256,"22,5"
yrkesprogram,75082280,..
yrkesprogram,75914181,..
yrkesprogram,39302565,..
yrkesprogram,36072799,"50,0"
yrkesprogram,61432781,"67,6"
yrkesprogram,78287294,..
yrkesprogram,74316305,"91,4"
yrkesprogram,39096170,..
yrkesprogram,99279503,"21,7"
yrkesprogram,72109637,..
yrkesprogram,69240218,"84,6"
yrkesprogram,14057258,..
yrkesprogram,43313366,..
yrkesprogram,97868185,..
yrkesprogram,81551726,..
yrkesprogram,77823650,"80,0"
yrkesprogram,37550979,..
yrkesprogram,52634142,"50,5"
yrkesprogram,76195214,"24,6"
yrkesprogram,54839753,..
yrkesprogram,32705515,"49,1"
yrkesprogram,60214465,..
yrkesprogram,70137084,..
yrkesprogram,82002016,..
yrkesprogram,21901328,.
yrkesprogram,23306658,"63,4"
yrkesprogram,57350392,..
yrkesprogram,11102578,..
yrkesprogram,69306209,"43,9"
yrkesprogram,92651253,..
yrkesprogram,31740319,"45,9"
yrkesprogram,17944628,..
yrkesprogram,82826083,"65,6"
yrkesprogram,94090461,..
yrkesprogram,12954099,..
yrkesprogram,80931789,..
yrkesprogram,84098842,"51,7"
yrkesprogram,90473340,..
yrkesprogram,26167236,..
yrkesprogram,69807202,"36,5"
yrkesprogram,64648904,"75,0"
yrkesprogram,63035915,"15,3"
yrkesprogram,26324896,..
yrkesprogram,28848709,..
yrkesprogram,12613085,"38,5"
yrkesprogram,53896162,..
yrkesprogram,11185244,"42,9"
yrkesprogram,56211717,"85,0"
yrkesprogram,66824652,"72,2"
yrkesprogram,49168016,..
yrkesprogram,32042066,"38,5"
yrkesprogram,50821167,..
yrkesprogram,92814975,"57,5"
yrkesprogram,28770304,"62,2"
yrkesprogram,64123241,"86,7"
yrkesprogram,69063711,..
yrkesprogram,77609073,.
yrkesprogram,35894996,"95,9"
yrkesprogram,17119840,..
yrkesprogram,68748767,"38,7"
yrkesprogram,25596917,"76,5"
yrkesprogram,20984584,"63,2"
yrkesprogram,52129378,"25,6"
yrkesprogram,98541468,"72,2"
yrkesprogram,31155312,..
yrkesprogram,25648215,..
yrkesprogram,61823258,..
yrkesprogram,39178171,"75,9"
yrkesprogram,79994304,..
yrkesprogram,68006362,"41,0"
yrkesprogram,11608031,"56,9"
yrkesprogram,86762103,..
yrkesprogram,68381790,"46,2"
yrkesprogram,13006857,"35,8"
yrkesprogram,76007769,"33,3"
yrkesprogram,16956086,"36,1"
yrkesprogram,58187973,..
yrkesprogram,88894245,"73,7"
yrkesprogram,71160225,.
yrkesprogram,67752682,"50,0"
yrkesprogram,47884009,"51,6"
yrkesprogram,44672598,"60,0"
yrkesprogram,75340089,"46,9"
yrkesprogram,36670439,"42,3"
yrkesprogram,22220001,"55,9"
yrkesprogram,15100079,.
yrkesprogram,55421481,..
yrkesprogram,99356671,..
yrkesprogram,16702464,..
yrkesprogram,71353314,..
yrkesprogram,36252055,"34,0"
yrkesprogram,91812793,..
yrkesprogram,14355031,..
yrkesprogram,72891848,"42,9"
yrkesprogram,31796890,..
yrkesprogram,22426680,..
yrkesprogram,83805032,..
yrkesprogram,48862305,"43,2"
yrkesprogram,32887559,"84,8"
yrkesprogram,71541108,..
yrkesprogram,69471748,"27,7"
yrkesprogram,93239262,"38,3"
yrkesprogram,25745773,"40,6"
yrkesprogram,99976753,.
yrkesprogram,14278480,..
yrkesprogram,28023078,"49,0"
yrkesprogram,43284031,"71,7"
yrkesprogram,13963517,..
yrkesprogram,26267406,"62,5"
yrkesprogram,31255918,"25,0"
yrkesprogram,51955293,..
yrkesprogram,35035671,..
yrkesprogram,12130801,..
yrkesprogram,51736304,..
yrkesprogram,53180719,"36,5"
yrkesprogram,27489137,"85,2"
yrkesprogram,15609112,..
yrkesprogram,60424371,..
yrkesprogram,68655578,"20,7"
yrkesprogram,17062663,..
yrkesprogram,68741484,..
yrkesprogram,56267421,..
yrkesprogram,34990065,"42,9"
yrkesprogram,37054246,..
yrkesprogram,39199869,..
yrkesprogram,62216381,"63,3"
yrkesprogram,31179045,"37,0"
yrkesprogram,72421673,..
yrkesprogram,59655752,..
yrkesprogram,88750078,"32,4"
yrkesprogram,41878314,..
yrkesprogram,41555549,..
yrkesprogram,32003298,"79,2"
yrkesprogram,22383788,"82,6"
yrkesprogram,85459854,"44,4"
yrkesprogram,81876614,..
yrkesprogram,18711877,..
yrkesprogram,67071618,"50,0"
yrkesprogram,75324351,..
yrkesprogram,61229217,"67,6"
yrkesprogram,58929357,"100,0"
yrkesprogram,42517257,"68,8"
yrkesprogram,70376604,..
yrkesprogram,93503103,"38,6"
yrkesprogram,18617410,..
yrkesprogram,41697930,"40,5"
yrkesprogram,28025244,..
yrkesprogram,17184072,..
yrkesprogram,40338843,"43,5"
yrkesprogram,77440824,..
yrkesprogram,71069359,..
yrkesprogram,86896907,..
yrkesprogram,14292382,"39,5"
yrkesprogram,87859089,"57,9"
yrkesprogram,54764253,"48,9"
yrkesprogram,98908403,..
yrkesprogram,16493131,"41,5"
yrkesprogram,41119610,"100,0"
yrkesprogram,48304166,"48,9"
yrkesprogram,24982097,..
yrkesprogram,97104132,"91,7"
yrkesprogram,68597767,..
yrkesprogram,27964873,"47,2"
yrkesprogram,30706655,"27,5"
yrkesprogram,65674821,..
yrkesprogram,46332927,"40,5"
yrkesprogram,78690637,"30,7"
yrkesprogram,24653673,..
yrkesprogram,38048202,"15,4"
yrkesprogram,90990441,..
yrkesprogram,86319615,.
yrkesprogram,87303004,"37,8"
yrkesprogram,97835550,..
yrkesprogram,22446331,..
yrkesprogram,26671095,..
yrkesprogram,42911621,"35,4"
yrkesprogram,40575001,"28,1"
yrkesprogram,75027822,"84,4"
yrkesprogram,26508763,"58,4"
yrkesprogram,14504503,"57,7"
yrkesprogram,21850904,"100,0"
yrkesprogram,77544055,..
yrkesprogram,16198647,"18,1"
yrkesprogram,12496135,..
yrkesprogram,76903284,"23,5"
