program,skolkod,gbp_examen
Högskoleförberedande program,62104139,"14,7"
Högskoleförberedande program,87034307,"15,6"
Högskoleförberedande program,78872213,"15,9"
Högskoleförberedande program,76860623,"16,9"
Högskoleförberedande program,58191646,"14,3"
Högskoleförberedande program,80405898,"14,7"
Högskoleförberedande program,56021320,"15,2"
Högskoleförberedande program,63179610,"12,6"
Högskoleförberedande program,64569393,"14,9"
Högskoleförberedande program,64160122,"16,3"
Högskoleförberedande program,48217580,"13,6"
Högskoleförberedande program,51620045,"14,7"
Högskoleförberedande program,86888278,"14,4"
Högskoleförberedande program,57397381,"14,2"
Högskoleförberedande program,56947954,"14,8"
Högskoleförberedande program,72022487,"14,8"
Högskoleförberedande program,71512894,"15,3"
Högskoleförberedande program,28248021,"14,3"
Högskoleförberedande program,44417214,"14,5"
Högskoleförberedande program,25025681,"14,3"
Högskoleförberedande program,88776535,"15,8"
Högskoleförberedande program,49488344,"15,3"
Högskoleförberedande program,74408578,"14,5"
Högskoleförberedande program,71043974,"15,3"
Högskoleförberedande program,57777751,..
Högskoleförberedande program,38732602,"15,9"
Högskoleförberedande program,89807183,"15,8"
Högskoleförberedande program,61161774,"14,8"
Högskoleförberedande program,86158933,"15,5"
Högskoleförberedande program,75914181,"14,3"
Högskoleförberedande program,39302565,"15,0"
Högskoleförberedande program,96818167,"15,1"
Högskoleförberedande program,79527481,"15,1"
Högskoleförberedande program,67300857,"16,2"
Högskoleförberedande program,99279503,"13,9"
Högskoleförberedande program,63653488,..
Högskoleförberedande program,84476205,"15,6"
Högskoleförberedande program,24544503,"15,2"
Högskoleförberedande program,25392789,"15,0"
Högskoleförberedande program,69240218,"15,7"
Högskoleförberedande program,38460895,"13,8"
Högskoleförberedande program,31199511,"15,3"
Högskoleförberedande program,12934438,"16,5"
Högskoleförberedande program,43313366,"14,9"
Högskoleförberedande program,86787111,"13,5"
Högskoleförberedande program,97868185,"15,4"
Högskoleförberedande program,77823650,..
Högskoleförberedande program,37550979,"14,6"
Högskoleförberedande program,60214465,"15,7"
Högskoleförberedande program,70137084,"15,6"
Högskoleförberedande program,82002016,"15,9"
Högskoleförberedande program,23306658,"15,7"
Högskoleförberedande program,97535124,"15,2"
Högskoleförberedande program,11102578,"15,0"
Högskoleförberedande program,69306209,"16,3"
Högskoleförberedande program,10129345,"15,0"
Högskoleförberedande program,17944628,"15,1"
Högskoleförberedande program,94468610,"15,1"
Högskoleförberedande program,94090461,"14,4"
Högskoleförberedande program,12954099,"14,7"
Högskoleförberedande program,80931789,"16,2"
Högskoleförberedande program,90473340,"13,8"
Högskoleförberedande program,69807202,"15,5"
Högskoleförberedande program,64648904,"15,2"
Högskoleförberedande program,75939593,"15,9"
Högskoleförberedande program,26324896,"14,3"
Högskoleförberedande program,56639389,"16,5"
Högskoleförberedande program,95700485,"17,0"
Högskoleförberedande program,51449748,"15,3"
Högskoleförberedande program,28267726,"17,6"
Högskoleförberedande program,12613085,"13,7"
Högskoleförberedande program,53896162,"15,2"
Högskoleförberedande program,17779637,"16,5"
Högskoleförberedande program,66824652,"15,3"
Högskoleförberedande program,49168016,"14,9"
Högskoleförberedande program,71929526,"15,3"
Högskoleförberedande program,60873719,"15,6"
Högskoleförberedande program,28085125,"13,6"
Högskoleförberedande program,21938183,"15,4"
Högskoleförberedande program,78986228,.
Högskoleförberedande program,71472793,"14,4"
Högskoleförberedande program,69063711,"13,2"
Högskoleförberedande program,77609073,..
Högskoleförberedande program,35894996,"14,8"
Högskoleförberedande program,12926770,"13,8"
Högskoleförberedande program,68748767,"14,2"
Högskoleförberedande program,23548714,"15,0"
Högskoleförberedande program,48593439,"14,6"
Högskoleförberedande program,91773491,"15,3"
Högskoleförberedande program,30361243,"15,3"
Högskoleförberedande program,25596917,"15,3"
Högskoleförberedande program,65722876,"15,7"
Högskoleförberedande program,52129378,"15,1"
Högskoleförberedande program,65381163,"14,3"
Högskoleförberedande program,31155312,"14,2"
Högskoleförberedande program,84424083,"17,7"
Högskoleförberedande program,49231191,"14,5"
Högskoleförberedande program,78231062,"16,7"
Högskoleförberedande program,10481541,"14,8"
Högskoleförberedande program,68381790,"16,0"
Högskoleförberedande program,13006857,"15,5"
Högskoleförberedande program,16956086,"15,5"
Högskoleförberedande program,58187973,"16,1"
Högskoleförberedande program,88894245,..
Högskoleförberedande program,31870541,"14,3"
Högskoleförberedande program,44672598,"14,7"
Högskoleförberedande program,31822012,"14,2"
Högskoleförberedande program,83161201,"15,3"
Högskoleförberedande program,99356671,..
Högskoleförberedande program,16702464,"14,9"
Högskoleförberedande program,29449669,"14,5"
Högskoleförberedande program,62855448,"13,5"
Högskoleförberedande program,36252055,"16,5"
Högskoleförberedande program,91812793,"15,4"
Högskoleförberedande program,14355031,"15,6"
Högskoleförberedande program,46611859,"16,6"
Högskoleförberedande program,58907711,"16,0"
Högskoleförberedande program,68285560,"14,8"
Högskoleförberedande program,58544422,"14,4"
Högskoleförberedande program,65150019,"16,1"
Högskoleförberedande program,71541108,"16,2"
Högskoleförberedande program,53832505,"14,3"
Högskoleförberedande program,47537928,"15,7"
Högskoleförberedande program,69471748,"14,0"
Högskoleförberedande program,49750031,"15,1"
Högskoleförberedande program,76485705,"15,3"
Högskoleförberedande program,93239262,"14,8"
Högskoleförberedande program,99976753,"14,2"
Högskoleförberedande program,75575321,"16,0"
Högskoleförberedande program,28023078,"15,4"
Högskoleförberedande program,43284031,"13,9"
Högskoleförberedande program,24194577,..
Högskoleförberedande program,26267406,..
Högskoleförberedande program,51955293,"15,6"
Högskoleförberedande program,57690933,"14,5"
Högskoleförberedande program,12130801,"14,9"
Högskoleförberedande program,51736304,"16,5"
Högskoleförberedande program,44285075,"14,5"
Högskoleförberedande program,95785055,"17,0"
Högskoleförberedande program,68655578,"13,7"
Högskoleförberedande program,68741484,"13,1"
Högskoleförberedande program,37054246,"14,4"
Högskoleförberedande program,39199869,"15,5"
Högskoleförberedande program,31179045,"14,1"
Högskoleförberedande program,72421673,"15,1"
Högskoleförberedande program,15763669,..
Högskoleförberedande program,59655752,"16,1"
Högskoleförberedande program,88750078,"14,4"
Högskoleförberedande program,41555549,"14,7"
Högskoleförberedande program,85459854,"14,5"
Högskoleförberedande program,81876614,"16,5"
Högskoleförberedande program,18711877,"14,6"
Högskoleförberedande program,67071618,"15,6"
Högskoleförberedande program,75324351,"14,7"
Högskoleförberedande program,61229217,"14,7"
Högskoleförberedande program,70376604,"14,8"
Högskoleförberedande program,59575030,"14,8"
Högskoleförberedande program,18617410,"14,5"
Högskoleförberedande program,28025244,"14,9"
Högskoleförberedande program,40338843,"14,5"
Högskoleförberedande program,77440824,"15,0"
Högskoleförberedande program,14292382,"15,4"
Högskoleförberedande program,51981332,"15,5"
Högskoleförberedande program,87859089,"14,9"
Högskoleförberedande program,98908403,"14,8"
Högskoleförberedande program,16493131,"15,5"
Högskoleförberedande program,83272868,"14,6"
Högskoleförberedande program,11526364,"13,6"
Högskoleförberedande program,45552626,"15,0"
Högskoleförberedande program,50906954,.
Högskoleförberedande program,16748680,"14,8"
Högskoleförberedande program,65674821,"14,9"
Högskoleförberedande program,92332557,"14,9"
Högskoleförberedande program,78690637,"15,0"
Högskoleförberedande program,38048202,"14,9"
Högskoleförberedande program,90990441,..
Högskoleförberedande program,26671095,"13,9"
Högskoleförberedande program,65320354,"16,4"
Högskoleförberedande program,77544055,"15,3"
Högskoleförberedande program,49112879,"15,4"
Högskoleförberedande program,30279258,"14,6"
Högskoleförberedande program,76903284,"14,6"
Högskoleförberedande program,43623146,..
Högskoleförberedande program,49141105,"14,2"
Högskoleförberedande program,15870428,"13,7"
Högskoleförberedande program,26646080,"15,2"
Högskoleförberedande program,26750052,"15,3"
Högskoleförberedande program,18974693,"15,0"
Högskoleförberedande program,26996566,..
Högskoleförberedande program,27704246,"16,3"
Högskoleförberedande program,28967085,..
Högskoleförberedande program,69747871,..
Högskoleförberedande program,31151740,"15,0"
Högskoleförberedande program,79346084,"15,0"
Högskoleförberedande program,89816391,"14,1"
Högskoleförberedande program,14448619,"14,5"
Högskoleförberedande program,12546590,"14,7"
Högskoleförberedande program,43565270,"14,8"
Högskoleförberedande program,77176811,"14,8"
Högskoleförberedande program,52791537,"16,4"
Högskoleförberedande program,85152591,"16,9"
Högskoleförberedande program,85819857,"16,7"
Högskoleförberedande program,40600798,"15,7"
Högskoleförberedande program,52942981,"14,8"
Högskoleförberedande program,54117171,"15,8"
Högskoleförberedande program,48120273,"17,5"
Högskoleförberedande program,33233228,..
Högskoleförberedande program,94167577,"14,2"
Högskoleförberedande program,27023528,"14,7"
Högskoleförberedande program,53903798,"13,6"
Högskoleförberedande program,97770837,"14,5"
Högskoleförberedande program,69650864,"17,7"
Högskoleförberedande program,59581397,"13,9"
Högskoleförberedande program,41938272,"16,2"
Högskoleförberedande program,29423248,"15,9"
Högskoleförberedande program,76054399,"16,7"
Högskoleförberedande program,33132452,"13,5"
Högskoleförberedande program,60142020,..
Högskoleförberedande program,70811222,"17,1"
Högskoleförberedande program,17911161,"14,1"
Högskoleförberedande program,35084976,"15,8"
Högskoleförberedande program,25525759,.
Högskoleförberedande program,77632411,"16,3"
Högskoleförberedande program,49068301,"15,3"
Högskoleförberedande program,59898194,"15,4"
Högskoleförberedande program,38195284,"14,5"
Högskoleförberedande program,97510495,"14,4"
Högskoleförberedande program,89461767,"14,8"
Högskoleförberedande program,94717858,"14,9"
Högskoleförberedande program,53760158,"16,1"
Högskoleförberedande program,78422467,"15,4"
Högskoleförberedande program,37802196,..
Högskoleförberedande program,36288955,"18,3"
Högskoleförberedande program,74812809,"17,3"
Högskoleförberedande program,88839172,"18,0"
Högskoleförberedande program,48412612,"14,8"
Högskoleförberedande program,95618280,"15,3"
Högskoleförberedande program,75075402,"14,5"
Högskoleförberedande program,26326048,"14,5"
Högskoleförberedande program,37839488,"13,7"
Högskoleförberedande program,46256929,"14,4"
Högskoleförberedande program,83374651,"18,2"
Högskoleförberedande program,59796774,"17,9"
Högskoleförberedande program,17675502,..
Högskoleförberedande program,75600007,"14,8"
Högskoleförberedande program,73812226,"14,8"
Högskoleförberedande program,30762346,..
Högskoleförberedande program,82964090,"17,3"
Högskoleförberedande program,88955893,"16,9"
Högskoleförberedande program,15278518,"14,8"
Högskoleförberedande program,15390992,"15,0"
Högskoleförberedande program,63943560,"14,1"
Högskoleförberedande program,85516596,"14,1"
Högskoleförberedande program,16784385,"15,7"
Högskoleförberedande program,89963319,..
Högskoleförberedande program,24339566,"15,4"
Högskoleförberedande program,65458415,..
Högskoleförberedande program,95154882,..
Högskoleförberedande program,52333875,"14,9"
Högskoleförberedande program,24663703,..
Högskoleförberedande program,28519815,"15,3"
Högskoleförberedande program,65666808,.
Högskoleförberedande program,69543519,"13,6"
Högskoleförberedande program,89693952,.
Högskoleförberedande program,24759907,"15,0"
Högskoleförberedande program,78433202,"14,7"
Högskoleförberedande program,35366805,"15,2"
Högskoleförberedande program,31315191,"15,5"
Högskoleförberedande program,42775003,"16,8"
Högskoleförberedande program,56670842,"17,3"
Högskoleförberedande program,89370947,"17,2"
Högskoleförberedande program,48555205,"14,8"
Högskoleförberedande program,31313926,"14,6"
Högskoleförberedande program,30312720,"15,2"
Högskoleförberedande program,32116280,"14,0"
Högskoleförberedande program,57143976,"15,2"
Högskoleförberedande program,93367005,"13,6"
Högskoleförberedande program,53175499,"17,1"
Högskoleförberedande program,64388538,"16,8"
Högskoleförberedande program,52153758,"18,0"
Högskoleförberedande program,22116645,"16,5"
Högskoleförberedande program,99755443,"16,8"
Högskoleförberedande program,30167976,"16,2"
Högskoleförberedande program,50104466,"15,7"
Högskoleförberedande program,28004794,..
Högskoleförberedande program,32071849,"16,0"
Högskoleförberedande program,79845033,"13,9"
Högskoleförberedande program,41099519,"14,5"
Högskoleförberedande program,59386837,"15,4"
Högskoleförberedande program,17276047,"14,2"
Högskoleförberedande program,21382451,"15,2"
Högskoleförberedande program,48244956,"15,3"
Högskoleförberedande program,36769815,..
Högskoleförberedande program,43873969,"15,9"
Högskoleförberedande program,55825382,"14,3"
Högskoleförberedande program,19306558,"15,7"
Högskoleförberedande program,35301145,"14,6"
Högskoleförberedande program,24993048,"15,6"
Högskoleförberedande program,13084253,"14,8"
Högskoleförberedande program,59942080,"14,5"
Högskoleförberedande program,66273269,"15,9"
Högskoleförberedande program,11275959,"14,4"
Högskoleförberedande program,58518163,"14,3"
Högskoleförberedande program,27993549,"14,4"
Högskoleförberedande program,37912396,"15,6"
Högskoleförberedande program,45593337,"14,5"
Högskoleförberedande program,10226870,"16,7"
Högskoleförberedande program,19839859,"15,5"
Högskoleförberedande program,67628478,"17,5"
Högskoleförberedande program,37517404,..
Högskoleförberedande program,32057701,"16,0"
Högskoleförberedande program,30615080,"14,4"
Högskoleförberedande program,25178582,"14,8"
Högskoleförberedande program,70543431,"16,6"
Högskoleförberedande program,23476801,..
Högskoleförberedande program,86351879,"15,4"
Högskoleförberedande program,56041144,"14,1"
Högskoleförberedande program,74322969,"14,7"
Högskoleförberedande program,90260899,"14,8"
Högskoleförberedande program,31057219,"15,4"
Högskoleförberedande program,27079521,"15,1"
Högskoleförberedande program,33572033,"14,8"
Högskoleförberedande program,64579522,"15,2"
Högskoleförberedande program,34381901,"16,3"
Högskoleförberedande program,55150847,"15,4"
Högskoleförberedande program,90076461,"14,9"
Högskoleförberedande program,53069733,"15,7"
Högskoleförberedande program,99394620,"15,3"
Högskoleförberedande program,95368476,"15,5"
Högskoleförberedande program,14853321,"14,6"
Högskoleförberedande program,76448076,"15,7"
Högskoleförberedande program,31537066,"14,4"
Högskoleförberedande program,86488203,"14,6"
Högskoleförberedande program,25156286,"15,1"
Högskoleförberedande program,28081446,"15,6"
Högskoleförberedande program,21400668,"13,4"
Högskoleförberedande program,92949043,"14,5"
Högskoleförberedande program,92818240,"13,9"
Högskoleförberedande program,84329061,"15,4"
Högskoleförberedande program,91048178,"13,2"
Högskoleförberedande program,82718660,"14,6"
Högskoleförberedande program,12399380,"13,5"
Högskoleförberedande program,31486865,"15,4"
Högskoleförberedande program,97265732,"17,7"
Högskoleförberedande program,61720981,"15,3"
Högskoleförberedande program,50424828,"15,0"
Högskoleförberedande program,82931004,..
Högskoleförberedande program,95024660,"13,7"
Högskoleförberedande program,32263814,"13,9"
Högskoleförberedande program,47393891,"14,0"
Högskoleförberedande program,48414975,"15,3"
Högskoleförberedande program,11533776,"14,9"
Högskoleförberedande program,47108751,..
Högskoleförberedande program,28829503,"15,0"
Högskoleförberedande program,99622695,..
Högskoleförberedande program,98651664,"16,7"
Högskoleförberedande program,33657492,"15,1"
Högskoleförberedande program,79309485,"14,7"
Högskoleförberedande program,37078868,..
Högskoleförberedande program,16130958,"15,4"
Högskoleförberedande program,82195565,"14,5"
Högskoleförberedande program,33596572,"14,8"
Högskoleförberedande program,77713695,"15,7"
Högskoleförberedande program,51131594,"14,5"
Högskoleförberedande program,89680395,"16,1"
Högskoleförberedande program,53696633,"15,4"
Högskoleförberedande program,27440210,"16,3"
Högskoleförberedande program,62758285,"15,1"
Högskoleförberedande program,16218090,"16,5"
Högskoleförberedande program,64667996,"15,7"
Högskoleförberedande program,23544320,"15,9"
Högskoleförberedande program,57668673,"15,6"
Högskoleförberedande program,69040241,..
Högskoleförberedande program,63993414,"16,3"
Högskoleförberedande program,49136871,..
Högskoleförberedande program,20855811,"13,7"
Högskoleförberedande program,53923398,"14,8"
Högskoleförberedande program,74560191,"14,4"
Högskoleförberedande program,47844862,"14,9"
Högskoleförberedande program,72984079,"14,4"
Högskoleförberedande program,36480690,"15,4"
Högskoleförberedande program,24787883,..
Högskoleförberedande program,32995170,"14,1"
Högskoleförberedande program,52048443,"14,5"
Högskoleförberedande program,61674097,"16,1"
Högskoleförberedande program,32550660,"16,6"
Högskoleförberedande program,93488613,"14,5"
Högskoleförberedande program,45600034,"16,3"
Högskoleförberedande program,59599256,"14,7"
Högskoleförberedande program,26957025,"17,2"
Högskoleförberedande program,90509211,"14,3"
Högskoleförberedande program,43277545,"15,3"
Högskoleförberedande program,11953769,.
Högskoleförberedande program,50393060,"15,5"
Högskoleförberedande program,85788659,"12,9"
Högskoleförberedande program,95340745,..
Högskoleförberedande program,59521477,"15,3"
Högskoleförberedande program,92442684,..
Högskoleförberedande program,66095163,"14,2"
Högskoleförberedande program,54599691,"14,4"
Högskoleförberedande program,54004368,"15,2"
Högskoleförberedande program,31975673,"15,1"
Högskoleförberedande program,82251333,"17,3"
Högskoleförberedande program,99864908,"14,2"
Högskoleförberedande program,27106031,"14,5"
Högskoleförberedande program,59463950,"15,4"
Högskoleförberedande program,63931325,"14,5"
Högskoleförberedande program,57391913,"16,3"
Högskoleförberedande program,75374280,"16,2"
Högskoleförberedande program,46148350,"15,6"
Högskoleförberedande program,50133877,"15,3"
Högskoleförberedande program,49868916,"15,6"
Högskoleförberedande program,74919147,"16,7"
Högskoleförberedande program,78389879,"14,3"
Högskoleförberedande program,24277564,..
Högskoleförberedande program,44412461,"16,2"
Högskoleförberedande program,36355200,"15,1"
Högskoleförberedande program,96920524,"14,5"
Högskoleförberedande program,18217765,"15,3"
Högskoleförberedande program,70803636,"14,8"
Högskoleförberedande program,49576295,"16,6"
Högskoleförberedande program,66028861,"17,8"
Högskoleförberedande program,23797825,"14,6"
Högskoleförberedande program,45293715,"14,8"
Högskoleförberedande program,77712952,"14,5"
Högskoleförberedande program,10433896,"15,4"
Högskoleförberedande program,43154449,"13,9"
Högskoleförberedande program,49170638,"14,6"
Högskoleförberedande program,46379730,"14,6"
Högskoleförberedande program,25379974,"15,5"
Högskoleförberedande program,88025221,"15,0"
Högskoleförberedande program,18042101,"15,1"
Högskoleförberedande program,56041699,..
Högskoleförberedande program,45111086,"14,3"
Högskoleförberedande program,70955448,"15,9"
Högskoleförberedande program,68824244,"13,6"
Högskoleförberedande program,46707989,"16,3"
Högskoleförberedande program,46986216,"16,1"
Högskoleförberedande program,67924816,"14,9"
Högskoleförberedande program,92805465,"15,3"
Högskoleförberedande program,56084099,..
Högskoleförberedande program,16720048,"14,4"
Högskoleförberedande program,13960635,"13,8"
Högskoleförberedande program,61176909,"14,9"
Högskoleförberedande program,43479922,"13,5"
Högskoleförberedande program,28391147,"14,0"
Högskoleförberedande program,21778322,"14,4"
Högskoleförberedande program,31380193,..
Högskoleförberedande program,62612992,"14,2"
Högskoleförberedande program,85485803,"14,2"
Högskoleförberedande program,16848652,"15,6"
Högskoleförberedande program,88429477,"15,1"
Högskoleförberedande program,94975733,"15,6"
Högskoleförberedande program,56802300,"14,9"
Högskoleförberedande program,15149235,"15,4"
Högskoleförberedande program,13981977,"15,3"
Högskoleförberedande program,24538846,"15,0"
Högskoleförberedande program,67058407,"15,1"
Högskoleförberedande program,15791044,"15,1"
Högskoleförberedande program,65392939,"15,1"
Högskoleförberedande program,98696836,"14,0"
Högskoleförberedande program,64908550,"17,1"
Högskoleförberedande program,77358716,"17,1"
Högskoleförberedande program,49739986,"14,2"
Högskoleförberedande program,29225010,"14,0"
Högskoleförberedande program,92192566,"15,7"
Högskoleförberedande program,56886667,"14,8"
Högskoleförberedande program,64648566,"14,7"
Högskoleförberedande program,65421426,"15,2"
Högskoleförberedande program,62394916,"14,8"
Högskoleförberedande program,67908927,"14,1"
Högskoleförberedande program,72071234,"16,1"
Högskoleförberedande program,24349146,"15,0"
Högskoleförberedande program,83605345,..
Högskoleförberedande program,15933512,"14,2"
Högskoleförberedande program,64693272,"15,4"
Högskoleförberedande program,18072172,..
Högskoleförberedande program,65833454,"15,4"
Högskoleförberedande program,11341077,"15,0"
Högskoleförberedande program,34988313,"16,0"
Högskoleförberedande program,28045567,"14,4"
Högskoleförberedande program,20768651,"14,9"
Högskoleförberedande program,38880984,"15,8"
Högskoleförberedande program,28872974,"14,9"
Högskoleförberedande program,18686599,"14,4"
Högskoleförberedande program,93779220,"15,0"
Högskoleförberedande program,77797484,"15,3"
Högskoleförberedande program,80785976,"14,2"
Högskoleförberedande program,47559319,"15,4"
Högskoleförberedande program,21532545,"14,0"
Högskoleförberedande program,56187883,"13,0"
Högskoleförberedande program,20752831,"15,0"
Högskoleförberedande program,51023367,"16,2"
Högskoleförberedande program,34739511,"14,0"
Högskoleförberedande program,52690153,"17,0"
Yrkesprogram,93221031,"12,8"
Yrkesprogram,17474377,"14,1"
Yrkesprogram,18345915,"14,9"
Yrkesprogram,68229719,"13,7"
Yrkesprogram,61004230,"14,9"
Yrkesprogram,71262305,"13,7"
Yrkesprogram,55795961,..
Yrkesprogram,84947634,"13,2"
Yrkesprogram,97870412,"13,9"
Yrkesprogram,68564903,"13,9"
Yrkesprogram,82840198,"13,2"
Yrkesprogram,18208087,"12,0"
Yrkesprogram,89982804,"13,5"
Yrkesprogram,19464342,..
Yrkesprogram,60743463,..
Yrkesprogram,32960825,"14,0"
Yrkesprogram,43609520,..
Yrkesprogram,41416934,"12,9"
Yrkesprogram,21567982,"12,8"
Yrkesprogram,49379603,..
Yrkesprogram,80167319,..
Yrkesprogram,73171934,..
Yrkesprogram,83474173,"13,0"
Yrkesprogram,91487291,..
Yrkesprogram,21866405,"12,0"
Yrkesprogram,74434644,"13,2"
Yrkesprogram,42022406,"12,0"
Yrkesprogram,88445871,"13,7"
Yrkesprogram,18425335,"13,8"
Yrkesprogram,93281974,"13,8"
Yrkesprogram,23424275,"14,3"
Yrkesprogram,19150273,"13,9"
Yrkesprogram,25624692,"12,4"
Yrkesprogram,88534520,"15,0"
Yrkesprogram,16554575,"12,8"
Yrkesprogram,25356960,"14,3"
Yrkesprogram,64284020,"13,1"
Yrkesprogram,98132436,"13,8"
Yrkesprogram,60096875,"12,6"
Yrkesprogram,26334561,"12,8"
Yrkesprogram,40386043,"12,9"
Yrkesprogram,29324709,"14,3"
Yrkesprogram,26864271,"14,0"
Yrkesprogram,59483268,..
Yrkesprogram,33685428,"14,6"
Yrkesprogram,88573795,..
Yrkesprogram,82814120,"14,6"
Yrkesprogram,10924758,"11,7"
Yrkesprogram,34153869,..
Yrkesprogram,88259298,..
Yrkesprogram,73098153,"15,2"
Yrkesprogram,44240250,"14,6"
Yrkesprogram,17846181,..
Yrkesprogram,75082798,"13,8"
Yrkesprogram,23555409,"13,3"
Yrkesprogram,91333138,"13,7"
Yrkesprogram,30341162,..
Yrkesprogram,39936461,"14,3"
Yrkesprogram,72266906,"14,4"
Yrkesprogram,27030026,"13,5"
Yrkesprogram,12154972,"13,4"
Yrkesprogram,16950252,"12,7"
Yrkesprogram,34637764,"13,8"
Yrkesprogram,73255276,"14,7"
Yrkesprogram,15077883,"13,6"
Yrkesprogram,48434184,"12,8"
Yrkesprogram,58724424,"14,7"
Yrkesprogram,51138448,"14,3"
Yrkesprogram,19647256,"13,8"
Yrkesprogram,56421429,"13,2"
Yrkesprogram,39911065,..
Yrkesprogram,17008320,..
Yrkesprogram,56737496,"12,7"
Yrkesprogram,88850910,"13,1"
Yrkesprogram,93939982,"13,3"
Yrkesprogram,25720752,"13,7"
Yrkesprogram,55155562,"13,3"
Yrkesprogram,31533003,"12,9"
Yrkesprogram,31429031,"13,4"
Yrkesprogram,16361868,..
Yrkesprogram,24008049,"13,3"
Yrkesprogram,36680097,..
Yrkesprogram,87756916,"13,3"
Yrkesprogram,59734510,"13,1"
Yrkesprogram,19586169,"13,1"
Yrkesprogram,24273261,"14,3"
Yrkesprogram,95683850,"14,0"
Yrkesprogram,59455288,"13,5"
Yrkesprogram,82163292,"14,3"
Yrkesprogram,25679488,"13,9"
Yrkesprogram,25677996,"14,2"
Yrkesprogram,89888648,"13,1"
Yrkesprogram,90003262,..
Yrkesprogram,88163512,"14,7"
Yrkesprogram,35063170,..
Yrkesprogram,31279294,"12,4"
Yrkesprogram,36782335,"13,5"
Yrkesprogram,20666515,"14,2"
Yrkesprogram,37906565,"14,4"
Yrkesprogram,67279303,"13,3"
Yrkesprogram,21648755,"13,9"
Yrkesprogram,11111710,"15,0"
Yrkesprogram,90551279,"14,0"
Yrkesprogram,93062368,"12,4"
Yrkesprogram,69686851,"13,9"
Yrkesprogram,49616977,"12,4"
Yrkesprogram,90267145,"13,6"
Yrkesprogram,72998905,"12,9"
Yrkesprogram,69481650,"13,5"
Yrkesprogram,88153340,"13,2"
Yrkesprogram,94353434,"13,1"
Yrkesprogram,59396229,"13,7"
Yrkesprogram,95165649,"13,7"
Yrkesprogram,69626109,"13,4"
Yrkesprogram,85068812,..
Yrkesprogram,36444853,"14,2"
Yrkesprogram,15414001,"14,5"
Yrkesprogram,38311488,"14,2"
Yrkesprogram,16819383,"13,2"
Yrkesprogram,12994441,..
Yrkesprogram,53660780,"14,7"
Yrkesprogram,30086854,"12,6"
Yrkesprogram,79094701,"13,6"
Yrkesprogram,38684438,"11,8"
Yrkesprogram,96590873,"14,1"
Yrkesprogram,73147554,"16,7"
Yrkesprogram,65752105,..
Yrkesprogram,11274830,"12,3"
Yrkesprogram,51321260,"11,8"
Yrkesprogram,96279444,"13,3"
Yrkesprogram,61880907,"12,1"
Yrkesprogram,35006050,"13,1"
Yrkesprogram,88886610,"12,7"
Yrkesprogram,10638939,"13,9"
Yrkesprogram,88556189,"12,3"
Yrkesprogram,35236491,"14,5"
Yrkesprogram,58502307,"13,9"
Yrkesprogram,97177328,"12,7"
Yrkesprogram,72127035,"13,9"
Yrkesprogram,70969714,"12,1"
Yrkesprogram,85003442,"13,5"
Yrkesprogram,22752398,"12,6"
Yrkesprogram,71922787,"13,5"
Yrkesprogram,31843016,"12,5"
Yrkesprogram,74148070,..
Yrkesprogram,50696507,"15,2"
Yrkesprogram,44653962,"14,2"
Yrkesprogram,81993306,"13,0"
Yrkesprogram,29097621,"13,4"
Yrkesprogram,87764775,"13,7"
Yrkesprogram,48438396,"13,3"
Yrkesprogram,98052678,..
Yrkesprogram,44341171,"15,4"
Yrkesprogram,32671805,"15,5"
Yrkesprogram,38448056,"15,5"
Yrkesprogram,16313848,"13,3"
Yrkesprogram,79606767,"13,6"
Yrkesprogram,11294673,"13,8"
Yrkesprogram,86327236,"13,4"
Yrkesprogram,28398531,"13,1"
Yrkesprogram,66335258,"14,4"
Yrkesprogram,54172830,"12,1"
Yrkesprogram,86310217,"12,4"
Yrkesprogram,83085136,"15,2"
Yrkesprogram,75458014,..
Yrkesprogram,65136104,..
Yrkesprogram,79033948,"14,1"
Yrkesprogram,56330385,"15,5"
Yrkesprogram,44392995,"14,4"
Yrkesprogram,69241230,"12,8"
Yrkesprogram,85544331,"14,8"
Yrkesprogram,80327946,"13,4"
Yrkesprogram,78875918,"13,5"
Yrkesprogram,78023197,"13,8"
Yrkesprogram,86385479,"14,0"
Yrkesprogram,40991561,..
Yrkesprogram,99838438,"13,1"
Yrkesprogram,42859669,"12,7"
Yrkesprogram,70923626,"14,3"
Yrkesprogram,92905347,"12,4"
Yrkesprogram,99592025,"14,0"
Yrkesprogram,34247736,"13,8"
Yrkesprogram,47550455,"13,2"
Yrkesprogram,30329172,"14,4"
Yrkesprogram,76877530,..
Yrkesprogram,47046103,"12,7"
Yrkesprogram,56664512,..
Yrkesprogram,38167912,"16,6"
Yrkesprogram,20620556,"14,6"
Yrkesprogram,17173461,..
Yrkesprogram,19560192,"13,8"
Yrkesprogram,98053087,"13,4"
Yrkesprogram,92858957,"14,1"
Yrkesprogram,46660042,"13,7"
Yrkesprogram,44113417,"13,1"
Yrkesprogram,67783774,..
Yrkesprogram,38917647,..
Yrkesprogram,21363125,.
Yrkesprogram,39555838,..
Yrkesprogram,85214294,"13,0"
Yrkesprogram,82084961,"13,2"
Yrkesprogram,46162400,"12,5"
Yrkesprogram,98369689,"13,3"
Yrkesprogram,56529916,"14,3"
Yrkesprogram,40810950,"15,2"
Yrkesprogram,40037982,"13,4"
