program,skolkod,gbp_examen
Nationella program,70066748,"15,3"
Nationella program,19207279,"17,2"
Nationella program,53640774,"14,2"
Nationella program,58502307,"14,4"
Nationella program,97177328,"14,0"
Nationella program,72127035,"14,4"
Nationella program,70969714,"13,3"
Nationella program,85003442,"13,5"
Nationella program,22752398,"12,6"
Nationella program,68734112,"14,5"
Nationella program,71922787,"13,5"
Nationella program,31843016,"12,5"
Nationella program,74148070,"15,8"
Nationella program,50696507,"15,2"
Nationella program,92507006,"14,6"
Nationella program,44653962,"14,6"
Nationella program,20100577,"15,3"
Nationella program,81993306,"14,3"
Nationella program,19051089,"17,1"
Nationella program,29097621,"13,4"
Nationella program,47264019,"14,3"
Nationella program,87764775,"13,7"
Nationella program,50198492,"14,7"
Nationella program,48438396,"13,3"
Nationella program,98052678,"14,9"
Nationella program,20099064,"16,0"
Nationella program,44341171,"15,4"
Nationella program,32671805,"15,5"
Nationella program,38448056,"15,5"
Nationella program,16313848,"13,8"
Nationella program,79606767,"14,7"
Nationella program,11294673,"14,7"
Nationella program,86327236,"14,1"
Nationella program,41745951,"17,0"
Nationella program,83137205,"16,4"
Nationella program,28398531,"13,2"
Nationella program,66335258,"14,7"
Nationella program,54172830,"14,1"
Nationella program,86310217,"12,4"
Nationella program,83085136,"15,2"
Nationella program,75458014,"13,5"
Nationella program,65136104,"13,5"
Nationella program,61826221,.
Nationella program,79033948,"14,9"
Nationella program,56330385,"15,8"
Nationella program,20228162,"17,3"
Nationella program,68240485,"15,2"
Nationella program,95046058,"16,2"
Nationella program,44392995,"15,1"
Nationella program,53462953,"14,2"
Nationella program,69241230,"12,8"
Nationella program,60730660,"18,4"
Nationella program,85544331,"14,8"
Nationella program,80327946,"13,4"
Nationella program,82592568,"15,3"
Nationella program,78875918,"15,2"
Nationella program,78023197,"13,8"
Nationella program,86385479,"14,8"
Nationella program,40991561,..
Nationella program,49862313,"14,4"
Nationella program,99838438,"13,7"
Nationella program,42859669,"13,8"
Nationella program,70923626,"14,3"
Nationella program,92905347,"12,4"
Nationella program,99592025,"16,0"
Nationella program,34247736,"14,7"
Nationella program,47550455,"14,1"
Nationella program,30329172,"14,6"
Nationella program,76877530,"15,7"
Nationella program,47046103,"14,1"
Nationella program,56664512,..
Nationella program,38167912,"15,8"
Nationella program,43826783,..
Nationella program,58125096,"14,9"
Nationella program,82914148,..
Nationella program,20620556,"14,5"
Nationella program,77839100,..
Nationella program,17173461,"14,3"
Nationella program,55535552,.
Nationella program,19560192,"13,8"
Nationella program,30468157,"15,0"
Nationella program,98053087,"13,4"
Nationella program,92533079,"15,6"
Nationella program,61528940,"16,0"
Nationella program,23681822,"15,9"
Nationella program,66861851,"14,6"
Nationella program,72206824,"14,5"
Nationella program,92858957,"15,0"
Nationella program,46660042,"13,7"
Nationella program,86296935,..
Nationella program,44113417,"14,9"
Nationella program,67783774,..
Nationella program,38917647,..
Nationella program,21363125,.
Nationella program,39555838,"14,5"
Nationella program,85214294,"13,7"
Nationella program,82084961,"14,2"
Nationella program,46162400,"12,9"
Nationella program,98369689,"13,3"
Nationella program,56529916,"14,3"
Nationella program,40810950,"15,2"
Nationella program,67279263,"15,0"
Nationella program,40037982,"13,4"
Nationella program,51210136,"15,9"
Nationella program,73829818,"14,7"
Nationella program,54395430,.
Nationella program,18881773,"13,4"
Nationella program,50908408,"14,7"
Nationella program,18594470,"14,0"
Nationella program,78295411,"15,1"
Nationella program,80686587,"15,8"
Nationella program,72232853,"15,7"
Nationella program,12279302,"13,4"
Nationella program,17849518,"12,5"
Nationella program,64205087,"14,3"
Nationella program,50500028,"14,6"
Nationella program,94570025,"14,2"
Nationella program,91984508,"15,7"
Nationella program,78659008,"15,9"
Nationella program,12448823,..
Nationella program,40667807,"14,7"
Nationella program,18091973,"14,4"
Nationella program,88466776,"15,9"
Nationella program,36539945,..
Nationella program,40634612,"14,3"
Nationella program,62439199,"13,4"
Nationella program,66132676,"15,1"
Nationella program,57942242,"15,5"
Nationella program,80762863,"13,3"
Nationella program,77688926,"16,3"
Nationella program,14508922,"14,6"
Nationella program,69629086,"13,2"
Nationella program,88624631,"12,8"
Nationella program,35390185,..
Nationella program,37358234,"14,2"
Nationella program,31657916,..
Nationella program,21008461,"14,8"
Nationella program,54606928,"15,1"
Nationella program,53893730,"14,4"
Nationella program,46241804,"13,7"
Nationella program,42573391,"13,7"
Nationella program,64574972,"14,4"
Nationella program,19741742,"14,4"
Nationella program,29032715,"14,5"
Nationella program,45830583,"14,4"
Nationella program,48931433,"15,3"
Nationella program,97270136,"14,3"
Nationella program,19909435,"13,7"
Nationella program,30530571,"14,6"
Nationella program,78839208,"15,3"
Nationella program,96024712,"15,0"
Nationella program,30458073,..
Nationella program,40829056,"12,9"
Nationella program,85800840,"14,4"
Nationella program,68920727,"15,5"
Nationella program,27115998,"14,3"
Nationella program,41867682,"12,9"
Nationella program,79516949,"14,3"
Nationella program,65662401,"14,7"
Nationella program,39583059,"13,7"
Nationella program,38645259,"12,9"
Nationella program,96684210,"14,8"
Nationella program,87207941,"14,7"
Nationella program,11673760,"14,2"
Nationella program,46574937,"15,2"
Nationella program,23836342,"14,9"
Nationella program,63791419,"14,7"
Nationella program,39805497,"14,1"
Nationella program,38400227,"13,9"
