skolkod,andel_med_examen
57942242,"89,7"
80762863,"77,6"
77688926,"98,0"
14508922,"96,9"
69629086,"96,5"
88624631,"82,6"
35390185,..
37358234,"74,1"
31657916,..
21008461,"98,3"
54606928,"93,1"
53893730,"88,1"
46241804,"90,0"
42573391,"100,0"
64574972,"92,3"
19741742,"90,8"
29032715,"88,9"
45830583,"100,0"
48931433,"88,3"
97270136,"82,8"
19909435,"98,6"
30530571,"94,7"
78839208,"98,5"
96024712,"95,6"
30458073,..
40829056,"91,7"
85800840,"95,2"
68920727,"85,7"
27115998,"93,8"
41867682,"88,5"
79516949,"90,3"
65662401,"93,0"
39583059,"89,1"
38645259,"81,3"
96684210,"95,4"
87207941,"90,1"
11673760,"86,3"
46574937,"93,8"
23836342,"87,9"
63791419,"82,1"
39805497,"90,3"
38400227,"77,0"
81619482,"98,4"
83829189,"95,1"
46145886,"96,6"
12395564,"100,0"
90006712,"100,0"
43649848,"80,0"
75344502,"75,0"
84247499,"87,8"
27041885,"76,3"
39149668,"95,8"
97064126,..
32580162,"100,0"
38233622,"87,5"
48722826,"93,3"
73063662,"71,4"
40766349,"89,7"
71571158,"84,4"
53691739,"100,0"
43251309,"100,0"
97596286,"84,5"
67554405,"97,5"
86473502,"78,6"
73944169,"96,0"
98239050,"91,4"
94455820,..
58368956,"83,3"
73567152,"77,1"
61547652,"91,7"
60209222,"91,4"
62104139,"87,3"
87034307,"90,8"
78872213,"97,0"
84286698,"100,0"
62490359,"84,6"
64725297,"89,7"
43362941,"82,6"
23350817,"83,3"
76860623,"98,4"
58191646,"89,4"
80405898,"95,2"
56021320,"96,7"
41358402,"100,0"
63179610,"73,9"
64569393,"86,4"
87262566,"85,4"
64160122,"100,0"
48217580,"93,0"
41844601,"71,7"
51620045,"94,9"
86888278,"78,9"
23457902,"85,7"
27597104,"91,3"
57397381,"79,5"
56947954,"92,4"
72022487,"90,2"
71512894,"91,9"
70969556,"90,0"
28248021,"77,9"
44417214,"95,4"
25025681,"85,3"
88776535,"89,3"
49488344,"95,1"
74408578,"91,3"
71043974,"90,7"
57777751,..
38732602,"91,7"
89807183,"93,9"
86724994,"94,0"
61161774,"93,4"
86158933,"86,7"
14102256,"90,0"
75082280,"85,7"
75914181,"85,5"
39302565,"88,3"
96818167,"94,1"
36072799,"84,6"
61432781,"85,9"
78287294,"96,3"
74316305,"91,4"
39096170,"94,1"
79527481,"89,6"
67300857,"90,9"
99279503,"90,0"
63653488,..
84476205,"95,6"
24544503,"90,4"
25392789,"96,5"
72109637,..
69240218,"90,7"
14057258,..
38460895,"66,7"
31199511,"91,1"
12934438,"96,5"
43313366,"92,7"
86787111,"94,3"
97868185,"100,0"
81551726,..
77823650,"94,7"
37550979,"100,0"
52634142,"94,6"
76195214,"96,9"
54839753,..
32705515,"92,7"
60214465,"75,7"
70137084,"85,2"
82002016,"89,6"
21901328,"78,9"
23306658,"96,6"
57350392,..
97535124,"100,0"
11102578,"98,0"
69306209,"84,8"
92651253,"95,2"
31740319,"89,2"
10129345,"98,9"
17944628,"90,8"
82826083,"96,9"
94468610,"91,9"
94090461,"93,3"
12954099,"94,9"
80931789,"95,3"
84098842,"89,7"
90473340,"93,5"
26167236,"89,3"
69807202,"91,9"
64648904,"100,0"
75939593,"94,2"
63035915,"84,7"
26324896,"87,0"
56639389,"98,5"
95700485,"95,2"
51449748,"90,1"
28267726,"94,0"
28848709,"100,0"
12613085,"94,0"
53896162,"94,8"
17779637,"85,1"
11185244,"68,6"
56211717,"90,0"
66824652,"83,0"
49168016,"96,6"
32042066,"94,2"
50821167,..
71929526,"93,5"
92814975,"90,0"
60873719,"96,3"
28085125,"87,5"
28770304,"83,8"
21938183,"94,2"
78986228,.
71472793,"93,5"
64123241,"86,7"
69063711,"100,0"
77609073,"76,9"
35894996,"84,8"
12926770,"86,8"
17119840,"93,9"
68748767,"73,4"
23548714,"69,8"
48593439,"70,0"
91773491,"65,7"
30361243,"91,6"
25596917,"90,6"
65722876,"92,7"
20984584,"89,5"
52129378,"79,5"
65381163,"74,3"
98541468,"88,9"
31155312,"64,0"
25648215,"79,2"
61823258,"87,5"
84424083,"97,7"
39178171,"86,2"
49231191,"89,4"
78231062,"99,2"
79994304,..
10481541,"87,7"
68006362,"84,4"
11608031,"88,2"
86762103,"85,7"
68381790,"92,8"
13006857,"92,9"
76007769,"100,0"
16956086,"91,0"
58187973,"95,0"
88894245,"100,0"
31870541,"94,7"
71160225,"92,0"
67752682,"100,0"
47884009,"87,1"
44672598,"95,4"
75340089,"93,8"
36670439,"84,6"
22220001,"88,1"
31822012,"83,2"
83161201,"91,4"
15100079,..
55421481,..
99356671,"64,7"
16702464,"91,3"
71353314,..
29449669,"89,8"
62855448,"88,9"
36252055,"94,5"
91812793,"98,0"
14355031,"97,8"
72891848,"78,6"
46611859,"91,1"
58907711,"100,0"
68285560,"96,0"
58544422,"92,8"
65150019,"91,7"
31796890,..
22426680,..
83805032,"69,0"
48862305,"88,9"
32887559,"91,3"
71541108,"77,5"
53832505,"61,0"
47537928,"75,9"
69471748,"76,5"
49750031,"98,0"
76485705,"98,2"
93239262,"92,1"
25745773,"92,8"
99976753,"88,2"
14278480,"80,6"
75575321,"97,7"
28023078,"89,2"
43284031,"94,0"
13963517,"100,0"
24194577,..
26267406,"100,0"
31255918,"89,7"
51955293,"97,9"
57690933,"95,8"
35035671,"82,4"
12130801,"92,7"
51736304,"93,8"
53180719,"90,5"
27489137,"100,0"
15609112,"100,0"
44285075,"82,9"
60424371,"88,2"
95785055,"100,0"
68655578,"80,8"
17062663,"96,4"
68741484,"88,8"
56267421,"100,0"
34990065,"91,1"
37054246,"93,1"
39199869,"98,4"
62216381,"89,8"
31179045,"86,1"
72421673,"96,6"
15763669,..
59655752,"92,3"
88750078,"93,9"
41878314,..
41555549,"92,6"
32003298,"100,0"
22383788,"95,7"
85459854,"99,0"
81876614,"98,3"
18711877,"98,1"
67071618,"94,0"
75324351,"97,1"
61229217,"79,2"
58929357,"100,0"
42517257,"81,3"
70376604,"93,9"
59575030,"92,9"
93503103,"100,0"
18617410,"86,5"
41697930,"98,8"
28025244,"86,7"
17184072,"100,0"
40338843,"94,0"
77440824,"94,9"
71069359,"100,0"
86896907,"93,5"
14292382,"92,7"
51981332,"100,0"
87859089,"86,4"
54764253,"100,0"
98908403,"78,2"
16493131,"94,4"
41119610,"100,0"
83272868,"96,3"
11526364,"96,2"
48304166,"100,0"
24982097,"66,7"
45552626,"82,5"
50906954,.
97104132,"100,0"
16748680,"87,9"
68597767,..
27964873,"80,6"
30706655,"80,0"
65674821,"87,1"
92332557,"88,0"
46332927,"94,6"
78690637,"87,4"
24653673,"95,2"
38048202,"92,2"
90990441,"75,0"
86319615,"75,0"
87303004,"94,6"
97835550,"77,3"
22446331,"83,8"
26671095,"100,0"
42911621,"94,8"
40575001,"84,2"
75027822,"100,0"
26508763,"97,4"
14504503,"88,5"
21850904,"100,0"
65320354,"100,0"
77544055,"92,2"
49112879,"88,0"
30279258,"94,4"
16198647,"98,6"
12496135,"100,0"
76903284,"86,4"
68649663,"81,1"
43623146,..
49141105,"71,2"
15870428,"84,7"
26646080,"91,2"
26750052,"96,8"
18974693,"92,5"
26996566,..
27704246,"90,9"
81997762,"91,8"
28967085,..
69747871,..
70119254,"100,0"
31151740,"81,0"
79346084,"87,2"
34222422,"86,7"
84230226,..
42060237,"86,4"
89816391,"93,5"
14448619,"89,5"
12546590,"82,8"
43565270,"80,2"
77176811,"93,5"
52791537,"97,6"
85152591,"100,0"
85819857,"100,0"
40600798,"96,2"
52942981,"91,8"
54117171,"95,2"
48120273,"97,3"
33233228,..
94167577,"67,1"
27023528,"76,6"
53903798,"68,4"
85782695,"84,6"
98815582,"77,3"
97770837,"83,8"
21312503,"100,0"
69650864,"100,0"
59581397,"95,8"
14926020,"73,7"
41938272,"96,2"
29423248,"97,0"
76054399,"93,9"
33132452,"76,2"
56942970,..
60142020,..
70811222,"100,0"
17911161,"59,0"
35084976,"88,0"
25525759,.
77632411,"95,9"
56653353,"97,9"
49068301,"76,8"
59898194,"86,3"
38195284,"89,9"
97510495,"91,3"
89461767,"86,7"
94717858,"90,8"
53760158,"100,0"
