region
01 stockholms län
03 uppsala län
04 södermanlands län
05 östergötlands län
06 jönköpings län
07 kronobergs län
08 kalmar län
09 gotlands län
10 blekinge län
12 skåne län
13 hallands län
14 västra götalands län
17 värmlands län
18 örebro län
19 västmanlands län
20 dalarnas län
21 gävleborgs län
22 västernorrlands län
23 jämtlands län
24 västerbottens län
25 norrbottens län
